Rumor,Quest (choice)
"|""Did you hear about the attempt on the King's life? Someone saved him!""",Bloodthorn Assassins
"|""The Bad Man! The Bad Man! The Bad Man is dead!""",Season of Harvest
"|""Rumor is the soldiers at the Redoubt are going to move on to Cath Bedraud. May the Eight protect them.""",Mists of Corruption
"|""My cousin trades with Eagle's Brook. I hope his business doesn't suffer after that attack.""",Cutting Off the Source
"|""There's the one that defeated the corrupted spirit inside of the Wyrd Tree.""",Purifying the Wyrd Tree
"|""I heard that someone killed all the cultists and saved the Wyrd Tree.""",Purifying the Wyrd Tree
"|""I'm just glad there were some survivors at the Mill. It could have been so much worse.""",The Wyrd Tree's Roots
"|""Hey there. My friend Stibbons wanted me to say hello, tell you 'thanks again'.""",The Jeweled Crown of Anton (Retrieve the Cursed Crown of King Anton)
"|""I heard that Duke Sebastien was ill, but Gloria Fausta cured him. Royalty have all the luck!""",Lineage of Tooth and Claw (Cure Duke Sebastien)
"|""Someone told me that Gloria Fausta gave her life to cure Duke Sebastien of the werewolf's curse.""",Lineage of Tooth and Claw
"|""I hear you wiped out a vampire lair in Glenumbra. We need more people like you 'round here.""",Blood Relations (Spare At'avar)
"|""Tales of Angof's defeat by your hand have begun to spread. You're starting to make quite a name for yourself.""",Angof the Gravesinger
"|""The mines at Crosswych are invaluable. I'm not surprised the Red Rooks tried to take control of the place.""",Crosswych Reclaimed
"|""Knights of the Flame came very near dissolution, were it not for you.""",Sir Hughes' Fate
"|""I grew up with Sir Hughes. Thank you for sparing his life.""",Sir Hughes' Fate (Spare Sir Hughes)
"|""I recognize you. Sir Hughes wanted me to convey his regards.""",Sir Hughes' Fate (Sir Hughes is spared)
"|""What happened at Firebrand Keep was downright embarrassing. Glad you restored order.""",Sir Hughes' Fate
"|""The Knights of the Flame say you saved their order. That's high praise.""",Sir Hughes' Fate
"|""You did us all a favor by saving Wayrest, but what were you doing down in those sewers?""",Deception in the Dark
"|""Look there! It's the one who brought those Pellingare brats to justice!""",Deception in the Dark
"|""I always knew them Pellingares were up to no good. Well done.""",Deception in the Dark
"|""The Vanne Family says you saved their farm. Well done.""",Rozenn's Dream
"|""Glad you got that lunatic Serge off Miranda Arcole's neck. Well done.""",A Woman Wronged (Save Miranda)
"|""I've heard of cold feet, but why would anyone open an Oblivion portal just to stop a wedding?""",Saving Hosni
"|""I heard old Aphren's Hold is no longer haunted. That was you! You have my thanks.""",King Aphren's Sword
"|""You walked into the Crypt of Hearts... and survived? I don't believe it!""",Lover's Torment
"|""Dathieu? The son of King Ranser's traitor general? Do we really want another Dathieu serving in the army?""",The Wayward Son
"|""Captain Thayer certainly found a bumper crop of guard recruits at Hoarfrost Downs. I wonder how he did it.""",Hoarfrost Downs Objective complete
"|""Daedric magic at the Edrald estate? I'm just glad you were able to close that portal!""",A Change of Heart
"|""I heard the battle in the Fevered Mews was touch and go. Glad you won the day.""",Shornhelm Divided
"|""You were the one who saved Camp Tamrith and killed Reezal-Jul? I hope his end was long and painful.""",The Blood-Splattered Shield
"|""Lord Ellic Dorell must have been working with the Montclairs. Why else would his father throw him in the stocks?""",The Liberation of Northpoint
"|""I heard what you did at the Doomcrag. I don't know if I could have been as half as brave as you, but thanks for what you did.""",The Lightless Remnant
"|""All hail King Alard, ruler of Shornhelm! May his wisdom and courage guide us for years to come!""",The Crown of Shornhelm (If Baron Alard Dorell is selected as king of Shornhelm)
"|""I am told the threat to Tava's Blessing has subsided thanks to you. It is an honor to meet you.""",Alasan's Plot
"|""I hear you helped drive the damned Imperials out of Satakalaam. Long live the Covenant!""",Imperial Incursion
"|""The nerve of the Imperials to attack Satakalaam! You gave them what they deserved!""",Imperial Incursion
"|""I saw several Reachmen run north, headed home. May a werewolf devour them before they get there!""",Heart of Evil
"|""The garrison's ever protected the pass, and it's ours once more. And the less we hear about Imperials or Reachmen, the better.""",Storming the Garrison
"|""Look here. If it isn't King Emeric's own champion. The hero of the Covenant!""",To Walk on Far Shores
"|""They say someone brought High King Emeric back from the dead. From the dead! I don't know what to believe any more.""",To Walk on Far Shores
"|""Bless my eyes, if it isn't the Scourge of Blackheart!""",Jumping Ship
"|""Look there! That's the one what bested Captain Blackheart and banished his crew!""",Jumping Ship
"|""It's great to hear the Mages Guild have a new refuge for study and contemplation. Scholars should have a safe place to study, don't you think?""",The Mad God's Bargain
"|""Someone told me that the Library of Dusk is a trap for smart people. I guess we're safe then.""",The Library of Dusk
"|""There's the hero who freed the researchers from the Library of Dusk. Well done, friend!""",The Library of Dusk
"|""Have you heard that King has returned? He's going to lead the Fighters Guild now.""",Light from the Darkness
"|""I heard a rumor that someone braved the Lightless Oubliette and saved the last Ayleid King.""",Light from the Darkness
"|""Vanus Galerion tried to destroy the Black Forge all by himself. He was captured, but someone rescued him.""",Breaking the Shackle
"|""I feel safer knowing that the Black Forge was destroyed.""",The Great Shackle
"|""I heard the Great Shackle was destroyed! I hope that means the Planemeld has been stopped.""",The Great Shackle
"|""I was beginning to think this fight was hopeless, but with the Great Shackle destroyed, we might just have a chance here.""",The Great Shackle
"|""An undead werewolf took over Camlorn? An undead... Werewolf? How does that even work?""",The Fall of Faolchu
"|""Good riddance to those mad cultists and their Bad Man tree.""",Season of Harvest
