Quality,Normal,Fine,Superior,Epic,Legendary
Max Health
Bonus Range,28-1051,70-1093,112-1136,154-1164,196-1206
Item Level,1,28,70,112,154,196
4,84,126,168,210,252
6,126,168,210,252,294
8,154,196,238,280,322
10,182,224,266,308,350
12,210,252,294,336,378
14,238,280,322,364,406
16,266,308,350,392,434
18,294,336,378,420,462
20,322,364,406,448,490
22,350,392,434,476,518
24,378,420,462,504,546
26,406,448,490,532,575
28,434,476,518,561,603
30,462,504,546,589,631
32,490,532,575,617,659
34,518,561,603,645,687
36,546,589,631,673,715
38,575,617,659,701,743
40,603,645,687,729,771
42,631,673,715,757,799
44,659,701,743,785,827
46,687,729,771,813,855
48,715,757,799,841,883
50,743,785,827,869,911
10,743,785,827,855,897
20,771,813,855,883,925
30,785,827,869,897,939
40,813,855,897,925,967
50,827,869,911,939,981
60,855,897,939,967,1009
70,869,911,953,981,1023
80,897,939,981,1009,1051
90,911,953,995,1023,1065
100,939,981,1023,1051,1093
110,953,995,1037,1065,1107
120,981,1023,1065,1093,1136
130,995,1037,1079,1107,1150
140,1023,1065,1107,1136,1178
150,1037,1079,1122,1150,1192
160,1051,1093,1136,1164,1206
