Location,Map,Quote
Glenumbra
On a cliff overlooking Deleyn's Mill,25257,"Well this is picturesque, eh? Aside from all the imps and such. Did you know that imps have belly-buttons? Please don't ask me why!"
Between the roots on the north side of the Beldama Wyrd Tree,25258,"Another breach near that tree, I think. Fun fact-all deciduous trees love accordion music. Just more proof that all trees are idiots."
On a bluff on the west side of Burial Mounds,25259,"Ugh … zombies. You ever try to talk to a zombie? They won't let you get a word in edgewise! Just groan this and moan that! Let's find this breach and leave, eh?"
Stormhaven
Inside a shipwreck on the west side of the Koeglin Lighthouse island,25266,"Another breach by the sea! Ship's seen better days, eh? It's like I always say-the only thing you should make out of wood is nothing. Wood is ridiculous."
On the edge of the highest tier of Cumberland Falls,25267,"Hmm …. I'm seeing a breach by a waterfall. Or maybe a flight of very wet stairs. Stairs are a bit silly, eh? Why not flip gravity and fall up?"
Just west of Moonlit Maw,25268,"Definitely a breach here, mate. Say, I was thinking-maybe we should get something for Josajeh to cheer her up! I'm thinking meat of some variety. You meat-brains like meat, right?"
Alik'r Desert
"On the edge of a cliff north of Salas En, northeast of The Warrior, overlooking Rain Catcher Fields",25261,"You're doing that thing where water squirts out of your skin, aren't you? Sweating, eh? Ugh. And you people think I'm weird! Let's find this breach and cool off."
Against a cliff wall west of Easterly Aerie,25262,"Hmm …. Yeah, there's a breach nearby. Say, did you know there are six and a half quadrillion grains of sand in the Alik'r? Oh, come on. Don't act like you're not impressed!"
Between HoonDing's Watch and Ragnthar,25265,"Ah, look! Yokudan ruins. You know the Yokudans could make magic idea-swords using nothing but their brains? Bit of a waste, that. I'd have made a very comfortable chair."
