Activity,Description
Complete 5 Quests,Complete quests throughout Tamriel.
Complete 15 Quests,Complete quests throughout Tamriel.
Claim 5 Rewards from the Daily Login Calendar,Claim Daily Login Calendar Rewards.
Claim 10 Rewards from the Daily Login Calendar,Claim Daily Login Calendar Rewards.
Visit 5 Player Homes,Visit player homes.
Visit 10 Player Homes,Visit player homes.
Kill 30 Foes in Auridon,Kill foes of any type in Auridon.
Kill 30 Foes in Stormhaven,Kill foes of any type in Stormhaven.
Kill 30 Foes in Eastmarch,Kill foes of any type in Eastmarch.
Kill 10 Public Dungeon Bosses in Grahtwood,"Kill Public Dungeon Bosses in Root Sunder Ruins, located in Grahtwood."
Kill 10 Public Dungeon Bosses in Rivenspire,"Kill Public Dungeon Bosses in Obsidian Scar, located in Rivenspire."
Kill 10 Public Dungeon Bosses in Stonefalls,"Kill Public Dungeon Bosses in Crow's Wood, located in Stonefalls."
Kill 5 Delve Bosses in Malabal Tor,Kill Delve bosses in Malabal Tor.
Kill 5 Delve Bosses in Glenumbra,Kill Delve bosses in Glenumbra.
Kill 5 Delve Bosses in Deshaan,Kill Delve bosses in Deshaan.
Earn 5 Ranks in a Skill Line,Earn ranks in any skill line. See the Skills menu for how to earn skill line ranks.
Earn 10 Ranks in a Skill Line,Earn ranks in any skill line. See the Skills menu for how to earn skill line ranks.
Complete 1 Battleground Match,Complete Battleground matches (win or lose).
Catch 40 Fish,Catch Fish.
Kill 200 Foes With Class Abilities,Finish off foes with Class Abilities.
Complete 5 Tribute Matches,Face opponents in Tales of Tribute through the Activity Finder.
Complete 10 Tribute Matches,Face opponents in Tales of Tribute through the Activity Finder.
"Complete the Banished Cells I, 3 times","Clear the Banished Cells I dungeon, located in Auridon."
"Complete Fungal Grotto I, 3 times","Clear the Fungal Grotto I dungeon, located in Stonefalls."
"Complete Spindleclutch I, 3 times","Clear the Spindleclutch I dungeon, located in Glenumbra."
"Complete Darkshade Caverns I, 3 times","Clear the Darkshade Caverns I dungeon, located in Deshaan."
"Complete Elden Hollow I, 3 times","Clear the Elden Hollow I dungeon, located in Grahtwood."
"Complete Wayrest Sewers I, 3 times","Clear the Wayrest Sewers I dungeon, located in Stormhaven."
"Complete Arx Corinium, 3 times","Clear the Arx Corinium dungeon, located in Shadowfen."
"Complete City of Ash I, 3 times","Clear the City of Ash I dungeon, located in Greenshade."
"Complete Crypt of Hearts I, 3 times","Clear the Crypt of Hearts I dungeon, located in Rivenspire."
Complete Aetherian Archive 1 time,"Gather your allies and complete the Aetherian Archive trial, located in southeastern Craglorn."
Complete 5 Incursions,Overcome Incursions and World Events throughout Tamriel.
Destroy 6 Dark Anchors,Destroy Dark Anchors sent to Tamriel by Molag Bal.
Harvest 50 Resources from the World,"Harvest crafting resources from plants, ore veins, or any other natural deposit."
Craft 50 Items with any skill,Craft items using any skill. Crafting stations can be found in most major cities.
Craft 10 Items inside your home,Craft items using any skill while in a Home that you own. Crafting stations can be placed in a Home as a furnishing.
Craft 30 Items inside your home,Craft items using any skill while in a Home that you own. Crafting stations can be placed in a Home as a furnishing.
