Activity,Description
Complete 15 Quests,Complete quests throughout Tamriel.
Earn 8 Whitestrake's Mayhem Boon Boxes,Earn Pelinal's Boon Boxes by participating in the Whitestrake's Mayhem event.
Earn 10 Event Tickets,Earn tickets during the current event.
Kill 10 Players in Cyrodiil,Kill enemy players in Cyrodiil.
Kill 50 Players in Cyrodiil,Kill enemy players in Cyrodiil.
Kill 100 Foes in Imperial City,Kill foes of any type in Imperial City.
Kill 500 Foes in Imperial City,Kill foes of any type in Imperial City.
Earn 2000 Tel Var Stones Through Kills and Rewards,"Earn Tel Var stones by killing players or monsters in the Imperial City, or by acquiring them through event rewards."
Earn 100000 Alliance Points,"Earn Alliance Points by participating in Battlegrounds, Cyrodiil, or the Imperial City."
Defeat 7 Patrolling Horrors in the Imperial City Districts,Defeat the colossal monsters that roam the Imperial City's districts.
Complete 10 Duels,Complete duels with other players (winning or losing). Forfeited duels do not count toward this goal.
Complete 1 Battleground Matches,Complete Battleground matches (win or lose).
Complete 5 Battleground Matches,Complete Battleground matches (win or lose).
"Heal 400000 Amount in Battlegrounds, Cyrodiil or Imperial City","Heal in Battlegrounds, Cyrodiil or Imperial City."
"Deal 800000 Damage in Battlegrounds, Cyrodiil or Imperial City","Deal Damage in Battlegrounds, Cyrodiil or Imperial City."
Deal 600000 Damage with Siege Weapons,"Deal damage with siege weapons like trebuchets, catapults, and ballistae in Cyrodiil (to players, guards, or keeps)."
Complete 5 Quests for Bruma in Cyrodiil,"Complete quests for the town of Bruma, found in Cyrodiil."
Complete 5 Quests for Cropsford in Cyrodiil,"Complete quests for the town of Cropsford, found in Cyrodiil."
Complete 5 Quests for Vlastarus in Cyrodiil,"Complete quests for the town of Vlastarus, found in Cyrodiil."
