Place,Boss/Quest,Set,Item Name,Description
Gold Road
Fort Colovia,The Silent Bell,Macabre Vintage,Legion's Cleaver,"Worn and well-used, this heavy blade bears the symbol of the Legion of the West Weald."
Fort Hastrel,The Deserter,Macabre Vintage,Last-Ditch Dagger,"Notched and stained, the steel blade of this dagger is still sharp."
Fyrelight Cave,A Matter of Propriety,Ayleid Refuge,Ring of Faithfulness,"Constructed with a single pearl mounted in a gold and silver setting, this ring is a proper gift for any intended lover."
Gray's Hollow,Seeking Armistice,Macabre Vintage,Eyepiercer,"Well made for a Goblin bow, the string is made from the tendons of some unknown beast."
Leftwheal Trading Post,Caught in a Trap,Ayleid Refuge,Leftwheal Cleaver,"A makeshift butcher's blade, this axe is more fearsome than many found on the battlefield."
Legion's Rest,Spilled Wine,Macabre Vintage,Merchant's Waistband,"Meant for a traveler's protection, the waistband is nevertheless attractive and can be worn on all occasions."
Nonungalo,Unfinished Business,Symmetry of the Weald,Spiteful Smiter,"Constructed of dark wood and green gems, this staff bristles with dark energy."
Ontus,Tracking the Trapper,N/A,West Weald Leather Supplies,This container holds an assortment of Clothier materials.
Ostumir,The Missing Cohort,Ayleid Refuge,Recollection's Fang,"Slightly leaf-shaped, this Wood Elf sword bears the symbol of the Recollection's leadership."
The Outcast Inn,The Many Paths,Symmetry of the Weald,Cold Comfort,"A crystal staff seemingly made of unmelting ice, this weapon bites the hands of all but its wielder with everlasting cold."
Rustwall Estate,The Missing Cohort,Ayleid Refuge,Legion's Guardian,This large shield bears the symbol of the Legion of the West Weald.
Silorn,Death and Titans,Symmetry of the Weald,Necromancer's Skullcap,"White and seemingly made of bone, this skullcap would be intimidating in any company."
Skingrad,Paths of Chaos,Macabre Vintage,Courser's Boots,"Soft and well-worn, these boots are proofed against weather and hard roads."
Seeds of Suspicion,Macabre Vintage,Pact-Keeper's Fervor,"Made from horn and sinew, this bow gleams with the passion of its wielder."
Relics of the Three Princes,Symmetry of the Weald,Supple Grasp,"Made from the hide of some long-extinct beast, these gloves provide a grip as fine as bare skin."
King Nantharion's Gambit,Ayleid Refuge,Grimspike Pauldrons,"Constructed from the mandibles of a giant spider, this shoulder armor provides resistance to all venoms."
Ithelia's Fury,Symmetry of the Weald,Band of Woven Fates,"The ring's band is composed of multiple, interwoven threads."
Fate of the Forgotten Prince,Symmetry of the Weald,Fatestepper's Leggings,"The smooth fabric of these leggings glistens in light and fades in darkness, protecting the wearer from both sight and harm."
In Memory Of,Ayleid Refuge,Centurion's Helm,"An elaborate helm marking the wearer's favor in West Weald, this Legion helm stands tall on its owner's head."
Appointed Executor,N/A,West Weald Lumber Supplies,This container holds an assortment of Woodworking materials.
Burnt Biscuits,Ayleid Refuge,Skingrad Girdle,"A thick belt made from bronze and steel rings, the buckle displays the head of a snarling bear."
Sutch,Terror of the Weald,Macabre Vintage,Fiend-Smasher,"A brutal-looking weapon, ideal for crushing skulls."
Valente Vineyards,Vesper Valente,N/A,Gallio Valente's Best Vintage,"A fine wine, fit for healing body, soul, and mind."
Weatherleah Estate,Where There's a Will,Symmetry of the Weald,Investigator's Garb,"Seemingly made almost entirely from secret pockets, this chest piece provides limited protection but ideal hiding spots for those items needed by any investigator."
Varen's Watch,Cold Fires on the Watch,Ayleid Refuge,Legionary Greaves,"Made to support legionaries who stand long watches, these greaves provide protection and comfort."
Vashabar,Self-Preservation,Symmetry of the Weald,Split-Bolt,"The head of this staff splits, almost as if cloven by lightning."
The Voice of the Village,Ayleid Refuge,Peacemaker's Necklace,"An attractive necklace constructed from myriad bits of glass and stone, it melds different colors and facets together in harmony."
Wendir,Ayleid Altercations,Macabre Vintage,Explorer's Safeguard,"A heavy stone band that appears chipped and nearly broken, this ring appears to have been made that way to lessen the chance of theft."
