Player level,Experience required for next level,Total experience for level,,Standard quest reward,Location discovery,Location completion
1,70,0,-,-,-
2,500,70,-,-,-
3,1 324,570,508,76,508
4,2 726,1 894,741,76,508
5,3 859,4 620,796,111,741
6,3 871,8 479,832,119,796
7,4 047,12 350,886,125,832
8,4 728,16 397,904,133,886
9,6 033,21 125,958,136,904
10,6 583,27 158,1012,144,958
11,7 659,33 741,1067,152,1012
12,9 338,41 400,1103,160,1067
13,10 865,50 738,1193,165,1103
14,12 733,61 603,1248,179,1193
15,13 489,74 336,1284,187,1248
16,15 131,87 825,1374,193,1284
17,18 444,102 956,1446,206,1374
18,21 274,121 400,1501,217,1446
19,24 368,142 674,1573,225,1501
20,25 672,167 042,1681,236,1573
21,29 186,192 714,1754,252,1681
22,32 950,221 900,1826,263,1754
23,34 618,254 850,1935,274,1826
24,39 322,289 468,2043,290,1935
25,42 744,328 790,2152,306,2043
26,44 457,371 534,2242,323,2152
27,49 845,415 991,2368,336,2242
28,53 983,465 836,2477,355,2368
29,60 171,519 819,2604,372,2477
30,59 625,579 990,2766,391,2604
31,66 890,639 615,2893,415,2766
32,75 065,706 505,3056,434,2893
33,79 594,781 570,3200,458,3056
34,80 655,861 164,3363,480,3200
35,84 104,941 819,3544,504,3363
36,85 323,1 025 923,3724,532,3544
37,90 954,1 111 246,3905,559,3724
38,96 014,1 202 200,4104,586,3905
39,101 897,1 298 214,4321,616,4104
40,100 817,1 400 111,4538,648,4321
41,110 146,1 500 928,4773,681,4538
42,118 131,1 611 074,5008,716,4773
43,121 894,1 729 205,5261,751,5008
44,131 212,1 851 099,5551,789,5261
45,141 280,1 982 311,5840,833,5551
46,149 516,2 123 591,6129,876,5840
47,166 516,2 273 107,6436,919,6129
48,178 557,2 439 623,6762,965,6436
49,187 494,2 618 180,7124,1014,6762
50,-,2 805 674,7485,1069,7124
