Place,Boss/Quest,Set,Item Name,Description
Summerset
Alinor,The Abyssal Cabal,Grace of Gloom,Battlereeve's Abyssal Gauntlets,Battlereeve Tanerline awarded you these gauntlets for investigating the Sea Sload threat to Summerset.
Culture Clash,Grace of Gloom,Club of the Nord Cultural Exchange,Rigurt the Brash gave you this blunt instrument in thanks for helping him arrange an audience with the Proxy Queen.
A Duelist's Dilemma,Gryphon's Ferocity,Polished Elf-Poker,"Roguzog didn't need a blade to teach Lirendel a lesson, so he gave this dueling foil to you."
A New Alliance,Wisdom of Vanus,Ring of Summerset's Champion,"A plain silver band bestowed by Razum-dar on behalf of Queen Ayrenn, in token of your heroic actions across Summerset"
Artaeum,The Queen's Decree,Wisdom of Vanus,Sash of the Psijic Order,A mage's belt awarded by the Psijic Order for your help in solving the mystery at the Monastery of Serene Harmony.
Ceporah Tower,A Pearl of Great Price,Gryphon's Ferocity,Ritemaster's Gifted Axe,You earned this ancient Altmer axe by exposing the alliance between the Sea Sload and the Court of Bedlam.
Buried Memories,Wisdom of Vanus,Ritemaster's Gifted Staff,"You freed Ritemaster Iachesis from the control of the Sea Sload K'Tora. In thanks, he gave you this fiery Altmer staff."
The Tower Sentinels,Gryphon's Ferocity,Tower Sentinel Brigandine,"The elegant cuirass of the warriors who guard the Crystal Tower, your reward for defending the Sapiarchs from a Daedric attack."
The Dreaming Cave,Grace of Gloom,Ritemaster's Gifted Gardbraces,Ritemaster Iachesis awarded you these Daedric shoulder pieces for rescuing Meridia's champion.
Lost in Translation,Grace of Gloom,Ritemaster's Memorial Battlesword,"You earned this beautiful ancient greatsword with your valor in the Daedric realm of Evergloam, but the cost was dear."
A Necessary Alliance,Wisdom of Vanus,Surcoat of the Psijic Order,"Embroidered with Psijic designs, this elegant robe is stronger than it appears."
The Crystal Tower,Wisdom of Vanus,Staff of the Crystal Tower,
Cey-Tarn Keep,The Taste of Fear,Grace of Gloom,Greaves of the Insatiable,You took these Daedric greaves as a trophy of your victory over the Insatiable beneath Cey-Tarn Keep.
Corgrad Wastes,Wasting Away,Gryphon's Ferocity,Corgrad Heirloom Belt,An ancient belt Faidur found in the half-drowned ruins of Corgrad.
Direnni Acropolis,Lauriel's Lament,Wisdom of Vanus,Tomb Keeper's Breeches,Bailiff Erator gave you these enchanted breeches in thanks for dealing with the spirit of Lauriel in the Direnni Acropolis.
Ebon Stadmont,The Ebon Sanctum,Wisdom of Vanus,Reverie's Trick Bow,Andewen gave you this fine old bow for saving her from a very peculiar doom at Ebon Stadmont.
Eldbur Ruins,Whispers from the Deep,Wisdom of Vanus,Shoes of the Psijic Order,"Well-made footwear, your reward for helping the Psijic Oriandra free her companions from insidious traps in Eldbur Ruins."
Eldbur Sanctuary,The Mind Trap,N/A,Forgotten Adventurer's Strong Box,"This box supposedly belongs to you, though your memory of it is hazy. Nonetheless, its contents will help you get back on your feet."
Illumination Academy,Illusions of Grandeur,Grace of Gloom,Targe of Foul Story,Some books are dangerous. You won this Daedric shield by cleansing the Illumination Academy of a very unusual spirit.
Karnwasten,An Unexpected Betrayal,Grace of Gloom,Renzir's Smuggled Smasher,"For your help at Karnwasten, Renzir gave you this mighty hammer. Hardly a smuggler's weapon, in any case."
Lillandril,Murder In Lillandril,Wisdom of Vanus,Fallen Scholar's Epaulets,The Sapiarchy awarded you these epaulets in gratitude for investigating the murder of one of their own.
The Perils of Art,Gryphon's Ferocity,Boots of the Courier,You earned these well-worn boots by choosing between two rival artists after the same art supplies.
The Hulkynd's Heart,Gryphon's Ferocity,Hulkynd's Tattered Girdle,The sturdy belt of a hunter accustomed to a life in the woods and hills of Summerset.
Oleander Coast Winery,Bantering with Bandits,Gryphon's Ferocity,Hulkynd's Sullied Sabatons,"A handsome pair of heavy boots, commemmorating your involvement in a tale of fake bandits and star-crossed lovers."
Rellenthil,Manor of Masques,Gryphon's Ferocity,Chapeau of Revels,A flamboyant cap that conceals your features. Performers in the House of Reveries prefer anonymity.
Russafeld,Old Wounds,Gryphon's Ferocity,Ghost's Skullcap,A rather plain-looking helmet that once belonged to the killer known as the Ghost of the Green.
Sea Keep,Storming the Walls,Grace of Gloom,Sea Keep Siege Cuirass,"You defended Sea Keep from a Maormer siege. For your valor, you received this excellent Dominion armor."
Shimmerene,A Tale of Two Mothers,Gryphon's Ferocity,Rat-Fang Dagger,The rats who live below the streets of Shimmerene have surprisingly sharp teeth.
Sil-Var-Woad,Untamed and Unleashed,Gryphon's Ferocity,Menagerie Keeper's Gloves,Talomar of the Royal Menagerie gave you these fine hide gloves for putting an end to Conservator Vinelore's cruel experiments.
Summerset,The Forest Vandal,Wisdom of Vanus,Green Gardener's Booties,You earned these sturdy boots by removing the stranglers infesting Vinafwe's garden.
Gjadil's Legacy,Grace of Gloom,Gjadil's Treasured Waist Strap,"The treasure chest Igeke Rat-Bite hired you to retrieve was a disappointment, but gave you this fine belt anyway."
Obedience Issues,Grace of Gloom,Heartless Widow's Locket,Kinlady Ilunsare allowed you to keep her husband's magical locket after you found him dead. It meant nothing to her.
Sunhold,Sunhold Sundered,Gryphon's Ferocity,Sunnawel's Shining Espaulders,"A fine pair of High Elven shoulder pieces, bestowed by Kinlady Helenaere for defending Sunhold from a Maormer invasion."
Traitor's Vault,Half-Formed Understandings,Wisdom of Vanus,Staff of Forbidden Knowledge,This sinister Daedric staff crackles with dark enchantments. A suitable reward for exploring the Traitor's Vault.
