Activity,Description
Claim 5 Rewards from the Daily Login Calendar,Claim Daily Login Calendar Rewards.
Claim 15 Rewards from the Daily Login Calendar,Claim Daily Login Calendar Rewards.
Kill 100 Foes in Coldharbour,Kill foes of any type in Coldharbour.
Kill 100 Bestial Daedra,"Kill ogrims, clannfear, Scamps and other bestial Daedra. These cruel monstrosities stalk the planes of Oblivion in great numbers."
Kill 100 Humanoid Daedra,"Kill Dremora, Xivkyn, Skaafin, and other humanoid Daedra. Seek these cruel Daedric servants in the planes of Oblivion."
Defeat 500 Enemies,Defeat foes across Tamriel.
Successfully Defend 1 Siege Camp,Defend Stirk Fellowship siege camps in Western Solstice to prevent encroaching Worm Cult forces from capturing the camp.
Successfully Defend 5 Siege Camps,Defend Stirk Fellowship siege camps in Western Solstice to prevent encroaching Worm Cult forces from capturing the camp.
Successfully Defend 10 Siege Camps,Defend Stirk Fellowship siege camps in Western Solstice to prevent encroaching Worm Cult forces from capturing the camp.
Successfully Defend 20 Siege Camps,Defend Stirk Fellowship siege camps in Western Solstice to prevent encroaching Worm Cult forces from capturing the camp.
Kill 5 Coldharbour Battlemasters at Siege Camps,Defeat the Coldharbour Battlemasters leading the Worm Cult attacks on Stirk Fellowship siege camp in Western Solstice.
Kill 10 Coldharbour Battlemasters at Siege Camps,Defeat the Coldharbour Battlemasters leading the Worm Cult attacks on Stirk Fellowship siege camp in Western Solstice.
Kill 20 Coldharbour Battlemasters at Siege Camps,Defeat the Coldharbour Battlemasters leading the Worm Cult attacks on Stirk Fellowship siege camp in Western Solstice.
Kill 3 World Bosses 20px,Kill World Bosses
Kill 10 World Bosses 20px,Kill World Bosses
Charge the Meridian Lens 5 times,"Gather vitrified souls for Orinde Glenuvon at the Stirk Fellowship camps in Western Solstice or Stirk to complete the ""Charging the Lens"" quest."
Charge the Meridian Lens 10 times,"Gather vitrified souls for Orinde Glenuvon at the Stirk Fellowship camps in Western Solstice or Stirk to complete the ""Charging the Lens"" quest."
Charge the Meridian Lens 15 times,"Gather vitrified souls for Orinde Glenuvon at the Stirk Fellowship camps in Western Solstice or Stirk to complete the ""Charging the Lens"" quest."
Kill Ghishzor the Maldrith 1 time,Kill the Maldrith Ghishzor when it takes the field during the Writhing Wall Event.
Defend or Recapture 1 Siege Camp,Defend or recapture Stirk Fellowship siege camps in Western Solstice.
Defend or Recapture 5 Siege Camps,Defend or recapture Stirk Fellowship siege camps in Western Solstice.
Defend or Recapture 10 Siege Camps,Defend or recapture Stirk Fellowship siege camps in Western Solstice.
Defend or Recapture 15 Siege Camps,Defend or recapture Stirk Fellowship siege camps in Western Solstice.
Defend or Recapture 20 Siege Camps,Defend or recapture Stirk Fellowship siege camps in Western Solstice.
Defend or Recapture 30 Siege Camps,Defend or recapture Stirk Fellowship siege camps in Western Solstice.
Defend or Recapture 40 Siege Camps,Defend or recapture Stirk Fellowship siege camps in Western Solstice.
Destroy 10 Soul Reaper Devices,Destroy the Worm Cult's soul reaper devices deployed across Tamriel.
Destroy 15 Soul Reaper Devices,Destroy the Worm Cult's soul reaper devices deployed across Tamriel.
Destroy 20 Soul Reaper Devices,Destroy the Worm Cult's soul reaper devices deployed across Tamriel.
Kill 3 Invaded Delve or Public Dungeon Bosses,Kill bosses at marked delves and public dungeons across Tamriel.
Kill 10 Invaded Delve or Public Dungeon Bosses,Kill bosses at marked delves and public dungeons across Tamriel.
Complete 5 Stirk Fellowship Crafting Repeatable Jobs,Complete crafting repeatable jobs for Armorer Reistaff at the Stirk Fellowship camps in Western Solstice or Stirk.
Complete 10 Stirk Fellowship Crafting Repeatable Jobs,Complete crafting repeatable jobs for Armorer Reistaff at the Stirk Fellowship camps in Western Solstice or Stirk.
Complete 20 Stirk Fellowship Crafting Repeatable Jobs,Complete crafting repeatable jobs for Armorer Reistaff at the Stirk Fellowship camps in Western Solstice or Stirk.
Complete 5 Stirk Fellowship Supply Repeatable Jobs,Complete supply repeatable jobs for Quartermaster Nurwalne at the Stirk Fellowship camps in Western Solstice or Stirk.
Complete 10 Stirk Fellowship Supply Repeatable Jobs,Complete supply repeatable jobs for Quartermaster Nurwalne at the Stirk Fellowship camps in Western Solstice or Stirk.
Complete 20 Stirk Fellowship Supply Repeatable Jobs,Complete supply repeatable jobs for Quartermaster Nurwalne at the Stirk Fellowship camps in Western Solstice or Stirk.
Complete 3 Trials,Gather your allies and complete Trials.
Kill Guuffetarez in the Writhing Fortress 1 Time,"Once the Writhing Wall has been weakened, assault the Writhing Fortress and kill the Harvester Sentinel Guuffetarez."
Kill Gauztuul the Terror in the Writhing Fortress 1 Time,"Once the Writhing Wall has been weakened, assault the Writhing Fortress and kill the Bone Colossus Sentinel Gauztuul the Terror."
Kill Zysax in the Writhing Fortress 1 Time,"Once the Writhing Wall has been weakened, assault the Writhing Fortress and kill the Titan Tower Guardian Zysax."
Complete 3 Master Writs,Complete Master Writ quests of any type.
Bring Down the Writhing Wall,"Bring down the Writhing Wall on Solstice and complete the ""Crossing the Wall"" quest."
