Script,Price,Grimoires,Requirements
Bleed Damage,"First: 40,000; Later: 8,000","Smash, Traveling Knife, Vault, Wield Soul, Soul Burst, Torchbearer, Ulfsild's Contingency",Sigil of the Luminary Gryphon
Damage Shield,free,"Mender's Bond, Smash, Wield Soul, Soul Burst, Ulfsild's Contingency",Found at the Davon's Watch Mages Guild
Disease Damage,"First: 40,000; Later: 8,000","Vault, Wield Soul, Soul Burst, Trample",Sigil of the Luminary Gryphon
Dispel,"First: 40,000; Later: 8,000","Elemental Explosion, Trample",Sigil of the Luminary Gryphon
Flame Damage,"First: 40,000; Later: 8,000","Elemental Explosion, Vault, Wield Soul, Soul Burst, Torchbearer, Ulfsild's Contingency, Banner Bearer",Sigil of the Luminary Gryphon
Frost Damage,"First: 40,000; Later: 8,000","Elemental Explosion, Shield Throw, Traveling Knife, Wield Soul, Soul Burst, Torchbearer, Ulfsild's Contingency, Trample",Sigil of the Luminary Gryphon
Generate Ultimate,"First: 40,000; Later: 8,000","Mender's Bond, Torchbearer",Sigil of the Luminary Gryphon
Healing,First: free; Later: 10,"Mender's Bond, Smash, Vault, Wield Soul, Soul Burst, Torchbearer, Ulfsild's Contingency",Reward for The Wing of the Indrik quest.
Immobilize,"First: 40,000; Later: 8,000","Mender's Bond, Shield Throw, Vault, Soul Burst, Ulfsild's Contingency, Banner Bearer",Sigil of the Luminary Gryphon
Knockback,"First: 40,000; Later: 8,000","Elemental Explosion, Shield Throw, Smash, Torchbearer, Ulfsild's Contingency, Trample",Sigil of the Luminary Gryphon
Magic Damage,free,"Elemental Explosion, Mender's Bond, Shield Throw, Smash, Traveling Knife, Wield Soul, Soul Burst, Ulfsild's Contingency, Banner Bearer, Trample",Earned for free during The Second Era of Scribing quest.
Mitigation,"First: 40,000; Later: 8,000","Mender's Bond, Banner Bearer",Sigil of the Luminary Gryphon
Multi-Target,"First: 40,000; Later: 8,000","Shield Throw, Traveling Knife, Banner Bearer",Sigil of the Luminary Gryphon
Physical Damage,free,"Elemental Explosion, Shield Throw, Smash, Traveling Knife, Wield Soul, Soul Burst, Torchbearer, Banner Bearer, Trample",Found at the Vulkhel Guard Mages Guild
Poison Damage,"First: 40,000; Later: 8,000","Smash, Traveling Knife, Vault",Sigil of the Luminary Gryphon
Pull,"First: 40,000; Later: 8,000","Shield Throw, Traveling Knife, Wield Soul, Soul Burst",Sigil of the Luminary Gryphon
Restore Resources,"First: 40,000; Later: 8,000","Mender's Bond, Banner Bearer",Sigil of the Luminary Gryphon
Shock Damage,"First: 40,000; Later: 8,000","Elemental Explosion, Wield Soul, Soul Burst, Ulfsild's Contingency, Banner Bearer",Sigil of the Luminary Gryphon
Stun,free,"Elemental Explosion, Smash, Traveling Knife, Wield Soul, Torchbearer, Trample",Found at the Daggerfall Mages Guild
Taunt,"First: 40,000; Later: 8,000","Shield Throw, Smash, Vault",Sigil of the Luminary Gryphon
Trauma,"First: 40,000; Later: 8,000","Elemental Explosion, Trample",Sigil of the Luminary Gryphon
