7Normal,7Fine,7Superior,7Epic,7Legendary
Material,Level,Resistance
rowspan=7 |Iron/ Rawhide/ Jute,1,7 (white) / 17 (green) / 28 (blue) / 38 (purple) / 49 (gold)
4,21 (white) / 31 (green) / 42 (blue) / 52 (purple) / 63 (gold)
6,31 (white) / 42 (green) / 52 (blue) / 63 (purple) / 73 (gold)
8,38 (white) / 49 (green) / 59 (blue) / 70 (purple) / 80 (gold)
10,45 (white) / 56 (green) / 66 (blue) / 77 (purple) / 87 (gold)
12,52 (white) / 63 (green) / 73 (blue) / 84 (purple) / 94 (gold)
14,59 (white) / 70 (green) / 80 (blue) / 91 (purple) / 101 (gold)
rowspan=5 |Steel/ Hide/ Linen,16,66 (white) / 77 (green) / 87 (blue) / 98 (purple) / 108 (gold)
18,73 (white) / 84 (green) / 94 (blue) / 105 (purple) / 115 (gold)
20,80 (white) / 91 (green) / 101 (blue) / 112 (purple) / 122 (gold)
22,87 (white) / 98 (green) / 108 (blue) / 119 (purple) / 129 (gold)
24,94 (white) / 105 (green) / 115 (blue) / 126 (purple) / 136 (gold)
rowspan=5 |Orichalcum/ Leather/ Cotton,26,101 (white) / 112 (green) / 122 (blue) / 133 (purple) / 143 (gold)
28,108 (white) / 119 (green) / 129 (blue) / 140 (purple) / 150 (gold)
30,115 (white) / 126 (green) / 136 (blue) / 147 (purple) / 157 (gold)
32,122 (white) / 133 (green) / 143 (blue) / 154 (purple) / 164 (gold)
34,129 (white) / 140 (green) / 150 (blue) / 161 (purple) / 171 (gold)
rowspan=5 |Dwarven/ Full-Leather/ Spidersilk,36,136 (white) / 147 (green) / 157 (blue) / 168 (purple) / 178 (gold)
38,143 (white) / 154 (green) / 164 (blue) / 175 (purple) / 185 (gold)
40,150 (white) / 161 (green) / 171 (blue) / 182 (purple) / 192 (gold)
42,157 (white) / 168 (green) / 178 (blue) / 189 (purple) / 199 (gold)
44,164 (white) / 175 (green) / 185 (blue) / 196 (purple) / 206 (gold)
rowspan=3 |Ebony/ Fell Hide/ Ebonthread,46,171 (white) / 182 (green) / 192 (blue) / 203 (purple) / 213 (gold)
48,178 (white) / 189 (green) / 199 (blue) / 210 (purple) / 220 (gold)
50,185 (white) / 196 (green) / 206 (blue) / 217 (purple) / 227 (gold)
rowspan=3 |Calcinium/ Brigandine/ Kresh,CP10,185 (white) / 196 (green) / 206 (blue) / 213 (purple) / 224 (gold)
CP20,192 (white) / 203 (green) / 213 (blue) / 220 (purple) / 231 (gold)
CP30,196 (white) / 206 (green) / 217 (blue) / 224 (purple) / 234 (gold)
rowspan=3 |Galatite/ Ironhide/ Ironthread,CP40,203 (white) / 213 (green) / 224 (blue) / 231 (purple) / 241 (gold)
CP50,206 (white) / 217 (green) / 227 (blue) / 234 (purple) / 245 (gold)
CP60,213 (white) / 224 (green) / 234 (blue) / 241 (purple) / 252 (gold)
rowspan=2 |Quicksilver/ Superb Hide/ Silverweave,CP70,217 (white) / 227 (green) / 238 (blue) / 245 (purple) / 255 (gold)
CP80,224 (white) / 234 (green) / 245 (blue) / 252 (purple) / 262 (gold)
rowspan=6 |Voidsteel/ Shadowhide/ Shadowspun,CP90,227 (white) / 238 (green) / 248 (blue) / 255 (purple) / 266 (gold)
CP100,234 (white) / 245 (green) / 255 (blue) / 262 (purple) / 273 (gold)
CP110,238 (white) / 248 (green) / 259 (blue) / 266 (purple) / 276 (gold)
CP120,245 (white) / 255 (green) / 266 (blue) / 273 (purple) / 283 (gold)
CP130,248 (white) / 259 (green) / 269 (blue) / 276 (purple) / 287 (gold)
CP140,255 (white) / 266 (green) / 276 (blue) / 283 (purple) / 294 (gold)
rowspan=2 |Rubedite/ Rubedo Leather/ Ancestor Silk,CP150,259 (white) / 269 (green) / 280 (blue) / 287 (purple) / 297 (gold)
CP160,262 (white) / 273 (green) / 283 (blue) / 290 (purple) / 301 (gold)
