Rumor,Quest (choice)
"|""The hero of Davon's Watch. What I wouldn't have given to see Balreth destroy the Daggerfall army.""",City Under Siege
"|""Davon's Watch would have been overrun if you hadn't been there.""",City Under Siege
"|""Drathus told everyone who would listen how you discovered that spy.""",Restoring Order
"|""Praise Vivec, you were there to stop Alexandra Conele from capturing the coral heart!""",The Coral Heart
"|""Because of you, the Pact was able to defend Vivec's Antlers.""",The Coral Heart
"|""Thank Vivec you stopped the Covenant from summoning Sadal!""",The General's Demise
"|""Anyone who has House respect has mine.""",Saving the Son
"|""That was a brave deed, rescuing Sen Dres.""",Saving the Son
"|""If you hadn't stopped the Covenant from summoning Sadal, we'd all be dead.""",The General's Demise
"|""Almost joined the Maulborn myself. They seemed like good people doing good work. Did they fool me!""",Bad Medicine
"|""House Redoran spotted Orcs at Malak's Maw. They were harassing travelers. Everything's under control now, praise Almalexia!""",Intruders in Deshaan
"|""My friend Sela's been talking about you! Thanks for helping her, and kicking out those corpse-eating lunatics.""","A Bitter Pil (Tell Sela to leave the camp during A Family Divided, and burn the cannibals' meat stores)"
"|""The Muth Gnaar monks use an ancient Daedric artifact to heal. How dare the Vereansu interfere with their holy work.""",Honor Bound
"|""Even if you hadn't destroyed those shipments, I'm sure the Tribunal would have stopped the plague before it reached Mournhold.""",Payback
"|""Maybe the restrictions in Mournhold will ease now that the Temple is safe again.""",The Seal of Three
"|""Rumor has it that Deepcrag Den was sabotaged. By one of its own workers!""",Search and Rescue
"|""Magistrix Vox nearly destroyed Selfora, just because the people refused to bow down to her.""",Rescue and Revenge
"|""Why would Vox attack her own people in Selfora? It's madness!""",Rescue and Revenge
"|""Argonians in Silent Mire had a bit of pirate trouble recently, but I heard some stranger saved them.""",The Saving of Silent Mire
"|""Some of the lizard folk were attacked in Silent Mire. It's just an old swamp, so at least nothing valuable was ruined.""",The Saving of Silent Mire
"|""I can't believe Vox smashed Saint Veloth's reliquary. Thank you for helping to restore it.""",A Saint Asunder
"|""You were at Eidolon's Hollow and survived? You must be stronger than a mammoth!""",The Judgment of Veloth
"|""I don't care what you say, the killer in Stormhold was a Shadowscale!""",Getting to the Truth
"|""I'm glad Stormhold is safe again. But why did the killer restrict himself to Dunmer?""",Getting to the Truth
"|""Nasty business in Stormhold. You must enjoy having the ear of the vicecanons.""",Getting to the Truth
"|""You couldn't free those Imperial soldiers from White Rose. They're the enemy.""",The Keystone (Spare the prisoners of Whiterose)
"|""Are you the one who freed the bards at Skald's Retreat?""",Song of Awakening
"|""Did you hear? A hero broke the curse at Skald's Retreat!""",Song of Awakening
"|""You were at Faldar's Tooth, when Thallik tried to open a portal to Oblivion!""",Beneath the Surface
"|""Did you hear that Thallik tried to open a portal to Oblivion?""",Beneath the Surface
