Icon,Item,Price,Required Achievement
,Blackwood Furnishing Folio (view contents),700,Unsurpassed Crafter
,Crafter's Furnishing Folio (view contents),"1,100",Unsurpassed Crafter
,Dark Elf Furnishing Folio (view contents),600,Unsurpassed Crafter
,Deadlands Furnishing Folio (view contents),700,Unsurpassed Crafter
,Dragonhold Furnishing Folio (view contents),700,Unsurpassed Crafter
,Ebonheart Furnishing Folio (view contents),700,Unsurpassed Crafter
,Elsweyr Furnishing Folio (view contents),700,Unsurpassed Crafter
,Galen Furnishing Folio (view contents),700,Unsurpassed Crafter
,High Isle Furnishing Folio (view contents),700,Unsurpassed Crafter
,Markarth Furnishing Folio (view contents),700,Unsurpassed Crafter
,Morrowind Furnishing Folio (view contents),600,Unsurpassed Crafter
,Necrom Furnishing Folio (view contents),700,Unsurpassed Crafter
,Summerset Furnishing Folio (view contents),800,Unsurpassed Crafter
,Tomehold Furnishing Folio (view contents),700,Unsurpassed Crafter
,Western Skyrim Furnishing Folio (view contents),700,Unsurpassed Crafter
,West Weald Furnishing Folio I (view contents),700,Unsurpassed Crafter
,West Weald Furnishing Folio II (view contents),700,Unsurpassed Crafter
