Normal,Fine,Superior,Epic,Legendary,Normal,Fine,Superior,Epic,Legendary
Material,Level,Base Damage,,Nirnhoned Damage
Iron/ Maple,1,168,204,239,275,311,186,228,270,313,357
4,215,251,287,323,358,238,281,324,368,411
6,251,287,323,358,394,278,321,364,408,453
8,275,311,346,382,418,305,348,390,435,480
10,299,334,370,406,442,331,374,418,462,508
12,323,358,394,430,465,358,400,445,490,534
14,346,382,418,453,489,384,427,472,516,562
Steel/ Oak,16,370,406,442,477,513,410,454,499,543,589
18,394,430,465,501,537,437,481,525,571,617
20,418,453,489,525,561,463,507,552,598,645
22,442,477,513,549,584,490,534,579,625,671
24,465,501,537,572,608,516,561,606,652,699
Orichalcum/ Beech,26,489,525,561,596,632,542,588,633,679,726
28,513,549,584,620,656,569,614,659,706,754
30,537,572,608,644,680,596,640,687,734,782
32,561,596,632,668,703,622,667,714,761,808
34,584,620,656,691,727,648,694,741,787,836
Dwarven/ Hickory,36,608,644,680,715,751,674,721,768,815,863
38,632,668,703,739,775,701,748,794,842,891
40,656,691,727,763,799,728,773,821,869,918
42,680,715,751,787,822,754,800,848,897,945
44,703,739,775,810,846,780,827,875,923,972
Ebony/ Yew,46,727,763,799,834,870,806,854,902,950,1000
48,751,787,822,858,894,833,881,928,978,1028
50,775,810,846,882,918,860,907,955,1005,1055
Calcinium/ Birch,10,775,810,846,870,906,860,907,955,991,1041
20,799,834,870,894,929,886,934,983,1019,1068
30,810,846,882,906,941,899,947,996,1032,1082
Galatite/ Ash,40,834,870,906,929,965,925,974,1023,1059,1109
50,846,882,918,941,977,939,987,1037,1072,1123
60,870,906,941,965,1001,965,1014,1063,1100,1151
Quicksilver/ Mahogany,70,882,918,953,977,1013,979,1028,1076,1113,1164
80,906,941,977,1001,1037,1005,1053,1104,1141,1192
Voidsteel/ Nightwood,90,918,953,989,1013,1048,1018,1067,1117,1154,1205
100,941,977,1013,1037,1072,1044,1094,1144,1182,1232
110,953,989,1025,1048,1084,1057,1107,1158,1194,1246
120,977,1013,1048,1072,1108,1084,1134,1184,1222,1274
130,989,1025,1060,1084,1120,1097,1148,1197,1235,1288
140,1013,1048,1084,1108,1144,1124,1173,1224,1263,1315
Rubedite/ Ruby Ash,150,1025,1060,1096,1108,1235,1137,1187,1238,1276,1420
160,1037,1072,1108,1132,1335,1151,1200,1252,1290,1535
