Rumor,Quest (choice)
"|""Someone has finally defeated that old crone, Mother Murk. Maybe the Hag Fen will be safer now.""",Wyrd and Coven
"|""I heard you helped the soldiers camped at the Redoubt. Thank you for that.""",The Lion Guard's Stand
"|""You saved Glenumbra? Really? I guess I'm impressed.""",Angof the Gravesinger
"|""You brought Constable Pascal to justice, didn't you? That poor man.""",False Accusations (apprehend Constable Pascal)
"|""Poor Princess Lakana! Thank you for trying to save her.""",Life of the Duchess
"|""The death of Princess Lakana was so tragic, but we appreciate your efforts to save her.""",Life of the Duchess
"|""Count Hosni's so thrilled with what you did for him, he's throwing another party!""",Saving Hosni
"|""The Crestshade refugees are safe and Captain Janeve survived the battle. You had something to do with that, didn't you?""",The Blood-Splattered Shield (Spare Captain Janeve)
"|""The Doomcrag! It collapsed! I just hope that terrible Montclair was under it when it fell.""",The Lightless Remnant
"|""You were the one that helped Count Ravenwatch explore the Lorkrata ruins? Did you find something to stop the blood-curse?""",The Concealing Veil
"|""Psst! I hear you helped get the latest batch of skooma into Sentinel. Thank you.""",Seize the Moment (Help the Baandari smuggler)
"|""If I am not mistaken, you are a friend to Prince Azah. Safe roads to you then.""",The Impervious Vault
"|""They say you are the one who fights the Withered Hand. Tu'whacca watch over you.""",The Initiation
"|""You are the one they say joined the Ash'abah. I cannot imagine why.""",The Initiation
"|""Did you hear what happened to that treasure hunter who looted Badwater mine? Dead. Strange, eh?""",Badwater Mine (Let the treasure hunter keep the cursed gems)
"|""I know people despise the Ash'abah, but I appreciate the sacrifice you make, the sacrifice Sameer made.""",The Initiation
"|""My son studies at Leki's Blade. He told me you saved the school from great danger. Thank you!""'",Master of Leki's Blade
"|""Everyone's talking about what you did for Nahrina, driving off that debt collector. That was so brave!""",An Ill-Fated Venture (Give Tavo's treasure to Nahrina)
"|""The Throne Keeper says you cleansed Tu'whacca's throne. Truly one favored by the gods.""",A Reckoning with Uwafa
"|""Throne Keeper Farvad says you are Tu'whacca's champion. I hope it is true.""",A Reckoning with Uwafa
"|""You exposed the Magistrate in Bergama. Thank you for seeing justice was served.""",Gone Missing
"|""Bergama's Magistrate should be taken into the desert and stoned to death. That is all.""",Gone Missing
"|""My brother worked the shipyards at Tava's Blessing. Thanks to you, he can soon return.""",Alasan's Plot
"|""What you accomplished at Tava's Blessing was a miracle! The gods are surely with you!""",Alasan's Plot
"|""The liberator of Satakalaam! I salute you!""",Imperial Incursion
"|""Imperial dogs! I thank Ruptga we have people like you to protect us.""",Imperial Incursion
"|""When the Withered Hand came, I feared all was lost. Thank you for saving us.""",Restoring the Ansei Wards
"|""They say the queen herself killed Duke Renchant. Good for her!""",Imperial Infiltration Let Queen Arzhela decide Duke Renchant's fate
"|""The grandeya's safe, and the Imperials are gone. Our lives can begin again!""",The Shifting Sands of Fate
"|""About time there was a strong Redguard leading the Fighters Guild. He'll keep the outlanders in line!""",Will of the Council
