Rumor,Quest (choice)
"|""You defended Fort Virak against General Serien. A friend of mine fought there!""",The General's Demise
"|""Good thing you stopped General Serien. Too bad about Tanval's son, though.""",The General's Demise
"|""Heard you wiped out that Goblin tribe in Fungal Grotto. Maybe I can go visit the place now.""",Kings of the Grotto
"|""Don't know why the Ashlanders attacked a holy order, but at least someone stopped them.""",The Medallions of Saint Veloth
"|""Plague in Narsis? Hah! Those Dark Elves wouldn't know a real plague if it crawled out and bit them.""",Hiding in Plain Sight
"|""The Ordinators seem on edge. What are the Dark Elves so nervous about?""",The Seal of Three
"|""If you hadn't defeated that nasty little Elf, Vox, I'm sure our great King Jorunn would have taken care of her.""",The Judgment of Veloth
"|""I heard Ten-Maur-Wolk was full of Daedra. You're no milk-drinker, that's for sure.""",The Skin-Stealer's Lair
"|""When did the skin-stealers take Hrondar? Weeks ago? Months? Years?""",The Skin-Stealer's Lair
"|""The Dominion never should've gone to Loriasel. The lamias ate them for breakfast!""",The Dominion's Alchemist
"|""Aren't you the Champion of Windhelm? The one that stopped Fildgor Orcthane?""",Songs of Sovngarde
"|""I heard that Skorvild baited the giants into attacking Lower Yorgrim.""",Giant Problems
"|""Did you hear? Someone stole Queen Nurnhilde's body from the Royal Tombs.""",Sleep for the Dead
"|""Caught the King's old mage red-handed in Lodorr's tomb, did you? You've got my thanks.""",Lost Crown
"|""Heard you found some witch raising Draugr in the Hall of the Dead. We live in dangerous times.""",Lost Crown
"|""Now that the giant threat is over, I'm going to start trading in Lower Yorgrim again.""",Giant Problems
"|""I love mead. I love Voljar mead. Well, really, I love any mead. I'm not that particular.""",A Brother's Revenge
"|""Heard the Orcthane sent thugs to harass the owners of Voljar's Meadery. But you can't keep a good Nord down.""",A Brother's Revenge
"|""The Stormfist Brigade made a critical mistake at Cradlecrush. They should have left the mammoths alone.""",The Siege of Cradlecrush
"|""The King and his councilors are camped at Jorunn's Stand, getting ready to move against Fildgor Orcthane. It's about time, I say.""",Gods Save the King
"|""We Nords will root out that bastard Fildgor. He won't be able to hide in the hills for very long.""",The War Council
"|""Maybe Jorunn deserved this fate. Maybe Fildgor was right all along. The Nord people must stand together.""",Gods Save the King
"|""I'm starting to think the Skald-King is invincible. Not even poison can kill the smug bastard!""",Gods Save the King
"|""Let me get this straight. The King was poisoned and an Argonian saved him by entering his dreams? That's a little far-fetched.""",Eternal Slumber
"|""Can you believe the Reachmen raised Sinmur's ghost? It's a good thing you were there.""",Unearthed
"|""I'm trying to compose a song about your heroics at Fallowstone Hall.""",Storming the Hall
"|""They say Aera Earth-Turner was working with the Worm Cult.""",Concealed Weapons (Exile Aera Earth-Turner)
"|""Hail, Geirmund's Guardian!""",Geirmund's Guardian
"|""You're the favored one, the one Ysgramor appeared to.""",Stomping Sinmur
"|""Aren't you the one who defeated the ghost of Sinmur?""",Stomping Sinmur
"|""The return of Arch-Mage Shalidor! Truly a reason for all sons of Skyrim to smile.""",The Mad God's Bargain
"|""You're the one who caught the traitor Thorulf. Too bad about Thane Unnvald, but Hallfrida's a good leader.""",Approaching Thunder (Killing Thorulf)
