Set Name,Bonuses,Location(s),Set Type
Blooddrinker,2 items : Adds 15-657 Critical Chance 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : Increases your Bleed damaging attacks by 20%.,Bloodroot Forge,Medium Armor
Flame Blossom,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 34-1487 Offensive Penetration 5 items : When you deal damage, you summon a line of flame that moves forward after 1 second, dealing 1537 Flame damage to any enemy in its path and applying the Burning status effect . This effect can occur once every 10 seconds and scales off the higher of your Weapon and Spell Damage .",Bloodroot Forge,Light Armor
Hagraven's Garden,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 3-129 Health Recovery 4 items : Adds 4% Healing Taken 5 items : When you take damage while under 50% Health , you summon a preservation of nature around you in a 8 meter radius for 8 seconds which grants Major Protection to you and up to 5 group members while in the area, reducing your damage taken by 10%. This effect can occur once every 30 seconds.",Bloodroot Forge,Heavy Armor
Gossamer,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 25-1096 Maximum Magicka 5 items : When you heal yourself or an ally, you grant them Major Evasion for 4 seconds, reducing damage from area attacks by 20%.",Cradle of Shadows,Light Armor
Hand of Mephala,"2 items : Adds 4% Healing Taken 3 items : Adds 28-1206 Maximum Health 4 items : Adds 34-1487 Armor 5 items : When you take damage, you encase the ground beneath you in webs for 5 seconds, reducing the Movement Speed of enemies within a 4 meter radius by 33% and applying Minor Breach to them, reducing their Physical and Spell Resistance by 2974. After 5 seconds the webs burst into venom, dealing 0 Poison damage . This effect can occur once every 5 seconds and scales off the higher of your Physical or Spell Resistance .",Cradle of Shadows,Heavy Armor
Widowmaker,"2 items : Adds 15-657 Critical Chance 3 items : Adds 15-657 Critical Chance 4 items : Adds 25-1096 Maximum Stamina 5 items : When your alchemical poison fires, you drop a poisonous spore in front of you that bursts after 1 second, dealing 2856 Poison damage over 10 seconds to all enemies within 5 meters. This effect scales off the higher of your Weapon and Spell Damage .",Cradle of Shadows,Medium Armor
Draugr's Rest,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 3-129 Magicka Recovery 4 items : Adds 4% Healing Done 5 items : When you complete a fully-charged Heavy Attack , you create a circle of consecrated ground that heals you and your group members within 5 meters for 5550 Health over 10 seconds. This effect can occur once every 10 seconds and scales off the higher of your Max Magicka or Stamina .",Falkreath Hold,Light Armor
Ironblood,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 34-1487 Armor 4 items : Adds 34-1487 Armor 5 items : When you take damage, you have a 10% chance to turn your blood into pure iron for 10 seconds, gaining Major Protection , Major Aegis , and Minor Protection , but also reducing your Movement Speed by 25%. This effect can occur once every 10 seconds.",Falkreath Hold,Heavy Armor
Pillar of Nirn,"2 items : Adds 15-657 Critical Chance 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal damage, you create a fissure underneath the enemy after 1 second, dealing 803 Bleed damage to all enemies within 2.5 meters and causing them to bleed for an additional 2405 Bleed damage over 10 seconds. This effect can occur once every 10 seconds and scales off the higher of your Weapon and Spell Damage .",Falkreath Hold,Medium Armor
Caluurion's Legacy,"2 items : Adds 15-657 Critical Chance 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : When you deal Critical Damage with a Light or Heavy Attack , you launch a projectile at your target that deals 894 Flame, 894 Frost, 894 Shock, or 894 Disease damage and applies the respective status effect . This effect can occur once every 5 seconds and scales off the higher of your Weapon and Spell Damage .",Fang Lair,Light Armor
Trappings of Invigoration,"2 items : Adds 3-129 Stamina Recovery 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 3-129 Stamina Recovery 5 items : When you cast an ability that costs resources while under 25% Stamina , you restore 263-11350 Stamina . This effect can occur once every 45 seconds.",Fang Lair,Medium Armor
Ulfnor's Favor,2 items : Adds 28-1206 Maximum Health 3 items : Adds 3-129 Magicka Recovery 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 4% Healing Taken 5 items : Increases the Magicka or Stamina your Heavy Attacks restore by 30%.,Fang Lair,Heavy Armor
Leeching Plate,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 4% Healing Taken 4 items : Adds 28-1206 Maximum Health 5 items : When you take damage, you summon a cloud of leeching poison under the assailant. The cloud deals 427 Poison damage every 1 second for 5 seconds and heals you for 100% of the damage caused. This effect can occur once every 5 seconds and scales off your Max Health .",Imperial City Prison,Heavy Armor
Scathing Mage,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 15-657 Critical Chance 4 items : Adds 15-657 Critical Chance 5 items : When you deal direct damage, you have a 20% chance to increase your Weapon and Spell Damage by 12-516 for 5 seconds. This effect can occur once every 5 seconds.",Imperial City Prison,Light Armor
Sheer Venom,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal damage with an Execute ability you infect the enemy, dealing 948 Poison damage over 6 seconds and dealing up to 100% more damage to enemies under 100% Health . This effect can occur once every 6 seconds per target and scales off the higher of your Weapon and Spell Damage .",Imperial City Prison,Medium Armor
Amber Plasm,2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 5-245 Magicka Recovery 5 items : Adds 5-245 Stamina Recovery 5 items : Adds 5-245 Health Recovery,Ruins of Mazzatun,Light Armor
Aspect of Mazzatun,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 25-1096 Maximum Magicka 5 items : When you take damage while under 30% Health , you heal for 243-10481 Health and restore 243-10481 Magicka and Stamina . This effect can occur once every 45 seconds.",Ruins of Mazzatun,Heavy Armor
Heem-Jas' Retribution,"2 items : Adds 3-129 Stamina Recovery 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 15-657 Critical Chance 5 items : Adds 3-129 Weapon and Spell Damage 5 items : When you are within 28 meters of an enemy you are in combat with, and the enemy dies, you gain Major Berserk for 10 seconds, increasing your damage done by 10%.",Ruins of Mazzatun,Medium Armor
Curse of Doylemish,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 28-1206 Maximum Health 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When using a fully-charged melee Heavy Attack on a taunted monster or any enemy who is stunned , feared , or immobilized , you will deal 1811 Physical damage . This effect can occur once every 4 seconds and scales off the higher of your Weapon and Spell Damage .",Scalecaller Peak,Heavy Armor
