Activity,Description,Activity Reward
Complete 2 Quests,Complete quests throughout Tamriel.,
Complete 5 Quests,Complete quests throughout Tamriel.,File:ON-icon-store-Riding Lessons Speed.png 3 Crown Lessons: Riding Speed
Kill 50 Humanoid Foes,Kill humanoid foes throughout Tamriel.,
Refine Raw Materials 45 Times,Refine raw materials at their associated crafting station. Crafting stations can be found in most major cities,
Complete 1 Battleground Match,Complete Battleground matches (win or lose).,File:ON-icon-store-Ayleid_Crown_Crate.png 1 Ayleid Crate
Deal 100000 Damage in Trials,Deal damage in Trials.,
Complete 2 Public Dungeon Group Events,Achieve victory in public dungeon group events.,
Complete 2 Incursions,Overcome Incursions and World Events throughout Tamriel.,
Complete 2 stages in the Infinite Archive,Clear stages in the Infinite Archive.,
Deal 80000 Damage to Training Dummies inside a home,Deal damage to Training Dummies in any home. Training Dummies can be placed in a Home as a furnishing.,
Use Ultimate Abilities 50 Times,Unleash Ultimate Abilities.,
Kill 70 Foes in Dungeons,Kill enemies in Normal or Veteran Group Dungeons,File:ON-icon-quest-Key 02.png 2 Undaunted Keys
