Bread and Pies,Grilled,Soup and Stew
Ingredient,Recipes
Recipe Improvement Rank: 1
,Add Meal,Add Drippings,Add Thin Broth
,Battaglir Weeds,Battaglir Loaf,Battaglir Grill,Stewed Battaglir
,Bear Haunch,Bear Flank Pie,Bear Hash,Bear Soup
,Capon Meat,Capon Tinish,Grilled Capon,Capon Noodle Soup
,Goat Meat,Goatherd's Pie,Roast Goat,Goat Bone Soup
,Guar Eggs,Guar Quiche,Fried Guar Eggs,Century Soup
,Kwama Eggs,Kwama Quiche,Kwama Omelet,Poached Kwama Egg
,Liver,Liverwurst Tart,Liver and Lights,Liver Goulash
,Mutton Flank,Mutton Pie,Mutton Ribs,Baandari Mutton Stew
,Plump Worms,Worm Tart,Grilled Worms,Wriggles-in-Gullet
,Pork,Trotter Pie,Roast Pig,Pork Soup
,Scuttle Meat,Scuttle Baguette,Scuttle Scramble,Scuttle Fondue
,Sweetmeats,Sweetbread,Braised Sweetmeats,Sweetmeat Surprise
Recipe Improvement Rank: 2
,Add Milled Flour,Add Cooking Fat,Add Broth
,Combwort,Combwort Flatbread,Grilled Combwort,Combwort Confit
,Goat Bits,Goat Dumplings,Caramelized Goat Nibbles,Goat Stew
,Moon Sugar,Moon Sugar Biscuits,Moon Sugar Brittle,Elsweyr Fondue
,Plump Maggots,Maggot Haggis,Maggot Bites,Slumgullion
,Plump Rodent Toes,Rodent Muffins,Jerked Rodent,Squeak Soup
,Venison,Venison Pasty,Grilled Venison,Jugged Venison
Recipe Improvement Rank: 3
,Add Sifted Flour,Add Suet,Add Stock
,Chaurus Meat,Chaurus Dumplings,Slow-Roasted Chaurus,Chaurus-in-Carapace
,Crawdad,Crawdad Quiche,Crawdad Stir-fry,Crawdad Etoufee
,Flank Steak,Flank Pie,Mountain Jerky,Breton Stew
,Frog Legs,Frog Muffin,Grilled Frog Legs,Swamp Soup
,Horker Meat,Horker Loaf,Grilled Horker,Horker Stew
,Saltrice,Saltrice Biscuits,Fried Saltrice,Saltrice Slurry
Recipe Improvement Rank: 4
,Add Cake Flour,Add Lard,Add Jus
,Beef,Beef Pasty,Beef Sirloin,Steak Soup
,Shank,Shank-and-Potato Pie,Grilled Shank,Imperial City Stew
Recipe Improvement Rank: 5
,Add Baker's Flour,Add Fatback,Add Glace Viande
,Mudcrab Meat,Mud Crab Cakes,Fishy Sticks,Crab Meat Stew
Recipe Improvement Rank: 6
,Add Imperial Flour,Add Pinguis,Add Imperial Stock
,Honey Comb,Sweetroll,Honey Brittle,Honey Pudding
