Rumor,Quest (choice)
"|""Is it true Wuuthrad was stolen from Fallowstone Hall?""",Storming the Hall
"|""The liberator of Fallowstone Hall! Your bravery is legendary.""",Storming the Hall
"|""Spy or not, Aera Earth-Turner deserved better than death.""",Concealed Weapons (Kill Aera Earth-Turner)
"|""You were with Dajaheel and Belron when Stral was defeated.""",Through the Shroud
"|""You're the one who warned the Pact about Sinmur's ghost.""",Unearthed
"|""Curse those Reachmen for releasing Sinmur's ghost. It's a good thing you were there to warn the Pact.""",Unearthed
"|""They say Ysgramor himself appeared after the ghost of Sinmur was defeated.""",Stomping Sinmur
"|""I heard you saved the life of Thane Unnvald. Too bad his worthless adviser escaped.""",Approaching Thunder (Letting Thorulf get away)
"|""Terrible what happened to Thane Unnvald. I hope it was worth it.""",Approaching Thunder (Killing Thorulf)
"|""You were at Fullhelm Fort. You saved Thane Unnvald's life!""",Approaching Thunder (Letting Thorulf get away)
