Deshaan
Place,Boss,Set,Item Name
Darkshade Caverns I,Head Shepherd Neloren,Armor of Truth,Kwama Shepherd's Charm
Foreman Llothan,Netch's Touch,Llothan's Burning Crutch
The Hive Lord,Netch's Touch,Hive Lord's Shell
Netch's Touch,Deadly Pincer
Cavern Patriarch,Strength of the Automaton,Lambent Netch Tentacles
Cutting Sphere,Netch's Touch,Lost Imperial Band
Sentinel of Rkugamz,Armor of Truth,Imperial Arm-Cleaver
Strength of the Automaton,Imperial Warhammer
Place,Boss,Set,Item Name
Darkshade Caverns II,The Fallen Foreman,Armor of Truth,Foreman's Ring
Transmuted Hive Lord,Armor of Truth,Fist of the Hive Lord
Armor of Truth,Transmuted Kwama Shell
Transmuted Alit,Netch's Touch,Alit Tongue Charm
Grobull the Transmuted,Netch's Touch,Grobull's Charge
Engine Garrison,Netch's Touch,Automaton Gem
The Engine Guardian,Strength of the Automaton,Ancient Great Axe
Strength of the Automaton,Pincer of the Guardian
