Rumor,Quest (choice)
"|""Your heroism at Velyn Harbor is known far and wide. They should build you a statue.""",One Fell Swoop
"|""No good comes from the Wood Orcs. Never forget Velyn Harbor!""",One Fell Swoop
"|""It's probably for the best Mathragor no longer suffers. You did what you had to.""",Payment In Kind (Kill Mathragor)
"|""After all he'd been through, you couldn't let Mathragor get his justice? Figures.""",Payment In Kind (Kill Mathragor)
"|""Captain Khammo makes a fantastic pirate. You really turned his life around.""",Blind Man's Bluff
"|""Malabal Tor's better off without Captain Khammo. Now the rum sells at half price.""",Blind Man's Bluff
"|""Who did the Hound think he was to steal the Green Lady's sister, Rajhin himself?""",The Hound's Men
"|""None were loved more than Arithiel. I hope you're proud of yourself.""",Arithiel (Arithiel dies)
"|""It can't have been easy to sacrifice Arithiel. What an awful choice.""",Arithiel (Arithiel dies)
"|""I hear the Silvenar ate his advisor's heart. Bosmer memorial rituals are nasty business.""",The Prisoner of Jathsogur
