Activity,Description
Complete 5 Quests,Complete quests throughout Tamriel.
Complete 10 Quests
Complete 15 Quests
Complete 20 Quests
Complete 25 Quests
Claim 5 Rewards from the Daily Login Calendar,Claim Daily Login Calendar Rewards.
Claim 10 Rewards from the Daily Login Calendar
Complete 5 Endeavors while Grouped,Group with other players while completing endeavors.
Earn 6 Event Tickets,Earn tickets during the current event.
Earn 12 Event Tickets
Earn 5 New Life Festival Boxes,Earn New Life Festival Giftboxes by participating in the New Life Festival event.
Earn 15 New Life Festival Boxes
Earn 25 New Life Festival Boxes
Complete 1 New Life Festival Charity Writ,"Complete New Life Charity Writs, Deep Winter Charity Writs, or Imperial Charity Writs, which can be obtained from New Life Festival Boxes."
Complete 3 New Life Festival Charity Writs
Complete 7 New Life Festival Charity Writs
Loot 15 Treasure Chests,Loot treasure chests throughout Tamriel.
Revive 5 Fallen Players,Revive players by using a soul gem to complete this activity. Reviving yourself does not count towards this goal.
Harvest 25 Resources from the World,"Harvest crafting resources from plants, ore veins, or any other natural deposit."
Craft 10 Items with any skill,Craft items using any skill. Crafting stations can be found in most major cities.
Refine Raw Materials 20 Times,Refine raw materials at their associated crafting station. Crafting stations can be found in most major cities.
Deconstruct or Research 50 Pieces of Equipment,You can do all kinds of things with old or unwanted gear. Head to a crafting station to deconstructed (sic) unwanted items for their resources. Or use the research window to learn how to craft furutre pieces using the attributes of the gear you already have.
Improve 3 Item/Items,Improve Items.
Craft 25 Items inside your home,Craft items using any skill while in a Home that you own. Crafting stations can be placed in a Home as a furnishing
Place 10 Furnishings,Place furnishings from any category in a home you own.
Place 5 Lighting Furnishings,Place furnishings from the Lighting category in a home you own.
Visit 5 Player Homes,Visit player homes.
Pickpocket 10 Items,Pickpocket items from the citizens of Tamriel.
Launder 10 Items at Fences,Visit a Fence and launder ill-gotten goods. Fences reside in Outlaw's Refuges beneath most major cities.
Complete 5 Group Dungeon,Complete Normal or Veteran Group Dungeons throughout Tamriel.
Complete 10 Group Dungeon
Kill 20 Public Dungeon Bosses,Kill Public Dungeon bosses anywhere in Tamriel.
"Heal 100000 Amount in Battlegrounds, Cyrodiil or Imperial City","Heal in Battlegrounds, Cyrodiil or Imperial City."
