Level,Stamina,Duration
1,238,3.3
2,1005,3.8
3,4.0
4,4.3
5,4.5
6,4.8
7,5.1
8,5.3
9,5.6
10,1772,5.8
11,6.1
12,6.4
13,6.6
14,6.9
15,7.1
16,7.4
17,7.6
18,7.9
19,8.2
20,2539,8.4
21,8.7
22,8.9
23,9.2
24,9.5
25,9.7
26,10.0
27,10.2
28,10.5
29,10.7
30,3305,11.0
31,11.3
32,11.5
33,11.8
34,12.0
35,12.3
36,12.5
37,12.8
38,13.1
39,13.3
40,4072,13.6
41,13.8
42,14.1
43,14.4
44,14.6
45,14.9
46,15.1
47,15.4
48,15.6
49,15.9
50,4532,16.2
50 10,16.7
50 20,4609,17.2
50 30,17.4
50 40,4686,18.0
50 50,5069,18.2
50 60,5146,18.7
50 70,19.0
50 80,5222,19.5
50 90,19.8
50 100,5682,
50 110,20.5
50 120,5759,21.1
50 130,21.3
50 140,5836,21.8
50 150,6066,22.1
50 160,22.4
