Place,Boss/Quest,Set,Item Name,Description
Glenumbra
Aldcroft,Pride of the Lion Guard,Wyrd Tree's Blessing,Lion Guard's Pride,This weapon was awarded for finding Recruit Gorak and helping him complete his mission in the swamps outside Aldcroft.
Vital Inheritance,Wyrd Tree's Blessing,Dencent Family Heirloom,Alexia Dencent bestowed this ring for aiding her outside Aldcroft.
Lineage of Tooth and Claw,Hide of the Werewolf,Werewolf Hide Werewolf Slayer,Gloria Fausta bestowed this weapon for helping her deal with Duke Sebastien and the werewolves of Aldcroft.
Baelborne Rock,Legacy of Baelborne Rock,Bloodthorn's Touch,Bloodthorn Baelborne Signet,This signet ring was awarded for resolving the curse of Baelborne Rock.
Baelfire Island,Grivier Bloodcaller,Bloodthorn's Touch,Bloodthorn Bloodcaller Clogs,"Light footwear awarded for defeating the Bloodthorn necromancer, Grivier Bloodcaller."
Beldama Wyrd Tree,Reclaiming the Elements,Hide of the Werewolf,Guardian's Gauntlets,These medium hand coverings were awarded for summoning the elemental guardians for the Wyresses of the Beldama Wyrd.
Purifying the Wyrd Tree,Wyrd Tree's Blessing,Wyrd Branch of the Wyrd Tree,"For destroying the Corruption of the Tree and restoring the Wyrd Tree, Wyress Gwen bestowed this powerful staff."
Burial Mounds,Cursed Treasure,Bloodthorn's Touch,King Deleyn's Silk Gloves,These antique hand coverings were bestowed by the spirit of King Deleyn for returning the stolen regalia to the Burial Mounds.
Servants of Ancient Kings,Hide of the Werewolf,Werewolf Hide King Deleyn's Longbow,This antique weapon was bestowed for aid given to the ancient lords and ladies entombed within the Burial Mounds.
Cambray Pass,Garments by Odei,Bloodthorn's Touch,Odei's Stylish Epaulieres,This fashionable light armor was awarded for reuniting Odei with Dame Veronica at Cambray Pass
Camlorn,Rally Cry,Wyrd Tree's Blessing,Lion Guard Great Helm,You received this helmet from General Gautier of the Lion Guard for assisting with the first push to retake Camlorn.
The Fall of Faolchu,Wyrd Tree's Blessing,Lion Guard Pauldrons of the Wyrd Tree,"For defeating Faolchu in Camlorn, this heavy shoulder armor was awarded."
Cath Bedraud,Angof the Gravesinger,Wyrd Tree's Blessing,Daggerfall Champion's Breastplate of the Wyrd Tree,A bounty of heavy armor awarded for defeating Angof Gravesinger in Cath Bedraud.
The Labyrinth,Wyrd Tree's Blessing,Lion Guard Girdle,This heavy belt was awarded for rescuing Lion Guard soldiers from the labyrinthine catacombs of Cath Bedraud.
Crosswych,The Miners' Lament,Hide of the Werewolf,Crosswych Mining Maul,"For rescuing the captive miners in Crosswych, Tamien Sellan awarded this two-handed mace."
Crosswych Reclaimed,Hide of the Werewolf,Werewolf Hide Red Rook Ailettes,"This medium armor was awarded for defeating the Red Rook Bandits' leader, Sternis Gelves, at Crosswych."
Cryptwatch Fort,Valenwe,Hide of the Werewolf,Werewolf Hide Everblooded Dagger,"A weapon awarded for defeating the Red Rook Bandits' officer, Valenwe, at Cryptwatch Fort."
Daggerfall,Bloodthorn Assassins,Wyrd Tree's Blessing,King's Justice of the Wyrd Tree,A distinctive weapon awarded by King Casimir for stopping the Bloodthorn assassins in Daggerfall.
Swine Thief,Bloodthorn's Touch,Swine-Herder Britches,These light leggings were awarded for saving the prized pig Glutton in Daggerfall.
Deleyn's Mill,The Wyrd Tree's Roots,Bloodthorn's Touch,Bloodthorn Wyress Mantle,This light armor was awarded for helping the Wyresses save the villagers at Deleyn's Mill.
Turning of the Trees,Bloodthorn's Touch,Wyress Sash,This light belt was awarded for helping the Wyresses save the villagers at Deleyn's Mill.
Dresan Keep,The Hidden Treasure,Hide of the Werewolf,Dusant's Antique Dagger,The ghost of Richard Dusant awarded this ancient blade for discovering the treasure of Dresan Keep.
Dwynnarth Ruins,Vines and Villains,Hide of the Werewolf,Werewolf Hide Kip's Roguish Leathers,"For disrupting the Red Rook and Bloodthorn meeting at the Dwynnarth Ruins, these medium leggings were awarded."
Eagle's Brook,Cutting Off the Source,Wyrd Tree's Blessing,Lion Guard Sabatons of the Wyrd Tree,These heavy boots were awarded by Dame Clarique of the Lion Guard for assisting with the rescue of Eagle's Brook.
Ebon Crypt,The Ebon Lord,Wyrd Tree's Blessing,Ebon Bone Staff of the Wyrd Tree,A weapon awarded for defeating the Ebon Lord in the Ebon Crypt.
Enduum,Odilon,Wyrd Tree's Blessing,Odilon's Spectral Amulet of the Wyrd Tree,A ghostly pendant awarded for defeating Odilon the ghost in Enduum.
Farwatch Tower,Wayward Scouts,Wyrd Tree's Blessing,Lion Guard Gauntlets,These heavy gloves were awarded for rescuing the Lion Guard scouts from Dominion forces at Farwatch Tower.
Signals of Dominion,Wyrd Tree's Blessing,Lion Guard Poleyns,These heavy leggings were awarded for helping the Lion Guard repel a Dominion attack at Farwatch Tower.
Glenumbra Moors,The Nameless Soldier,Bloodthorn's Touch,Bastion of the Dragon,This shield was awarded for discovering Faolchu's weakness by visiting the past.
Hag Fen,Wicked Trade,Bloodthorn's Touch,LeBlanc's Walking Shoes,Guy LeBlanc awarded this light footwear for saving his sister and the other women from the Bloodthorn cultists in Hag Fen.
Wyrd and Coven,Wyrd Tree's Blessing,Mother Murk's Corrupted Sprig of the Wyrd Tree,"For defeating the Hagraven Mother Murk in the Hag Fens, this gnarled staff was awarded."
Ilessan Tower,Red Rook Resources,Hide of the Werewolf,Daggerfall Guard Waist Band,This medium belt was bestowed for bringing the Red Rook Bandits' plans to the Daggerfall Guard near Noellaume Manor.
Gaetane,Wyrd Tree's Blessing,Stormcommander of the Wyrd Tree,"A weapon awarded for defeating the Red Rook Bandits' officer, Gaetane, in Ilessan Tower."
Lion Guard Redoubt,Mastering the Talisman,Bloodthorn's Touch,|Gabrielle's Staff of Healing,"For purging the Midnight Talisman and restoring its power, mage Gabrielle Benele awarded this healing staff."
Fortune in Failure,Bloodthorn's Touch,|Lion Guard Battle Staff,"For bringing proof of the Red Rook Bandits collaborating with the Bloodthorn cultists, you were given this battle staff."
Mines of Khuras,Lilou,Bloodthorn's Touch,Bloodthorn Lilou's Curative Coif,"Headgear awarded for defeating the Bloodthorn cultist officer, Lilou, in the Mines of Khuras."
A Brush With Death,N/A,Guifford's Mining Helmet,This medium headgear was awarded for returning a journal found in the Mines of Khuras to Odette Vinielle in Glenumbra Moors.
North Shore Point,Asard the Putrid,Bloodthorn's Touch,Bloodthorn Brooch,"Jewelry awarded for defeating the Bloodthorn zombie lord, Asard the Putrid."
Red Rook Camp,Lady Eloise's Lockbox,Hide of the Werewolf,Noellaume Family Heirloom,Lady Eloise awarded this pendant for recovering her lockbox from the Red Rook Bandits.
Disorganized Crime,Hide of the Werewolf,Werewolf Hide Daggerfall Guard Tabard,Captain Farlivere awarded this medium armor for rescuing the noble hostages from the Red Rook Bandits.
