Material,Level,Base Damage,,Nirnhoned Damage
Normal,Fine,Superior,Epic,Legendary,Normal,Fine,Superior,Epic,Legendary
Iron/ Maple,1,198,240,282,324,366,219,268,318,369,420
4,254,296,338,380,422,281,331,381,433,485
6,296,338,380,422,464,328,378,429,481,533
8,324,366,408,450,492,359,409,461,513,565
10,352,394,436,478,520,390,441,492,544,598
12,380,422,464,506,548,421,472,524,576,630
14,408,450,492,534,576,452,504,555,608,662
Steel/ Oak,16,436,478,520,562,604,483,535,587,640,694
18,464,506,548,590,632,515,566,619,672,726
20,492,534,576,618,660,546,598,650,704,759
22,520,562,604,646,688,577,629,682,736,791
24,548,590,632,674,716,608,660,714,768,823
Orichalcum/ Birch,26,576,618,660,702,744,639,692,745,800,855
28,604,646,688,730,772,670,723,777,832,887
30,632,674,716,758,800,701,754,809,864,920
32,660,702,744,786,828,732,786,840,896,952
34,688,730,772,814,856,763,817,872,927,984
Dwarven/ Hickory,36,716,758,800,842,884,794,848,904,959,1016
38,744,786,828,870,912,825,880,935,991,1048
40,772,814,856,898,940,856,911,967,1023,1081
42,800,842,884,926,968,888,943,998,1055,1113
44,828,870,912,954,996,919,974,1030,1087,1145
Ebony/ Ash,46,856,898,940,982,1024,950,1005,1062,1119,1177
48,884,926,968,1010,1052,981,1037,1093,1151,1209
50,912,954,996,1038,1080,1012,1068,1125,1183,1242
Calcinium/ Yew,10,912,954,996,1024,1066,1012,1068,1125,1167,1225
20,940,982,1024,1052,1094,1043,1099,1157,1199,1258
30,954,996,1038,1066,1108,1058,1115,1172,1215,1274
Galatite/ Beech,40,982,1024,1066,1094,1136,1090,1146,1204,1247,1306
50,996,1038,1080,1108,1150,1105,1162,1220,1263,1322
60,1024,1066,1108,1136,1178,1136,1193,1252,1295,1354
Quicksilver/ Mahogany,70,1038,1080,1122,1150,1192,1152,1209,1267,1311,1370
80,1066,1108,1150,1178,1220,1183,1240,1299,1342,1403
Voidsteel/ Nightwood,90,1080,1122,1164,1192,1234,1198,1256,1315,1358,1419
100,1108,1150,1192,1220,1262,1229,1288,1346,1390,1451
110,1122,1164,1206,1234,1276,1245,1303,1362,1406,1467
120,1150,1192,1234,1262,1304,1276,1335,1394,1438,1499
130,1164,1206,1248,1276,1318,1292,1350,1410,1454,1515
140,1192,1234,1276,1304,1346,1323,1382,1441,1486,1547
Rubedite/ Ruby Ash,150,1206,1248,1290,1318,1453,1338,1397,1457,1502,1670
160,1220,1262,1304,1332,1571,1354,1413,1473,1518,1806
