Activity,Description
Defeat 40 Enemies on Seasoned Difficulty or Higher,Defeat foes across Tamriel while playing on Seasoned Challenge Difficulty or higher.
Defeat 80 Enemies on Seasoned Difficulty or Higher
Defeat 120 Enemies on Seasoned Difficulty or Higher
Destroy 3 Dark Anchors on Seasoned Difficulty or Higher,Destroy Dark Anchors sent to Tamriel by Molag Bal while playing on Seasoned Challenge Difficulty or higher.
Kill 2 Public Dungeon Bosses on Seasoned Difficulty or Higher,Kill Public Dungeon bosses while playing on Seasoned Challenge Difficulty or higher.
Kill 5 Public Dungeon Bosses on Seasoned Difficulty or Higher
Kill 3 World Bosses on Seasoned Difficulty or Higher,Kill world bosses while playing on Seasoned Challenge Difficulty or higher.
Kill 5 World Bosses on Seasoned Difficulty or Higher
Consume 20 Stat Enhancing Potions on Seasoned Difficulty or Higher,"Buy or craft up a potion with a combat buff and drink it on down, while playing on Seasoned Challenge Difficulty or higher."
Block 150000 Damage on Seasoned Difficulty or Higher,Block damage from incoming attacks while playing on Seasoned Challenge Difficulty or higher.
Kill 30 Foes with Class Skills on Seasoned Difficulty or Higher,Finish off foes with class skills while playing on Seasoned Challenge Difficulty or higher.
Use Ultimate Skills 5 Times on Seasoned Difficulty or Higher,Unleash Ultimate skills while playing on Seasoned Challenge Difficulty or higher.
Defeat 30 Enemies on Master Difficulty or Higher,Defeat foes across Tamriel while playing on Master Challenge Difficulty or higher.
Defeat 60 Enemies on Master Difficulty or Higher
Kill 2 Public Dungeon Bosses on Master Difficulty or Higher,Kill Public Dungeon bosses while playing on Master Challenge Difficulty or higher.
Kill 1 World Boss on Master Difficulty or Higher,Kill world bosses while playing on Master Challenge Difficulty or higher.
Defeat 20 Enemies on Vestige Difficulty,Defeat foes across Tamriel while playing on Vestige Challenge Difficulty.
Defeat 40 Enemies on Vestige Difficulty
Kill 2 Public Dungeon Bosses on Vestige Difficulty or Higher,Kill Public Dungeon bosses while playing on Vestige Challenge Difficulty or higher.
Kill 1 World Boss on Master Difficulty or Higher,Kill world bosses while playing on Vestige Challenge Difficulty or higher.
