Rumor,Quest (choice)
"|""I've heard tales of your valor at Ezduiin. Bravely done!""",The Mallari-Mora
"|""My cousin was studying with Telenger at Ezduiin. Thank you for all you did there!""",The Mallari-Mora
"|""My brother was stationed at Firsthold. Thank you, traveler.""",Sever All Ties
"|""You fought the agents of Mehrunes Dagon, and won! The savior of Firsthold!""",Sever All Ties
"|""The storyteller at Sarandel's Carnival... how could he get Bosmer history so wrong?""",Carnival Conundrum
"|""I'm glad you made the mayor of Southpoint pay for his crimes.""",The Grip of Madness (Kill Mayor Aulus)
"|""You met Sheogorath in Southpoint? What next, Boethiah in Marbruk?""",The Grip of Madness
"|""King Camoran Aeradan put his cousin Gelthior on trial. Don't worry, justice will be served.""",The Blacksap's Hold
"|""The Blacksap Rebellion is all but gone. I heard the Vinedusk Rangers used a mercenary to shut them down.""",The Blacksap's Hold
"|""The Blacksap Rebellion out of Cormount, and its leaders on trial. I never thought I'd see the day.""",The Blacksap's Hold
"|""They found another village, completely slaughtered. Mathragor's blood is on your hands.""",Payment In Kind (Kill Mathragor)
"|""Did you hear about the town of Longhaven? Vampires were luring the villagers into the mist.""",Mist and Shadow
"|""A friend of mine was killed by vampires in the moors near Longhaven. Thank you for clearing those monsters out.""",Mist and Shadow
"|""I heard that you defeated the vampires that were feeding on Long Haven.""",Mist and Shadow
"|""Can't imagine what the Worm Cult wanted with that museum in Rulanyil's Fall. Glad you took care of them.""",The Dead King
"|""I heard you battled the Worm Cult in Rulanyil's Fall. What would they want with an old museum like that?""",The Dead King
"|""They say you're the one who closed the Daedric portal at Moonhenge.""",Moonhenge's Tear
"|""I heard that someone closed the portal at Moonhenge, and escaped while the Daedric realm was collapsing.""",Moonhenge's Tear
"|""The official word is that Vicereeve Pelidil used Prince Naemon for his own evil ends.""",Pelidil's End
"|""You were there. Did Indaenir really rise from the dead?""",Striking at the Heart
"|""Amazing to think you've been in the field with Telenger himself. Simply amazing.""",The Arbordawn Cult
"|""You've been beneath the Grimwatch. You've seen the Khajiiti ruins. Fascinating!""",Grimmer Still
"|""This one was impressed by your fights at Thizzrini!""",The Champion Division
"|""You kept the Silvenar and the Green Lady from harm. You're alright.""",Restore the Silvenar
"|""I hope you twisted the knife in the Hound's guts, on behalf of the Green Lady.""",Restore the Silvenar
"|""To be with the Silvenar on his wedding day. Must have been a real honor for you.""",A Wedding to Attend
"|""Hah! The Hero of Coldharbour walks among us.""",The Final Assault
