Activity,Description
Complete 5 Quests,Complete quests throughout Tamriel.
Complete 10 Quests
Claim 3 Rewards from the Daily Login Calendar,Claim Daily Login Calendar Rewards.
Claim 5 Rewards from the Daily Login Calendar
Earn 4 Event Tickets,Earn tickets during the current event.
Earn 10 Event Tickets
"Complete the Hearts Week Quest ""Heartsick Follies""","You can accept ""Heartsick Follies"" by visiting Kuzam-jo at the festival grounds in Belkarth or by picking up the quest starter in the Events category of the Crown Store."
"Complete the Hearts Week Quest ""A Toast to Malcontents""","You can accept ""A Toast to Malcontents"" by advancing through the Hearts Week questline, which can be granted from Kuzam-jo at the festival grounds in Belkarth or via the Crown Store."
"Complete the Hearts Week Quest ""Discord Among Friends""","You can accept ""Discord Among Friends"" by advancing through the Hearts Week questline, which can be granted from Kuzam-jo at the festival grounds in Belkarth or via the Crown Store."
"Complete the Hearts Week Quest ""Matters of the Heart""","You can accept ""Matters of the Heart"" by advancing through the Hearts Week questline, which can be granted from Kuzam-jo at the festival grounds in Belkarth or via the Crown Store."
Complete 5 Endeavors while Grouped,Group with other players while completing endeavors.
Approach Any Shrine to Mara or Mother Morrowind while Grouped with a Player or Companion,"Approach any Shrine to Mara or Mother Morrowind while grouped with a player or companion. These shrines are near Rededication Shrines in major cities such as Elden Root, Mournhold, and Wayrest."
Visit Elden Root Temple while Grouped with a Player or Companion,Visit Elden Root Temple while grouped with a player or companion. Elden Root Temple is on a small island just north of Elden Root in Grahtwood.
Use the Celebration Emote at the Steps of the Tribunal Temple,"Visit the steps of the Tribunal Temple in Mournhold, Deshaan, and use the Celebration (/celebrate) emote, which you can find in the Entertainment category of the Emotes menu."
Use the Amulet of the Heart 2 Times,"Use the Amulet of the Heart memento at any location. The Amulet of the Heart is in the Tools section of the Collections menu after completing the Hearts Week quest, ""Matters of the Heart""."
Revive 5 Fallen Players or Companions,Revive players or companions by using a soul gem to complete this activity. Reviving yourself does not count toward this goal.
Kill 1 World Boss while Grouped with a Player or Companion,Kill world bosses while grouped with another player or with a companion active.
Complete 2 stages in the Infinite Archive with a partner,Clear stages in the Infinite Archive with another player or companion.
Defeat 1 Cycle boss in the Infinite Archive with a partner,Defeat Cycle bosses in the Infinite Archive with another player or companion.
