Rumor,Quest (choice)
"|""They say the Wyresses drove an old witch out of the Hag Fen. Even so, the Wyrd Sisters make me nervous.""",Wyrd and Coven
"|""Bet the Lion Guard could use another strong Orc. Maybe I'll head to the Redoubt and offer my services.""",The Lion Guard's Stand
"|""Say, didn't you save Master Muzgu? We're clan-brothers! Can't thank you enough.""",The Gate to Quagmire (Save Master Muzgu)
"|""You're the one who killed Skull Crusher, aren't you? Brave Meeting!""",Ending the Ogre Threat
"|""You fought at Shinji's Scarp, huh? Heard that was quite a battle.""",Ending the Ogre Threat
"|""If you have the respect of Clan Murtag, you have mine too.""",Godrun's Dream
"|""You! You were the one who helped Lieutenant Fairfax and the guard at Hinault Farm. You have my thanks.""",Under Siege
"|""I can't believe our troops are climbing the Shrouded Pass. I guess it's the only way to reach the Doomcrag, but I wouldn't want to be up there!""",Puzzle of the Pass
"|""One night I met a monkey who claimed to be an Orc! Imagine that!""",Monkey Magic
"|""The queen killed the Duke. Strong, decisive. I like that. And she's a widow. Hm...""",Imperial Infiltration (Let Queen Arzhela kill Duke Renchant)
"|""Other kings step back, but High King Emeric charges ahead! He's lucky someone keeps saving him from disaster.""",To Walk on Far Shores
"|""Hail, Champion of the Crucible!""",Fires of Battle
