Place,Boss/Quest,Set,Item Name,Description
Reaper's March
Arenthia,Over the Edge,Soulshine,Queensguard Ring,This ring is only given to loyal agents of Queen Ayrenn for service and sacrifice.
Stonefire Machinations,Senche's Bite,Great Axe of the Crescent Moon,Found in the wake of the Colovian occupation. Kazirra believes it may have been looted from a Khajiiti tomb.
The Colovian Occupation,Senche's Bite,Leathers of the Emancipator,"Tooled by one of the finest craftswomen in Arenthia, these leggings were finished just before the Colovians invaded."
Big Ozur's Valley,Big Ozur,Soulshine,Big Ozur's Ogre Grips of Soulshine,"Big Ozur the Ogre didn't give up these gauntlets willingly. They're impressive pieces of crafting, if you can stand the smell."
Claw's Strike,Fishbreath and Lord Tawnlii-do,Senche's Bite,Fishbreath's Leathers of the Senche,"The story of how Fishbreath got his name is not for the faint of heart, the weak willed, or the religiously devout."
To Honor the Fallen,Senche's Bite,Veteran's Warhammer,"Battered from long use in the border wars between the Wood Elves and the Khajiit, there is fight in this weapon."
Deathsong Cleft,Ravenous Loam and Dirge of Thorns,Skooma Smuggler,Smuggler's Devouring Earth Greatstaff,"When Nirn itself rises up against the races of Tamriel, it's a sure sign that corruption has rooted itself deep."
Do'Krin Monastery,An Offering,Skooma Smuggler,Ehtayah's Tear,The unadorned circle was found on a Do'Krin offering altar.
The Golden Claw,Soulshine,Gauntlets of the Claw,These master-forged grips are treasures by several Khajiiti monastic orders.
Dune,The Den of Lorkhaj,Soulshine,Fire of Shazah's Wisdom,"Formed from planar dream-stuff, this staff embodies the wisdom and intelligence of the Champion Shazah."
The Fires of Dune,Senche's Bite,Desert's Jewel Cowl,This comfortable hood was only tooled days before the attack on the city.
Falinesti Autumn Site,Gentle Gardener,Soulshine,Arbordawn Breastplate,"Not so much forged as grown, this carapace will withstand almost any blow."
The Arbordawn Cult,Skooma Smuggler,Artificer's Vestments,"Telenger himself inlaid enchantments on this garment, ensuring only the most powerful of spells can harm it."
Fardir's Folly,Ravo Peltrasius,Soulshine,Ex-Legionaire's Breastplate of Soulshine,The Colovian deserters that found their way to Fardir's Folly found the life of the brigand much to their liking.
Fort Grimwatch,Grimmer Still,Skooma Smuggler,Khaj Rawlith Crescent,"Found in the ruins beneath Fort Grimwatch, this is a relic of ancient times."
Fort Sphinxmoth,An Affront to Mara,Soulshine,Mara's Breath,Reverent prayers to the wife of Akatosh imbue this staff with an air of cheerful grace.
Prisoners of the Sphinx,Soulshine,Sphinxblade Hatchet,"A holdover from the days when Sphinxmoth was a true garrison, the bite on this axe is as sharp as the day it was forged."
Hadran's Caravan,Hadran's Fall,Skooma Smuggler,Emancipator's Gloves,"Left behind in the slave quarters of Hadran's Caravan, this was marked as property of a former 'guest."
Into the Vice Den,Senche's Bite,Senche Hide Girdle,"The senche-tiger, one of the most dangerous creatures on Tamriel, has hide which make excellent armor."
Jode's Light,Test of Faith,Soulshine,Faithful Greaves,"Worn by the most faithful of the lunar clergy, blessed by the light of Jone and Jode."
Yenadar,Skooma Smuggler,Smuggler's Vestments of Jode's Light,"Still dusty from the ruin of the same name, this vestment seems to carry the sorrow of its previous owner with it."
Kuna's Delve,How Few Remain,Soulshine,Trollslayer's Girdle,The hardiness of this belt is made to withstand the sharpness of troll claws.
Limbrender,Senche's Bite,Limb-Render of the Senche,"A stout blade left behind by miners fleeing Kuna's Delve, it now bears the same name as the troll's alpha leader."
Moonmont,Desecrated Ground,Soulshine,Desecration Treads,"Forged in the days of Rid-Thar, these boots show a level of skill rarely seen in Tamriel today."
Motes in the Moonlight,Soulshine,Gavel of the Hallowed,"A relic of the early structure at the Mount of the Moons, this hammer sings with the light of Jone and Jode."
