Activity,Description
Talk to Noth at the Shivering Shack,The sleek Khajiit Noth awaits your presence. Now shoo! Just don't bring your own butterflies. She may get distracted.
Summon Sheogorath,"How dare you summon the Daedric Prince of Madness? Oh, wait. This is the stuff of dreams if your dreams happen to include cheese, deranged pranks, and dangerous whims."
Kill 5 Daedrats in the Hall of the Dead,"Daedrats are not your everyday rats. No, they're Daedric rats. And they do more than nibble at stolen cheese. Best defeat them quickly."
Kill 1 Giant Daedrat,"When you started this journey, you knew, deep down in your bones, you'd be fighting a giant Daedrat. Right?"
Explore Wayrest Market,"The Plunderers' note leads you to Wayrest Market. Now do what you do best, or second best, or third best … whatever. Explore it!"
Kill 3 Plunderers in Stormhaven,These foul thieves deserve what they get. Have at! And don't nibble at their stolen goods.
Interrogate Plunder King Endelrin,"Yes, you must ask tough questions of someone whose title is ""Plunder King."" Keep your focus. You've got this. Probably."
Visit the Annual Artisan Cheese Festival,"Ah, Vvardenfell. The site of the Annual Artisan Cheese Festival. Glorious, yes? What could possibly go wrong here?"
Collect Resources from 5 Butterflies,Collect resources from flippy-flappy butterflies. They need to be free! So free them.
Collect Resources from 10 Butterflies
Craft 10 Cheese Items,Craft cheese items in Provisioning Stations throughout the world. Because you can always use more cheese.
Craft 20 Cheese Items
Kill 5 Humanoid Daedra,"Kill Dremora, Xivkyn, Skaafin, and other humanoid Daedra. Seek these cruel Daedric servants in the planes of Oblivion."
Kill 10 Humanoid Daedra
Talk to the Barkeep and His Server,"With a name like the Violet Vvardvark, how can you not talk to the serving staff? Just try not to get distracted too much, yes?"
Investigate Othuk's Hideout,"If you're doing villainous deeds and you don't have a hideout, are you even really trying? Othuk is trying. He has a hideout. Go investigate it."
Follow the Tomeshell's Trail of Madness,"Who would want to follow a trail of madness? If the Daedric Prince of Madness is involved and you're serving as his guide, well, that'd be you!"
Defeat Lazaki,Sometimes you end up dealing with a nasty foe on Sheogorath's behalf. This is one such time.
Retrieve Sheogorath's Staff,The Prince of Madness demands his staff. You know what that means. You should find it and return it!
Absorb Motes of Sheogorath's Power,"When the Prince of Madness takes physical form, he sheds motes of power, which you can absorb."
