Place,Boss/Quest,Set,Item Name,Description
Malabal Tor
Abamath,Arithiel,Salvation,Arithiel's Ring,A gift in thanks from a Wood Elf for help against the Worm Cult. And help redeeming herself.
The Soul Trap,Spinner's Garments,The Birthsign Amulet,"The centerpiece of this necklace is emblazoned with the constellation of your birthdate. What are the odds, eh?"
Baandari Trading Post,A Tangled Net,Thunderbug's Carapace,Gold Coast Gauntlets,These gauntlets were once fashionable amongst Colovian knights. A mild enchantment quickly clots the blood for minor wounds.
Belarata,Buyer Beware,Thunderbug's Carapace,Blade of the Ayleid King,"A blade used to unite lovers, not separate them."
Bitterpoint Strand,Drowned First Mate and Thjormar the Drowned,Salvation,Waterlogged Chestpiece of Salvation,"This piece of armor is creaky with rust, yet surprisingly functional."
Black Vine Ruins,Blackvine Strangler,Spinner's Garments,Spinner's Sapstung Helmet,This helmet is slightly translucent.
Bloodtoil Valley,Z'en and Mauloch,Salvation,Amulet of Z'en,Payment in kind in the name of the Wood Elf god of agriculture and vengeance.
Bone Grappler's Nest,Bone Grappler and Marrow Feeders,Spinner's Garments,Spinner's Fractured Femur,This large leg bone crackles with energy.
Dead Man's Drop,Captain Shammin,Salvation,Dead Man's Ring of Salvation,"This ring is gold in color, but color only."
Deepwoods,The Hound's Men,Salvation,Dagger of the Green Sister,"Several collectible items related to the Green Lady, such as this dagger, are made in Deepwoods."
The Tale of the Green Lady,Thunderbug's Carapace,Valenwood Heartleaf,"A souvenir of the Shrine of the Green Lady, the most sacred site in Deepwoods."
Dra'Bul Wayshrine,Nature's Best Friend,Salvation,Shapeshift Slayer,This weapon smells vaguely of moon-sugar candy.
Dra'bul,Reap What Is Sown,Thunderbug's Carapace,Axe of the Houndslayer,"The edge is so finely honed, it can cut through paper along its width."
Dugan's Knoll,"Bagul, Dugan the Red and Fangoz",Salvation,Belt of the Waylaid Traveler of Salvation,This belt is gilded with stolen silver.
Falinesti Summer Site,The Summer Site,Thunderbug's Carapace,Helmet of the Planes,"A memory of Daedric invaders, forged in their image."
Fuller's Break,Raise the Curtain,Spinner's Garments,Acrobat's Boots,"Courtesy of the Dancing Scrib carnival, these snug shoes provide excellent grip."
Hoarvor Pit,Oghezai,Thunderbug's Carapace,Thunderbug Carapace Bugslayer,This dagger still has remnants of insect ichor on the blade.
Horseshoe Island,Blind Man's Bluff,Salvation,Belt of the Sightless Pirate,"One pirate's treasure is another pirate's trash. Still, you got a nice belt out of the deal."
Ilayas Ruins,The Storm's Call,Salvation,Cuirass of Storms,"A gift of the Stormwardens, this armor sparks slightly when you first touch it."
Jagged Grotto,Tallatta the Lustrous,Spinner's Garments,Spinner's Sea Tamer's Torc,"The torc feels warm against one's skin, no matter the weather."
Jathsogur,The Prisoner of Jathsogur,Spinner's Garments,Sapmagic Ring,"Though Bosmer in origin, this ring also incorporates Wood Orc motifs."
Jode's Pocket,The Captain's Honor,Thunderbug's Carapace,Storm Shield,Presented with honor by Captain Seritenya and the crew of the Sea Viper.
Ouze,Back to Rest,Spinner's Garments,Totem of Y'ffre,Saving the Oathbreakers from the Worm Cult reaps a wondrous reward.
River Edge,Commander Faldethil,Salvation,Commander's Signet of Salvation,This ring bears the mark of one of high military rank.
Roots of Silvenar,Adavos Dren,Thunderbug's Carapace,Thunderbug Carapace Quicksilver Axe,Indiscernible voices emanate from this axe.
Treehenge,The Dark Night of the Soul,Spinner's Garments,Rootsong Amulet,The chain of this necklace look like the interwoven roots of the Treehenge.
Shael Ruins,Arrai,Thunderbug's Carapace,Thunderbug Carapace Boots of Clomping,These boots seem to shake the ground as they fall.
Silvenar,Restore the Silvenar,Salvation,The Hound's Helm,"While not shaped like an actual hound's head, this helm would provide excellent protection against one."
Near Sleepy Senche Overlook,Shock to the System,Thunderbug's Carapace,Sword of Sizzling,A blade that crackles with the power of lightning. Is that thunder you hear?
Tanglehaven,A Father's Promise,Salvation,Greaves of the Wolf-Father,"A set of lycanthropic leggings, in thanks for saving a werewolf's mother."
Tomb of the Apostates,Gwaeregil,Thunderbug's Carapace,Thunderbug Carapace Heretic's Necklace,This necklace somehow manages to look … shunned.
Valeguard,A Tale Forever Told,Spinner's Garments,The Spinner's Weave,This elegant cowl smells faintly of lilacs. The pleasant scent helps the wearer concentrate amidst chaotic surroundings.
Velyn Harbor,One Fell Swoop,Spinner's Garments,Vest of Long Sight,A suitable outfit befitting the victor of the battle of Velyn Harbor.
Vulkwasten,For Everything a Season,Salvation,Frostbringer,A reminder of the perils of brewing rotmeth.
Something Rotten,Spinner's Garments,Rotmeth Sandals,These leather sandals were boiled in rotmeth. The tingling sensation they provide keeps the wearer alert.
Wilding Run,The Ties that Bind,Salvation,Ulthorn's Regret,All that remains of the Hound is his collar.
Windshriek Strand,Skullbreaker,Spinner's Garments,Spinner's Skullbreaker,This hammer weighs more than a guar.
