Set Name,Bonuses,Location(s),Set Type
Bahraha's Curse,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 25-1096 Maximum Stamina 4 items : Reduces your damage taken from environmental traps by 40%. 5 items : When you deal damage, you have a 25% chance to create desecrated ground for 5 seconds, which reduces the Movement Speed of enemies within 3.5 meters by 60%, damages them for 349 Magic damage every 1 second, and heals you for 100% of the damage done. This effect can occur once every 5 seconds and the damage scales off your Max Health .",Hew's Bane,All Weights
Syvarra's Scales,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 25-1096 Maximum Magicka 4 items : Reduces your damage taken from Guards by 20%. 5 items : When you deal damage, you cause a burst of lamia poison that deals 149 Poison damage in a 5 meter radius and an additional 1494 Poison damage over 6 seconds to all enemies hit. This effect can occur once every 7 seconds and scales off the higher of your Weapon and Spell Damage .",Hew's Bane,All Weights
Flanking Strategist,2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 34-400 Weapon and Spell Damage to your damaging abilities when you attack an enemy from behind or their sides.,Gold Coast,Medium Armor
Hide of Morihaus,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 34-1487 Armor 4 items : Adds 25-1096 Maximum Stamina 5 items : Adds 3-129 Stamina Recovery 5 items : When you Roll Dodge through an enemy, you deal 0 Physical Damage and knock them down for 3 seconds. This effect scales off the higher of your Physical or Spell Resistance .",Gold Coast,Heavy Armor
Sithis' Touch,2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you kill an enemy you gain 5% movement speed for 30 seconds and become invisible for 3 seconds. The movement speed stacks up to 20 times.,Gold Coast,All Weights
Briarheart,"2 items : Adds 15-657 Critical Chance 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 15-657 Critical Chance 5 items : When you deal Critical Damage , you increase your Weapon and Spell Damage by 15-450 for 10 seconds. While this effect is active, dealing Critical Damage heals you for 95 Health . This effect can occur once every 15 seconds and the heal scales off the higher of your Max Magicka or Stamina .",Wrothgar,Medium Armor
Mark of the Pariah,2 items : Adds 28-1206 Maximum Health 3 items : Adds 34-1487 Armor 4 items : Adds 34-1487 Armor 5 items : Increases your Physical and Spell Resistance by up to 237-10206 based on your missing Health . Current value: 55-2373,Wrothgar,Heavy Armor
Trinimac's Valor,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Magicka Recovery 5 items : When you cast a damage shield , you call down a fragment of Trinimac that heals you and group members for 1396 Health and damages enemies for 1396 Magic damage in a 5 meter radius after a 2 second delay. This effect can occur once every 5 seconds and scales with the higher of your Max Magicka or Stamina .",Wrothgar,Light Armor
Livewire,"2 items : Adds 4% Healing Taken 3 items : Adds 28-1206 Maximum Health 4 items : Adds 4% Healing Taken 5 items : When you take damage, you overload your circuits, applying Concussion to enemies within 8 meters of you and healing for 76-1000 Health for each enemy hit. This effect can occur once every 6 seconds.",Clockwork City,Heavy Armor
Mad Tinkerer,"2 items : Adds 15-657 Critical Chance 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal damage, you summon a Verminous Fabricant that charges forward, dealing 1504 Shock Damage to all enemies in its path, and knocking up to 6 into the air, stunning them for 2 seconds. This effect can occur once every 8 seconds and scales off the higher of your Weapon and Spell Damage .",Clockwork City,Light Armor
Unfathomable Darkness,"2 items : Adds 15-657 Critical Chance 3 items : Adds 34-1487 Offensive Penetration 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal damage, you call a murder of crows around you for 12 seconds. Every 3 seconds a crow will be sent to peck the closest enemy within 12 meters of you, dealing 871 Physical Damage . This effect can occur once every 15 seconds and scales off the higher of your Weapon and Spell Damage .",Clockwork City,Medium Armor
Defiler,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 15-657 Critical Chance 4 items : Adds 15-657 Critical Chance 5 items : When you deal Critical Damage , you summon a Hunger that spews poison to all enemies in front of it, dealing 990 Poison Damage and stunning any enemy hit for 5 seconds. This effect can occur once every 5 seconds and scales off the higher of your Weapon and Spell Damage .",Vvardenfell,Medium Armor
War Maiden,2 items : Adds 15-657 Critical Chance 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 13-600 Weapon and Spell Damage to your Magic Damage abilities.,Vvardenfell,Light Armor
Warrior-Poet,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 34-1487 Armor 4 items : Adds 34-1487 Armor 5 items : Adds 37-1600 Maximum Health 5 items : Gain Minor Toughness at all times, increasing your Max Health by 10%.",Vvardenfell,Heavy Armor
Wisdom of Vanus,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 3-129 Magicka Recovery 4 items : Adds 25-1096 Maximum Magicka 5 items : Adds 3-129 Weapon and Spell Damage 5 items : After completing a fully-charged Heavy Attack , you gain Major Mending for 5 seconds, increasing your healing done by 16%. This duration is increased with each rank of the Restoration Staff Passive of Essence Drain when using a Restoration Staff.",Summerset,Light Armor
