Rumor,Quest (choice)
"|""I heard cultists took over Eagle's Brook. We should double our security here.""",Cutting Off the Source
"|""I heard that poor Lord Diel met a tragic end in the Shrieking Scar. About time someone took care of that bastard.""",The Dagger's Edge (Lord Diel is killed by a harpy)
"|""You cut the forest and the forest cuts back. Bet those witches had something to do with all these nature problems.""",Wyrd and Coven
"|""If an Orc was in charge, Camlorn would have never fallen to a bunch of mangy werewolves.""",The Fall of Faolchu
"|""I worked the Crosswych mines a while back. Glad to know the town is safe again.""",Crosswych Reclaimed
"|""I know you. You exposed the mad constable in Koeglin Village. Ruptga guide you!""",False Accusations (apprehend Constable Pascal)
"|""Is it really you? The one who saved Master Muzgu from the Supernal Dreamers?""",The Gate to Quagmire (Save Master Muzgu)
"|""General Godrun says he owes his life to you...and his honor.""",Godrun's Dream
"|""Those Montclair traitors ambushed the guard at Hinault Farm! I heard a stranger happened along and saved them all.""",Under Siege
"|""Lady Lleraya was a vampire? I'm glad you defeated her and saved Northpoint.""",The Liberation of Northpoint
"|""That traitorous bastard Montclair is hiding atop the Doomcrag! Reports from the front say the guard are now in control of the Shrouded Pass.""",Puzzle of the Pass
"|""I heard some Redguard woman turned her husband into a dog! Imagine that!""",Monkey Magic
"|""My friend Mordroc said you helped him...wouldn't share specifics though...""",Monkey Magic
"|""The garrison's safe now, but there'll soon be another fight. Another way to raise our weapons in battle. Mark my words.""",Storming the Garrison
"|""I lost a lot of money betting against you in that Crucible fight. You're a lucky one.""",Fires of Battle
"|""You bear the Brimstone Crown! So the Lava Queen's reign ends at last.""",Fires of Battle
"|""Bad enough to come to Coldharbour, but to end up in the Tower of Lies, toiling away? Glad some of those people were saved.""","Truth, Lies, and Prisoners"
"|""I can handle my own against a Dremora, but a Daedroth? I sure hope I'm not alone when I'm fighting one of those.""",From a Fighters Guild orc in the Hollow City
"|""The Hollow City is a strange place … I wonder how long it's been here.""",From an Orc member of the Fighters Guild in the Hollow City
"|""I'd like to have a word with the mages who said that the portals to Coldharbour were a good idea. We ended up scattered everywhere!""",From a Fighters Guild orc in the Hollow City
