Clue,Location,Notes
Near the scroll of royalty's secret syllable.,Outside the Scroll Temple of Chim,(map),"Members of the Dominion or Covenant will not be able to access this unless the Gate of Chim is opened.  For this to occur, both Arrius and Kingscrest Keeps must not be in the control of the Pact ."
Rope ladder hangs south of Ghartok.,In a building at the fork in the road south of the Scroll Temple of Ghartok,(map),"Members of the Dominion or Covenant will not be able to access this unless the Gate of Ghartok is opened.  For this to occur, both Arrius and Farragut Keeps must not be in the control of the Pact ."
Keeping the crops alive.,On the northeast corner of Cropsford,(map),
Cradled in a ruined temple hall.,In Cheydinhal,(map),
The Arvinas' pride.,"At Arvina Estate , southeast of Muck Valley Cavern",(map),
Blue Road's trees fall just down the hill.,At Belda,(map),
Where bound spirits hold vigil.,At Fanacas,(map),
Soft wings spin choral garb.,"At the Temple of the Ancestor Moths , inside the cathedral catacombs",(map),
Wedged well in Sedor.,At Sedor,(map),
Fractured by the Bloody Hand.,In the passage south of the northwestern chamber in Cracked Wood Cave,(map),This is the passageway you start in if you fell in through the alternate entrance.
The monarch's buried secret.,In Kingscrest Cavern,(map),
Enjoy a good roll in the muck.,In the southwestern chamber of Muck Valley Cavern,(map),
Nurtured by amphibious host.,In the first of the two chambers to the west in Newt Cave,(map),
Rushing water in the depths.,"In Quickwater Cave , in the first chamber to the west of the main passageway",(map),
Facing the Faceless.,In the western chamber of Vahtacen,(map),
