Imperial City
Place,Boss,Set,Item Name,Description
Imperial City Prison,Overfiend,Scathing Mage,Subjugation Fist,"A brutal hammer, aptly named, and suitable to the Overfiend's mission."
Ibomez the Flesh Sculptor,Sheer Venom,Toxic Cleaver,"Gazing upon this unwholesome weapon, it's suddenly not hard to believe in the vile legends of Ayleid flesh sculpture."
Gravelight Sentry,Sheer Venom,The Vigilant One,A bow suitable for a sentry who needs to be alert for intruders-and also remain wary of a hovering Watcher.
Flesh Abomination,Scathing Mage,Abomination's Clout,"Grasping this powerful weapon by the haft makes the wielder's hands feel somehow unclean, though no actual taint appears."
Lord-Warden's Council,Scathing Mage,Warden's Trust,Apparently even Daedric minions need Restoration magic to recover from wounds.
Lord Warden Dusk,Leeching Plate,Warden's Courage,"When holding the Lord Warden's sword, one can somehow sense the strength of his resolve."
Place,Boss,Set,Item Name,Description
White-Gold Tower,The Adjudicator,Essence Thief,Harvest Dirk,This dagger looks like it was forged from an actual Harvester's claw. Can that really be true?
Elite Guard,Brands of Imperium,Protector's Resolve,This greatsword appears to be ideal for a sentry who needs to hold a door at all costs.
The Planar Inhibitor,Spell Power Cure,The Unbroken,This strange flame staff is constructed of some unfamiliar material. Could it have come from Infernace itself?
Molag Kena,Spell Power Cure,Molag Kena's Touch,This exotic shock staff seems to crackle with internal energy even when at rest.
