Rumor,Quest (choice)
"|""Sir Hughes was once a good man, but killing Duchess Lakana could not be forgiven.""",Sir Hughes' Fate (Execute Sir Hughes)
"|""You the one killed Captain Rama? He was my cousin. Never liked him, though.""",Revenge Against Rama
"|""You caught Captain Rama, didn't you? None too soon, if you ask me.""",Revenge Against Rama
"|""So, you caught that captain who set the Goblins on Cumberland's Watch. Nice work.""",Revenge Against Rama
"|""You're the one who slew Master Muzgu, aren't you? Are you proud of that?""",The Gate to Quagmire (Kill Master Muzgu)
"|""I heard you had to kill Master Muzgu to stop the Supernal Dreamers. Tough choice. """,The Gate to Quagmire (Kill Master Muzgu)
"|""Bought your way out of some trouble at Dreughside, I hear.""",The Sower Reaps
"|""Around Dreughside they say you took Baron Sorick down a peg or two. Had it coming.""",The Sower Reaps
"|""So, you threw Baron Sorick to the wolves! He deserved it.""",The Sower Reaps (Report Sorick to the Guard)
"|""Sad about Miranda Arcole, isn't it? But I guess you did what you could.""",A Woman Wronged (Miranda dies from the poison)
"|""You were involved in that mess at Farangel's Landing, weren't you? Sad business.""",A Woman Wronged (Miranda dies from the poison)
"|""I hear someone found Fontbonne's stash. Must've been something special.""",One Last Game (Keep the treasure for yourself)
"|""Some lucky bastard solved Frodibert Fontbonne's last puzzle. Wish that were me!""",One Last Game (Keep the treasure for yourself)
"|""Donel Fontbonne says you are the most honest person in all Stormhaven.""",One Last Game (Give Donel Fontbonne his inheritance)
"|""I recognize you! Donel Fontbonne sends his thanks for finding his inheritance.""",One Last Game (Give Donel Fontbonne his inheritance)
"|""You saved Count Hosni from that terrible woman. Good riddance, I say!""",Saving Hosni
"|""I hear you recovered the legendary sword of King Aphren. Bravo!""",King Aphren's Sword
"|""If rumors are to be believed, you saved King Emeric's life. Quite an honor!""",Vaermina's Gambit
