Rumor,Quest (choice)
"|""They say Lord Gharesh-ri saved Haven from pirates. But this one knows it was you.""",Unsafe Haven
"|""The Jackdaws should Haven. They got what they deserved.""",Unsafe Haven
"|""This one heard you captured the High Elf ambassador for her crimes in Elden Root. Well done, walker.""",The Honor of the Queen
"|""Will the High Elves build our embassy even uglier than theirs? But no, this one shouldn't complain.""",The Honor of the Queen
"|""You saved those poor mages trapped within Elden Hollow. An honorable deed.""",Consuming Darkness
"|""Thank you for saving the Mane at Driladan Pass.""",Retaking the Pass
"|""You helped the retake Arenthia! Bright moons and well done!""",The Colovian Occupation
"|""You were with the Resistance at Arenthia. Bright moons!""",The Colovian Occupation
"|""The Moon Hallowed! Bright moons guide you on your path, Hallowed.""",The First Step
"|""I heard what happened at Moonmont, Hallowed. Moons be praised for your bravery.""",Motes in the Moonlight
"|""I can't imagine...all those people killed at Dune. Thank you, traveler.""",The Fires of Dune
"|""You saved my life, traveler. I was in Dune the day of the attack. Thank you.""",The Fires of Dune
"|""The Hallowed that walked the Path. This one is not worthy to stand before you.""",The Den of Lorkhaj
"|""Moons guide you on path, Hallowed. Guide you in all things.""",The Den of Lorkhaj
"|""You...you are the Hallowed. You walked the Path with the Mane!""",The Den of Lorkhaj
"|""This one was glad he was not in a hole in the ground called the Tower of Lies. Only in Coldharbour is a hole called a tower.""","Truth, Lies, and Prisoners"
"|""This one is not sure what to think about a Redguard leading the Fighters Guild. Strange times we live in.",Will of the Council
"|""This one thinks the Fighters Guild is confused...why let a Daedra-worshipper live? Yes?",Will of the Council (If Sees-All-Colors is spared)
