Quality,Normal,Fine,Superior,Epic,Legendary
Spell / Weapon Damage
Bonus Range,3-112,7-117,12-121,16-124,21-129
Item Level,1,3,7,12,16,21
4,9,13,18,22,27
6,13,18,22,27,31
8,16,21,25,30,34
10,19,24,28,33,37
12,22,27,31,36,40
14,25,30,34,39,43
16,28,33,37,42,46
18,31,36,40,45,49
20,34,39,43,48,52
22,37,42,46,51,55
24,40,45,49,54,58
26,43,48,52,57,61
28,46,51,55,60,64
30,49,54,58,63,67
32,52,57,61,66,70
34,55,60,64,69,73
36,58,63,67,72,76
38,61,66,70,75,79
40,64,69,73,78,82
42,67,72,76,81,85
44,70,75,79,84,88
46,73,78,82,87,91
48,76,81,85,90,94
50,79,84,88,93,97
10,79,84,88,91,96
20,82,87,91,94,99
30,84,88,93,96,100
40,87,91,96,99,103
50,88,93,97,100,105
60,91,96,100,103,108
70,93,97,102,105,109
80,96,100,105,108,112
90,97,102,106,109,114
100,100,105,109,112,117
110,102,106,111,114,118
120,105,109,114,117,121
130,106,111,115,118,123
140,109,114,118,121,126
150,111,115,120,123,127
160,112,117,121,124,129
