Rumor,Quest (choice)
"|""How could you let that Alchemist at Phaer live? He was a monster!""",The First Patient (Spare Hendil)
"|""You saved our high-and-mighty queen, eh? Pah! Naemon should have had the crown!""",A Hostile Situation
"|""So, you're saved the Queen, eh? You don't look that special.""",A Hostile Situation
"|""I've heard tell of your devout work at the holy site of Torinaan. Divines bless you.""",Blessings of the Eight
"|""Lady Estre was our true Queen! Damn you for killing her!""",Sever All Ties
"|""Thank you for standing beside the Queen at Tanzelwil, traveler. Stars watch over you.""",Rites of the Queen
"|""Amazing to stand at the heart of Tanzelwil, isn't it? You can hear the ancestors whisper.""",Rites of the Queen
"|""You aided Queen Ayrenn in her ratification, correct? You do look like someone to know.""",Rites of the Queen
"|""Ayrenn should have been the one put to death at Skywatch. Bah!""",The Veil Falls
"|""The savior of Skywatch! The Heritance training camp crushed!""",The Veil Falls
"|""By the Empyrean Light, it's the savior of the Keepers!""",Banishing the Banished
"|""Rilis XII is an embarrassment and an abomination. You did well to destroy him.""",The Plan
"|""A terrible shame about General Endare. I suppose you had to do what was best.""",A Lasting Winter
"|""The moors outside of Longhaven were home to vampires. Can you imagine!""",Mist and Shadow
"|""I understand we've you to thank for uncovering the spy in Woodhearth.""",Double Jeopardy
"|""Can you believe there was a spy in the Thalmor at Woodhearth?""",Double Jeopardy
"|""You're the one who stopped the Maormer offensive! Divines bless you!""",A Storm Upon the Shore
"|""You helped Arithiel stop Mauloch? If only I could walk in her shadow!""",Arithiel (Arithiel lives)
"|""I presume it was quick for the Silvenar's advisor, in the end. You have my sympathies.""",The Prisoner of Jathsogur
"|""What was the Silvenar's advisor, the one who died? Terrible shame.""",The Prisoner of Jathsogur
"|""They say the storms from Tempest Island would've drowned and blasted us all, were it not for your heroics.""",Eye of the Storm
"|""Have you heard? A High Elven woman named Valaste returned Eyevea to the Summerset Isles!""",The Mad God's Bargain (Keep Valaste on Tamriel)
