Rumor,Quest (choice)
"|""I heard you uncovered a lost shrine in Fungal Grotto. How eerie.""",Kings of the Grotto
"|""Did you hear some cultists found an old Daedric shrine in Fungal Grotto? Killed all the dreugh just to get at it.""",Kings of the Grotto
"|""I would have enjoyed tangling with the Orcs at Malak's Maw. They're strong fighters. Almost as strong as Nords.""",Intruders in Deshaan
"|""Plague in Narsis? Hah! Those Dark Elves wouldn't know a real plague if it crawled out and bit them.""",Hiding in Plain Sight
"|""The moment the plague disappeared from the Gorge, traders were selling their wares again. Amazing.""",Plague Bringer
"|""Some of my Dark Elf friends are still upset that Saint Veloth's shrine was attacked. And by one of their own, no less.""",A Saint Asunder
"|""Deepcrag kwama mine had some trouble recently. I always wondered why they call it a mine? They just harvest eggs.""",Search and Rescue
"|""The Dark Elves sure like their kwama eggs. I think they taste terrible, but that's just my opinion.""",Search and Rescue
"|""They say Argonians can smell skin-stealers. Must be why they went after the lizards first.""",Getting to the Truth
"|""Heard you touched a glowing egg and then talked to a tree. Must've been strange.""",The Dream of the Hist
"|""Heard you found some witch raising Draugr in the Hall of the Dead. We live in dangerous times.""",Lost Crown
"|""Old Hjurring's been spreading tales of how you defeated Malana. Very impressive!""",Lost Crown
"|""Is it true, Lodorr came back from the dead? And you killed him again? Fantastic!""",Lost Crown
"|""I was relieved to hear that Voljar's Meadery has reopened. Good mead warms the soul!""",A Brother's Revenge
"|""Did you hear? They finally freed Fort Morvunskar from Fildgor Orcthane's troops.""",Sleep for the Dead
"|""I heard that the ghost of Queen Nurnhilde was seen in Fort Morvunskar.""",Sleep for the Dead
"|""Now Cradlecrush is crawling with giants? Is that better? Really?""",The Siege of Cradlecrush
"|""So Fildgor poisoned his own brother? And he expects the Nords to follow him? He's more foolish than I imagined.""",The War Council
"|""You saved the King. You are a friend to all Nord people this day.""",Gods Save the King
"|""High-King Jorunn rules unopposed and Fildgor yet lives. The divines smile on the sons of Skyrim.""",Songs of Sovngarde (Spare Fildgor)
"|""I heard someone gave Fildgor a warrior's death. Was that you?""",Songs of Sovngarde (Kill Fildgor)
"|""Word from Nimalten is that Aera Earth-Turner was a traitor? You were there. Is that true?""",Concealed Weapons (Kill Aera Earth-Turner)
"|""Exile is better than a spy like Aera Earth-Turner deserved. You're more merciful than I would have been.""",Concealed Weapons (Exile Aera Earth-Turner)
"|""My brother was with you when you retook Fallowstone Hall.""",Storming the Hall
"|""Geirmund's Guardian. You have my respect.""",Geirmund's Guardian
"|""You completed Geirmund's three challenges? Unbelievable.""",Geirmund's Guardian
"|""I heard that you were there when the Reachmen released Sinmur's ghost.""",Unearthed
"|""You're the favored one, the one Ysgramor appeared to.""",Stomping Sinmur
"|""Did you really meet Ysgramor himself?""",Stomping Sinmur
"|""The spirit of Shalidor returned and advising the Mages Guild! The times we live in.""",The Mad God's Bargain
