Activity,Description
Claim 5 Rewards from the Daily Login Calendar,Claim Daily Login Calendar Rewards.
Claim 10 Rewards from the Daily Login Calendar,Claim Daily Login Calendar Rewards.
Complete 5 Group Dungeon,Complete Normal or Veteran Group Dungeons throughout Tamriel.
Complete 10 Group Dungeons,Complete Normal or Veteran Group Dungeons throughout Tamriel.
Complete 15 Group Dungeons,Complete Normal or Veteran Group Dungeons throughout Tamriel.
Complete 1 Undaunted Pledge,"Complete Undaunted Pledges bestowed by Urgarlag Chief-bane, Maj al-Ragath, or Glirion the Redbeard."
Complete 5 Undaunted Pledge,"Complete Undaunted Pledges bestowed by Urgarlag Chief-bane, Maj al-Ragath, or Glirion the Redbeard."
Complete 15 Undaunted Pledge,"Complete Undaunted Pledges bestowed by Urgarlag Chief-bane, Maj al-Ragath, or Glirion the Redbeard."
Earn 1 Rank in the Undaunted Skill Line,Earn ranks in the Undaunted skill line. See the Skills menu for how to earn skill line ranks.
Earn 3 Rank in the Undaunted Skill Line,Earn ranks in the Undaunted skill line. See the Skills menu for how to earn skill line ranks.
Kill 5 Delve Bosses,Kill Delve bosses.
Kill 10 Delve Bosses,Kill Delve bosses.
Kill 5 Public Dungeon Bosses,Kill Public Dungeon bosses anywhere in Tamriel.
Kill 10 Public Dungeon Bosses,Kill Public Dungeon bosses anywhere in Tamriel.
Kill 15 Public Dungeon Bosses,Kill Public Dungeon bosses anywhere in Tamriel.
Complete the Direfrost Keep Dungeon 1 Time,"Clear the Direfrost Keep dungeon, located in Eastmarch."
Complete the Spindleclutch II Dungeon 1 Time,"Clear the Spindleclutch II dungeon, located in Glenumbra."
Complete the Vaults of Madness Dungeon 1 Time,"Clear the Vaults of Madness dungeon, located in Coldharbour."
Complete the Banished Cells I Dungeon 1 Time,"Clear the Banished Cells I dungeon, located in Auridon."
Complete the Crypt of Hearts II Dungeon 1 Time,"Clear the City of Ash II dungeon, located in Greenshade."
Complete the Fungal Grotto II Dungeon 1 Time,"Clear the Fungal Grotto II dungeon, located in Stonefalls."
