Place,Boss/Quest,Set,Item Name,Description
Main Quest
Depends on Alliance,Soul Shriven in Coldharbour,N/A,Sealed Urn (contents),This rusty urn clearly originated in Coldharbour. It has been tightly sealed. Your name is burned into the side.
The Harborage,The Harborage,N/A,Prophet's Recollection,A signet ring the Prophet has carried with him since his days in the Moth Priest's library.
The Foundry of Woe,Daughter of Giants,N/A,Titanborn Family Signet,"Lyris kept this with her for years, as she trained relentlessly with the members of her mercenary company."
The Worm's Retreat,Chasing Shadows,N/A,Aldmion's Amulet,Imbued with some of the animal cruelty that comes from a life as a vampire and cultist.
Castle of the Worm,Castle of the Worm,N/A,Signet of the Worm,"Worn by the upper ranks of Mannimarco's followers, this simple ring is stained with necromantic fluids."
The Harborage,The Tharn Speaks,N/A,Tharn Family Ring,"Emblazoned with the symbol of the ancient Tharn family, and most likely hundreds of years old."
Halls of Torment,Halls of Torment,N/A,Jewel of the Duchess,This simple band allowed the Daedra working for the Duchess to withstand the agony of her mere presence.
The Valley of Blades,Valley of Blades,N/A,Sword Saint's Choker,A relic interred within the Ancestral Crypt. Disturbed by the dark magics of Mannimarco and once worn by a Sword Saint of old.
Sancre Tor,Shadow of Sancre Tor,N/A,Signet of Sancre Tor,"After years in the heavily enchanted vaults of Sancre Tor, this ring actively deflects magicka around it."
Vision of the Companions,Council of the Five Companions,N/A,Band of the Companions,"The inner edge of this ring bears runes, one for each member of the original Five Companions."
Heart's Grief,God of Schemes,Oblivion's Foe,Great Axe of the Titanborn,Runes along the blade sing of the Titanborn clan legacy. The deeds of Lyris' father are the last that will be engraved here.
Sword Saint's Blade,"Inscriptions run the length of the blade, prayers from Sai Sahan to the Sword Saints of Alik'r."
The Emperor's Blessing,"Carved by Varen himself as his sight left him, the runes that run its length speak to his power as a mage and a seer."
The Harborage,Cadwell's Silver,Meridia's Blessed Armor,Meridia's Charm of the Dawn,Meridia created this token from the first light of dawn at the height of summer.
The Harborage,Cadwell's Gold,Meridia's Blessed Armor,Meridia's Emblem of Searing Light,"Though the task Meridia set before you is complete, you sense that she still watches you through this pendant."
