Dark Anchors (These items no longer drop)
Place,Boss/Quest,Set,Item Name
Dark Anchors,"Amkaos, Kathutet and Ranyu",,
Anaxes and Medrike,Draugr's Heritage,Hammer of Anaxes
Draugr's Heritage,Battleaxe of Medrike
Dregas Volar,N/A,Volar's Crescent Dagger
N/A,Volar's Crescent Staff
"Dylora, Jansa and Vika",Shroud of the Lich,Dylora's Staff
"Fangaril, King Styriche and Zayzahad",N/A,King Styriche's Helm
N/A,King Styriche's Pauldrons
Gedna Relvel,,
"Glut, Hogshead and Stumble",N/A,Glut's Twin-Tail Hat
N/A,Hoghead's Shawl
N/A,Stumble's Boots
Hrelvesuu,Draugr's Heritage,The Bestial Rampart
Menta Na,N/A,Mace of Menta Na
Methats,Draugr's Heritage,Traveler's Prop of Draugr Heritage
Nomeg Haga,Draugr's Heritage,Glacial Staff of Nomeg Haga
Ozzozachar,N/A,Ozzozachar's Claw
N/A,Ozzozachar's Tooth
Rhagothan,,
Velehk,N/A,Abecean Pirate King's Armor
Yggmanei,,
Zymel Hriz,Draugr's Heritage,Staff of Zymel Hriz
