The Deadlands
Place,Boss/Quest,Set,Item Name,Description
Ardent Hope,Death Stalks the Weak,Hexos' Ward,Fist of the Kalmur,Gifted by Khazasha for helping her deal with the Ravener at Ardent Hope.
The Brandfire Reformatory,Reformatory Rescue,Eye of the Grasp,Pibiha's Cherished Cameo,Tufeh provided this necklace as compensation for helping her at the Brandfire Reformatory.
The Deadlands,The Force of Change,Eye of the Grasp,Rod of the Eleventh Force,Awarded for assisting Valsirenn in her research across the Deadlands.
False Martyrs' Folly,Mettle and Stone,Eye of the Grasp,Tribunal Miter,Compensation for aiding Selveni free trapped souls from the False Martyrs' Folly.
Fargrave City District,The Celestial Palanquin,Eye of the Grasp,Band of the Anchorite,The Anchorite rewarded this ring for helping her stop the Waking Flame from harming Fargrave.
Destruction Incarnate,Hexos' Ward,Gazmod's Leg Guards,Leggings from the collection of Gazmod the Collector.
Born of Grief,Eye of the Grasp,Bladebearer Edge,Awarded for stopping Sister Celdina in Deadlight.
Deadlight,Hexos' Ward,Deadlight Raiment,"A gift from the Dremora clan, the Bladebearers, for helping to rescue their captive warriors from Fort Grief."
The Last Ambition,Hexos' Ward,Staff of Fallen Ambition,Compensation from Lyranth the Dremora.
Courier's Folly,Kynmarcher's Cruelty,Severguard,"A shield, compensation for completing a task for Madam Whim."
A Gem of a Mystery,Kynmarcher's Cruelty,Mikget's Layaway,A token of appreciation for helping Mikget complete tasks for Madam Whim.
Robhir's Final Delivery,Hexos' Ward,Robhir's Soles,"These were supposed to go to Robhir, but he didn't survive. And Madam Whim hates for anything to go to waste."
Salvaged Plans,Kynmarcher's Cruelty,The Stricture's Mantle,Payment for assisting Grasp-Kyn Zyr and the Grasp of the Stricture.
Uxark's Treasure,Hexos' Ward,Nass's Signet,A ring awarded by the Skaafin who serves Madam Whim for your assistance.
The Shambles,Web of Lies,Eye of the Grasp,Fyr's Wraps,"Divayth Fyr always compensates the hired help, especially when the task requires dealing with Fargrave and the Shambles."
Wretched Spire,The Durance Vile,Kynmarcher's Cruelty,Penitents' Fists,Rewarded for investigating the Blood Pit and learning more about the Riven Cataclyst.
Ambition's End,Hexos' Ward,Sharp-Arrow's Favorite,A gift from Eveli Sharp-Arrow for helping to end the threat of Mehrunes Dagon's Ambitions.
Peace's Wretched Price,Kynmarcher's Cruelty,Wretched Ringmail,Compensation for assisting Noroth deal with trouble at Wretched Spire.
