Rumor,Quest (choice)
"|""Is it true they summoned Balreth to defeat the Daggerfall army at Davon's Watch?""",City Under Siege
"|""I understand you were instrumental in crushing the Daggerfall army at Davon's Watch.""",City Under Siege
"|""You saved countless lives, uncovering Rhavil Urano's treachery.""",Restoring Order
"|""You're the one who rooted out that spy and united the Ebonheart Pact!""",Restoring Order
"|""You're the hero who defeated Alexandra Conele at Vivec's Antlers!""",The Coral Heart
"|""The hero who defeated General Serien is always a welcome sight.""",The General's Demise
"|""Thank Vivec you stopped the Covenant from summoning Sadal!""",The General's Demise
"|""Omin Dres won't shut up about you.""",Saving the Son
"|""House Dres has spread your name far and wide.""",Saving the Son
"|""There were rumors of Dark Elves disappearing near Malak's Maw. Turns out a gang of Orcs were behind it.""",Challenge the Tide
"|""I grew up in Narsis. I can't believe this stupid plague almost turned the place into a ghost town.""",Hiding in Plain Sight
"|""Ashlanders nearly destroyed Muth Gnaar before they were stopped. To attack a place of healing...it makes no sense.""",Honor Bound
"|""I heard the Vereansu attacked Muth Gnaar because the monks were using some sort of Daedric artifact.""",Honor Bound
"|""Strangers in black helped House Hlaalu at the Gorge. Do you think... No, that's impossible. They're all gone now.""",Plague Bringer
"|""Can you believe it? I saw Almalexia herself! I am forever blessed by the Healing Mother.""",The Seal of Three
"|""Did you hear about Deepcrag Den? The poison leak? No one is really sure what happened.""",Search and Rescue (Don't snitch)
"|""Magistrix Vox did something terrible to the people of Selfora. Why is the Tribunal silent in the face of such atrocities?""",Rescue and Revenge
"|""Magistrix Vox was finally defeated. What a shame, I heard she used to be one of Almalexia's hand maidens.""",The Judgment of Veloth
"|""How could anyone, let alone a Dark Elf, desecrate the Shrine of Saint Veloth? It's scandalous!""",A Saint Asunder
"|""You helped strengthen the Pact in Stormhold. Thank you.""",Getting to the Truth
"|""All those prisoners in White Rose, driven mad. Sometimes you have to weigh the odds.""",The Keystone (take the keystone from White Rose)
"|""Seems as if the Pact leaders are preparing to take on the Skald-King's traitorous brother.""",Eternal Slumber
"|""From what I've heard, the Orcthane deserved a traitor's death.""",Songs of Sovngarde (Kill Fildgor)
"|""At last the troublemaker, Fildgor, is dead. The Pact can move forward and I can return home.""",Songs of Sovngarde (Kill Fildgor)
"|""You're the one who stopped Thallik from opening the portal to Oblivion!""",Shattered Hopes
"|""Did Thallik really try to open a portal to Oblivion?""",Shattered Hopes
"|""I heard you were there when Molag Grunda was defeated. Well done.""",Crossing the Chasm
"|""There was some kind of cult, they say, right beneath the king's castle! Called 'em the Bad Man's Hallows.""",Season of Harvest
