Endeavor,Description,Tips and Notes
"Afflict [65, 150] Enemies with Weapon Poisons",Apply consumable poisons to foes via your weapon to complete this endeavor.,
"Cast [80, 120, 160] Skills with active Skill Styles",Cast Skills with active Skill Styles to complete this endeavor.,
Catch 60 Fish,Catch Fish to complete this endeavor.,
Claim 4 Rewards from the Daily Login Calendar,Claim Daily Login Calendar Rewards to complete this endeavor.,
Clear 10 Oblivion Portals,Clear Oblivion Portals in Blackwood and the Deadlands to complete this endeavor.,
Collect 35 Pure Water Springs or Alchemical Plants,"Collect Alchemical resources like plants, mushrooms, and water to complete this endeavor.",
"Complete [1, 2, 3] Arena(s)","Triumph over Maelstrom Arena, Vateshran Hollows, Blackrose Prison or Dragonstar Arena to complete this endeavor.",
"Complete [4, 5, 6, 7] Battleground Matches",Complete Battleground matches (win or lose) to complete this endeavor.,
Complete 4 Battlegrounds with a Guildmate,Finish battleground matches alongside a guildmate to complete this endeavor.,
"Complete [4, 7] Black Sacraments",Complete Black Sacrament quests for the Dark Brotherhood to complete this endeavor. Undertake these nefarious missions in the Dark Brotherhood DLC.,
Complete 5 Consumables Master Writs,"Complete Master Writ quests for consumables goods like drinks, foods, glyphs, or potions to complete this endeavor.",
Complete 8 Daily Endeavors,Complete Daily Endeavors to complete this endeavor.,
"Complete [12, 16, 20] Daily Quests",Complete any daily quests to complete this endeavor.,
Complete 5 Duels,Complete duels with other players (winning or losing) to complete this endeavor. Forfeited duels do not count toward this goal.,
Complete 4 Dungeons with a Guildmate,Finish dungeons alongside a guildmate to complete this endeavor.,
Complete 8 Durables Master Writs,"Complete Master Writ quests for durable goods like weapons, armor, and jewelry to complete this endeavor.",
Complete Fang Lair 3 Times,"Clear the Fang Lair dungeon, located in Bangkorai to complete this endeavor.",
"Complete [6, 7, 15] Group Dungeons",Complete Normal or Veteran Group Dungeons throughout Tamriel to complete this endeavor.,
"Complete [5, 10] Guild Daily Quests",Complete any Guild Daily Quests to complete this endeavor.,
"Complete [4, 7, 10, 12] Heists",Complete Heist quests for the Thieves Guild to complete this endeavor. Sign up for these unlawful adventures in the Thieves Guild DLC.,
"Complete [4, 5, 7, 8, 10] Public Dungeon Group Events",Achieve victory in public dungeon group events to complete this endeavor.,
"Complete [10, 20, 25] Quests",Complete quests throughout Tamriel to complete this endeavor.,
"Complete [5, 7, 8] Quests for Bruma in Cyrodiil","Complete quests for the town of Bruma, found in Cyrodiil, to complete this endeavor.",
Complete 7 Quests for Cheydinhal in Cyrodiil,"Complete quests for the town of Cheydinhal, found in Cyrodiil, to complete this endeavor.",
"Complete [5, 7, 8] Quests for Chorrol in Cyrodiil","Complete quests for the town of Chorrol, found in Cyrodiil, to complete this endeavor.",
"Complete [4, 7] Quests for Cropsford in Cyrodiil","Complete quests for the town of Cropsford, found in Cyrodiil, to complete this endeavor.",
"Complete [3, 9, 12, 15] stage(s) in the Infinite Archive",Clear stages in the Infinite Archive to complete this endeavor.,
"Complete [3, 4] Trials",Gather your allies and complete Trials to complete this endeavor.,
Complete 3 Trials with a Guildmate,Finish trials alongside a guildmate to complete this endeavor.,
"Complete [9, 10] Tribute Matches",Face opponents in Tales of Tribute through the Activity Finder to complete this endeavor.,
"Craft [20, 30, 75] Items with any skill",Craft items using any skill to complete this endeavor. Crafting stations can be found in most major cities.,
"Deal [400000, 800000, 1000000] Damage in Battlegrounds, Cyrodill or Imperial City","Deal Damage in Battlegrounds, Cyrodill or Imperial City to complete this endeavor.",
"Deal [400000, 500000, 600000] Damage with Siege Weapons","Deal damage with siege weapons like trebuchets, catapults, and ballistae in Cyrodiil (to players, guards, or keeps) to complete this endeavor.",
"Defeat [4, 6, 8, 10] Cycle bosses in the Infinite Archive",Defeat Cycle bosses in the Infinite Archive to complete this endeavor.,
Defeat 14 Cycle bosses in the Infinite Archive with a partner,Defeat Cycle bosses in the Infinite Archive with another player or companion to complete this endeavor.,
"Defeat [250, 300, 350, 500] Enemies",Defeat foes across Tamriel to complete this endeavor.,
"Defeat [250, 300, 350, 400] Enemies with Scribed Skills",Defeat Enemies with Scribed Skills to complete this endeavor.,
"Defeat [4, 6, 7, 10] Patrolling Horrors in the Imperial City Districts",Defeat the colossal monsters that roam the Imperial City's districts to complete this endeavor.,
Destroy 125 Clockwork Foes,"Destroy fabricants, factotums, and other clockwork foes to complete this endeavor. Seek them out in Sotha Sil's Clockwork City.",
Dig Up 7 Chests from Treasure Maps,Follow Treasure Maps and dig up their Treasure Chests to complete this endeavor.,
"Earn [130000, 150000] Alliance Points","Earn Alliance Points by participating in Battlegrounds, Cyrodiil or the Imperial City to complete this endeavor.",
"Earn [12000, 16000, 20000] Award Medals in Battlegrounds",Earn Award Medals by killing players and completing objectives in Battlegrounds to complete this endeavor.,
"Earn [6, 8, 10] Event Tickets",Earn tickets during the current event to complete this endeavor.,
"Earn [1250, 1500] Tel Var Stones Through Kills and Rewards",Earn Tel Var stones by killing players or monsters in the Imperial City to complete this endeavor.,
"Excavate [15, 20, 25] Antiquities",Find and excavate Antiquities throughout Tamriel to complete this endeavor. Begin your antiquarian journey through the Greymoor Chapter.,
"Excavate [7, 8] Purple or Gold-quality Antiquities",Excavate Purple or Gold-quality Antiquities to complete this endeavor. Begin your antiquarian journey through the Greymoor Chapter.,
"Harvest [35, 50, 65, 80, 100] Resources from the World","Harvest crafting resources from plants, ore veins, or any other natural deposit to complete this endeavor.",
"Heal 200000 Amount in Battlegrounds, Cyrodiil or Imperial City","Heal in Battlegrounds, Cyrodiil or Imperial City to complete this endeavor.",
Heal 200000 Amount with Scribed Skills,Heal with Scribed Skills to complete this endeavor.,
Improve 6 Items,Improve Items to complete this endeavor.,
Kill 125 Beasts,Kill beasts throughout Tamriel to complete this endeavor.,
"Kill [50, 100] Bestial Daedra","Kill ogrims, clannfear, scamps and other bestial Daedra to complete this endeavor. These cruel monstrosities stalk the planes of Oblivion in great numbers.",
"Kill [20, 30, 75] Dangerous Foes",Kill foes with shielded life-bars to complete this endeavor.,
