Raw Material,Refined Into,Used To Make...,Level
Raw Jute,Jute,Homespun Armor,1 - 14
Raw Flax,Flax,Linen Armor,16 - 24
Raw Cotton,Cotton,Cotton Armor,26 - 34
Raw Spidersilk,Spidersilk,Spidersilk Armor,36 - 44
Raw Ebonthread,Ebonthread,Ebonthread Armor,46 - 50
Raw Kreshweed,Kresh Fiber,Kresh Armor,10 - 30
Raw Ironweed,Ironthread,Ironthread Armor,40 - 60
Raw Silverweed,Silverweave,Silverweave Armor,70 - 80
Raw Void Bloom,Void Cloth,Shadowspun Armor,90 - 140
Raw Ancestor Silk,Ancestor Silk,Ancient Silk Armor,150 - 160
