Set Name,Bonuses,Set Type
Baan Dar's Blessing,"2 items : Adds 34-1487 Armor 3 items : Adds 28-1206 Maximum Health 4 items : Adds 28-1206 Maximum Health 5 items : Reduce the duration of Breakable Crowd Control , Immobilizes , and Snares on you by 75%. Reduce the duration of your Breakable Crowd Control, Immobilizes, and Snares by 38%.",Heavy Armor
Battalion Defender,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 4% Healing Done 5 items : When you Block , heal yourself or a group member within 15 meters of you for 897 Health . This effect can occur every 1 second and scales off your Max Health .",Heavy Armor
Battlefield Acrobat,2 items : Adds 3-129 Stamina Recovery 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 25-1096 Maximum Stamina 5 items : Reduces the cost of all of your abilities by 6%.,Medium Armor
Blunted Blades,"2 items : Adds 34-1487 Armor 3 items : Adds 9-421 Critical Resistance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you take direct damage, Minor Enervation is applied to your enemy for 4 seconds, reducing their Critical Damage done by 10%. This can occur once every 5 seconds. Increase your damage done to enemies with Minor Enervation by 6%.",Medium Armor
Colovian Highlands General,"1 item : Adds 34-1487 Offensive Penetration 2 items : When you kill a Player, gain a stack of Blood Debt for 0.5 seconds. When Blood Debt expires, you and up to 5 group members within 28 meters of you gain 15 Ultimate per stack of Blood Debt.",Monster Helm Sets
Dark Convergence,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 34-1487 Offensive Penetration 4 items : Adds 3-129 Weapon and Spell Damage 5 items : While in combat, casting abilities that leave an effect on the ground will create an area that applies a 60% snare and pulls enemies after a 1 second delay, stunning them for 1 second. After 4 seconds, the area deals 821 Magic damage to all enemies in the 10 meter area, and 1642 Magic damage to enemies within 3 meters of the center, increasing by 50% for each target. This effect can occur once every 25 seconds and scales off the higher of your Weapon and Spell Damage .",Light Armor
Enervating Aura,"2 items : Adds 4% Healing Taken 3 items : Adds 28-1206 Maximum Health 4 items : Adds 34-1487 Armor 5 items : When you deal direct damage, you have a 10% chance to create an area under the target that detonates after 1 second, applying Enervating Aura and Minor Enervation for 10 seconds to enemies within 5 meters. Enervating Aura lowers the Health Recovery , Magicka Recovery , and Stamina Recovery of enemy players by 3-129 per player hit. This effect can occur once every 15 seconds.",Heavy Armor
Fasalla's Guile,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 28-1206 Maximum Health 4 items : Adds 4% Healing Taken 5 items : Adds 34-1487 Armor 5 items : While in combat, every 1 second you apply Minor Defile to enemies within 5 meters of you for 2 seconds, reducing their healing received and damage shield strength by 6%.",Heavy Armor
Hew and Sunder,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 34-1487 Offensive Penetration 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal damage with a Heavy Attack , gain 28-1236 Offensive Penetration for each enemy within 8 meters of your target for 10 seconds. This effect can occur once every 7 seconds.",Medium Armor
Hrothgar's Chill,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 34-1487 Armor 4 items : Adds 34-1487 Offensive Penetration 5 items : Stunning or immobilizing your enemy causes them to burst with frost magic, applying the Chilled status effect and dealing 13% of their total Physical and Spell Resistance as Frost Damage to themselves and enemies within 8 meters of them. This effect can occur once every 7 seconds, ignores Spell Resistance , and cannot be blocked .",Heavy Armor
Indomitable Fury,"2 items : Adds 9-424 Critical Resistance 3 items : Adds 9-424 Critical Resistance 4 items : Adds 3-129 Stamina Recovery 5 items : After Breaking Free, you gain Minor Protection and Minor Heroism for 7 seconds, reducing your damage taken by 5% and generating 1 Ultimate every 1.5 seconds.",Light Armor
Jerall Mountains Warchief,"1 item : Adds 3-129 Weapon and Spell Damage 2 items : Dealing damage applies a stack of Malady to your enemy, reducing healing received by 1% for 5 seconds, up to 35 stacks. You can apply a stack once every 0.5 seconds. Applying Malady gives you a stack of Contagion, reducing healing received by 1% for 5 seconds, up to 15 stacks. You can only gain a stack once every 1 second.",Monster Helm Sets
Judgment of Akatosh,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 28-1206 Maximum Health 4 items : Adds 28-1206 Maximum Health 5 items : Adds 53-2291 Armor 5 items : When you deal direct damage with a Blink, Charge, Leap, Teleport, or Pull ability, you distort time on your enemy. After 3 seconds, the enemy bursts with temporal energy, reducing the Movement Speed of all enemies within 12 meters by 70% for 6 seconds and stunning them for 3 seconds. This effect can be blocked and can occur once every 15 seconds.",Heavy Armor
Languor of Peryite,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 9-424 Critical Resistance 4 items : Adds 34-1487 Offensive Penetration 5 items : You deal 6% increased damage to Bracing players. When you deal Light Attack damage to an enemy that is immune to crowd control, apply Languor for 10 seconds, reducing their Magicka Recovery and Stamina Recovery by 5-248. This effect can occur once every 10 seconds.",Light Armor
Leki's Focus,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 9-424 Critical Resistance 4 items : Adds 9-424 Critical Resistance 5 items : Reduces your damage done with area of effect attacks by 5%, but grants Major Evasion at all times; reducing your damage taken from area of effect attacks by 20%.",Medium Armor
Mara's Balm,"2 items : Adds 34-1487 Armor 3 items : Adds 9-424 Critical Resistance 4 items : Adds 4% Healing Taken 5 items : When a negative effect is removed from you, restore 25-1106 Health . This effect can occur once every 1 second. When you take damage and have 6 or more negative effects, restore 25-1106 Health per negative effect and then cleanse all. This effect can occur once every 30 seconds.",Heavy Armor
Marksman's Crest,2 items : Adds 3-129 Stamina Recovery 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Reduces the cost of your Stamina abilities by 5% and increases the damage of your Bow abilities against Players by 8%.,Medium Armor
Nibenay Bay Battlereeve,"1 item : Adds 9-424 Critical Resistance 2 items : When you are forcefully moved via a Pull , Knockback or Teleport ability, gain a damage shield that absorbs up to 15112 damage for 6 seconds. This damage shield is not affected by Battle Spirit . This effect can occur once every 14 seconds. While you do not have the damage shield from this set, reduce your damage taken from players by 5%.",Monster Helm Sets
Nocturnal's Ploy,"2 items : Adds 34-1487 Offensive Penetration 3 items : Adds 9-424 Critical Resistance 4 items : Adds 3-129 Stamina Recovery 5 items : When you directly apply a Major Debuff to an enemy, remove a Major Buff with a duration from the target. When you directly apply a Minor Debuff, remove a Minor Buff from the target. These effects can both occur once every 15 seconds and a target can be affected once every 15 seconds. This does not apply to abilities with delays.",Medium Armor
Oakfather's Retribution,2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Gain 449 Offensive Penetration against enemies for each Major Buff they have active. Gain 20 Weapon and Spell Damage against enemies for each Minor Buff they have active.,Light Armor
Plaguebreak,"2 items : Adds 34-1487 Offensive Penetration 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Dealing direct damage causes player enemies to become a Plague Carrier, dealing 1000 Disease damage over 10 seconds and applying the Diseased status effect . If the plague is removed early it explodes and deals 735 Disease damage to all enemies within 8 meters of the carrier, increasing by 50% per enemy hit. This effect can occur once every 20 seconds per target, once per attack, and scales off the higher of your Weapon and Spell Damage .",Medium Armor
Rallying Cry,"2 items : Adds 15-657 Critical Chance 3 items : Adds 9-424 Critical Resistance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When your healing critically strikes while Battle Spirit is active, you and group members within 12 meters of you gain 22-986 Critical Resistance and 6-300 Weapon and Spell Damage for 20 seconds. Each group member affected reduces the Weapon and Spell Damage by 0-15 and Critical Resistance by 1-50. This effect can occur once every 15 seconds.",Light Armor
Robes of Transmutation,"2 items : Adds 9-424 Critical Resistance 3 items : Adds 4% Healing Done 4 items : Adds 15-657 Critical Chance 5 items : When you heal yourself or an ally with a healing over time ability, grant them 31-1363 Critical Resistance for 4 seconds.",Light Armor
Soldier of Anguish,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Your melee Light Attacks place a ring on the ground that explodes after 1.3 seconds, applying 112-4830 Heal Absorption to all enemies hit for 4 seconds, negating the next 112-4830 points of healing done. This effect can occur once every 6 seconds.",Medium Armor
Shell Splitter,"2 items : Adds 34-1487 Offensive Penetration 3 items : Adds 34-1487 Offensive Penetration 4 items : Adds 34-1487 Offensive Penetration 5 items : When an enemy blocks one of your attacks, increase your Offensive Penetration by 631 for 5 seconds. This effect can stack up to 20 times. You can gain one stack every 0.5 seconds.",Medium Armor
Snake in the Stars,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 3-129 Magicka Recovery 5 items : Applying a Major or Minor Debuff to an enemy applies Star Venom to them for 4 seconds. This effect can occur once every 12 seconds. Whenever an enemy with Star Venom is healed, they take 1170 Oblivion Damage , up to once every 0.1 seconds. An enemy can only be affected by one instance of Star Venom every 12 seconds.",Light Armor
Spell Strategist,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal damage with a Light Attack , you place a mark over your target for 5 seconds, granting you 10-460 Weapon and Spell Damage against your marked target. This effect can occur every 4 seconds.",Light Armor
Steadfast Hero,"2 items : Adds 34-1487 Armor 3 items : Adds 34-1487 Armor 4 items : Adds 28-1206 Maximum Health 5 items : When you cleanse a negative effect from yourself or an ally, gain Major Protection for 10 seconds, reducing your damage taken by 10%. This effect can occur once every 12 seconds.",Heavy Armor
Vicious Death,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : Adds 34-1487 Offensive Penetration 5 items : When you kill a Player, they violently explode for 3322 Flame Damage to all other enemies in a 5 meter radius. This effect scales off the higher of your Weapon and Spell Damage .",Light Armor
Warrior's Fury,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you take damage, your Weapon and Spell Damage is increased by 0-24 for 5 seconds, stacking up to 20 times. This effect can occur once every half second. Upon reaching 20 stacks, the duration is doubled but can no longer be refreshed.",Heavy Armor
