Level,Stamina,Duration,Invisibility
1,238,3.3,1.6
2,1005,3.8,1.9
3,4.0,2.0
4,4.3,2.1
5,4.5,2.3
6,4.8,2.4
7,5.1,2.5
8,5.3,2.7
9,5.6,2.8
10,1772,5.8,2.9
11,6.1,3.0
12,6.4,3.2
13,6.6,3.3
14,6.9,3.4
15,7.1,3.5
16,7.4,3.7
17,7.6,3.8
18,7.9,4.0
19,8.2,4.1
20,2539,8.4,4.2
21,8.7,4.3
22,8.9,4.5
23,9.2,4.6
24,9.5,4.7
25,9.7,4.9
26,10.0,5.0
27,10.2,5.1
28,10.5,5.2
29,10.7,5.4
30,3305,11.0,5.5
31,11.3,5.6
32,11.5,5.8
33,11.8,5.9
34,12.0,6.0
35,12.3,6.1
36,12.5,6.3
37,12.8,6.4
38,13.1,6.5
39,13.3,6.7
40,4072,13.6,6.8
41,13.8,6.9
42,14.1,7.0
43,14.4,7.2
44,14.6,7.3
45,14.9,7.4
46,15.1,7.6
47,15.4,7.7
48,15.6,7.8
49,15.9,8.0
50,4532,16.2,8.1
50CP10,16.7,8.3
50CP20,4609,17.2,8.6
50CP30,17.4,8.7
50CP40,4686,18.0,9.0
50CP50,5069,18.2,9.1
50CP60,5146,18.7,9.4
50CP70,19.0,9.5
50CP80,5222,19.5,9.8
50CP90,19.8,9.9
50CP100,5682,20.3,10.1
50CP110,20.5,10.3
50CP120,5759,21.1,10.5
50CP130,21.3,10.7
50CP140,5836,21.8,10.9
50CP150,6066,22.1,11.0
50CP160,22.4,11.2
