Rumor,Quest (choice)
"|""You fought beside Lord Gharesh-ri in Haven? This one should be so lucky!""",Unsafe Haven
"|""This one lost friends in Haven. But you avenged them, I hear. Many owe you their thanks.""",Unsafe Haven
"|""You made certain the Khajiit will have a voice in Elden Root. Thank you, walker.""",The Honor of the Queen
"|""This one never trusted Ambassador Tarinwe. At least we'll have an embassy in Elden Root.""",The Honor of the Queen
"|""You! Kargand died because of you! Who's going to care for our cub now?""",Consuming Darkness (Kill Kargand)
"|""You saved the Mane at Driladan pass. This one's friend was among the soldiers there.""",Retaking the Pass
"|""This one has heard how you saved the Mane at Driladan Pass.""",Retaking the Pass
"|""This one was very pleased to hear of Vicereeve Pelidil's defeat.""",Pelidil's End
"| ""Is it true Vicereeve Pelidil was leading the Maormer attack?""",Pelidil's End
"|""You exposed Captain Cularalda's true colors. Velyn Harbor owes you for that.""",One Fell Swoop
"|""This one wonders if Captain Khammo enjoys Anvil. You must visit him sometime.""",Blind Man's Bluff
"|""The Hound heard no tales, if he thought kidnapping a maiden would result in victory.""",The Hound's Men
"|""This one has heard of your bravery. You drove the Colovians from Arenthia!""",The Colovian Occupation
"|""You...you were the one that drove the darkness from Akkhuz-ri! Moons be praised!""",Stonefire Machinations
"|""The Moon Hallowed! Bright moons guide you on your path, Hallowed.""",After being named Moon Hallowed
"|""The Hallowed! You stood with the Champions at Rawl'kha!""",The First Step
"|""You are the Hallowed! Bright moons be praised!""",The First Step
"|""You did what had to be done, Hallowed. Bright moons watched you at Moonmont.""",Motes in the Moonlight
"|""You stood against the Daedra in Dune. Bright moons be praised!""",The Fires of Dune
"|""Without you, so many more would have died at Dune. Bright moons.""",The Fires of Dune
"|""You saw the first Mane, and walked the Path! Hallowed be praised!""",The Den of Lorkhaj
"|""You are the Hallowed. The one that walked the Path with the Mane! Bright moons!""",The Den of Lorkhaj
"|""This one thinks that Sees-All-Colors got what was coming to her. Traitorous Argonian scum.""",Will of the Council (Execute Sees-All-Colors)
"|""Is it true that you faced Molag Bal himself? This one shivers just thinking about it.",God of Schemes
