Name,Line Rank,Skill Rank,Description
,Potency Improvement,1,​,"Allows the use of Jora, Porade, Jode and Notade Potency Runestones to make Glyphs of levels 1-15."
5,,"Allows the use of Jera, Jejora, Ode and Tade Potency Runestones to make Glyphs of levels 10-25."
10,,"Allows the use of Odra, Pojora, Jayde and Edode Potency Runestones to make Glyphs of levels 20-35."
15,,"Allows the use of Edora, Jaera, Pojode, and Rekude Potency Runestones to make Glyphs of levels 30-45."
20,,"Allows the use of Pora, Denara, Hade and Idode Potency Runestones to make Glyphs from level 40 to Champion 30."
25,,Allows the use of Rera and Pode Potency Runestones to make Glyphs of Champion 30-50.
30,,Allows the use of Derado and Kedeko Potency Runestones to make Glyphs of Champion 50-70.
35,,Allows the use of Rekura and Rede Potency Runestones to make Glyphs of Champion 70-90.
40,,Allows the use of Kura and Kude Potency Runestones to make Glyphs of Champion 100-140.
50,,"Allows the use of Rejera, Repora, Jehade, and Itade Potency Runestones to make Glyphs of Champion 150 and 160."
,Aspect Improvement,1,​,Allows the use of Common (white) and Standard (green) Aspect Runestones.
6,,Allows the use of Superior (blue) Aspect Runestones.
16,,Allows the use of Artifact (purple) Aspect Runestones.
31,,Allows the use of Legendary (gold) Aspect Runestones.
,Keen Eye: Rune Stones,2,,Runes in the world will be easier to see when you are 20 meters or closer.
7,,Runes in the world will be easier to see when you are 30 meters or closer.
14,,Runes in the world will be easier to see when you are 40 meters or closer.
,Hireling,3,,A hireling will send you some runestones every day.
12,,A hireling will send you runestones every day. You have a chance at Essence and better Aspect runestones.
32,,A hireling will send you runestones every day. You have a greater chance at Essence and better Aspect runestones.
,Runestone Extraction,4,,Increases the chance of extracting each type of Runestone by 3%.
19,,Increases the chance of extracting each type of Runestone by 6%.
29,,Increases the chance of extracting each type of Runestone by 10%.
