Activity,Description,Activity Reward
Complete 5 Quests,Complete quests throughout Tamriel.,File:ON-icon-weapon-Battle Axe-Evergreen Saturalia.png Evergreen Saturalia Battle Axe
Complete 10 Quests,Complete quests throughout Tamriel.
Complete 20 Quests,Complete quests throughout Tamriel.
Earn 10 Levels,"Earn levels by gaining experience through combat, crafting, and much more."
Kill 5 World Bosses,Kill world bosses.,File:ON-icon-weapon-Dagger-Evergreen Saturalia.png Evergreen Saturalia Dagger
Kill 5 Delve Bosses,Kill Delve bosses.,File:ON-icon-weapon-Bow-Evergreen Saturalia.png Evergreen Saturalia Bow
Earn 20 Levels,"Earn levels by gaining experience through combat, crafting, and much more."
Complete 5 Incursions,Overcome Incursions and World Events throughout Tamriel.,File:ON-icon-weapon-Greatsword-Evergreen Saturalia.png Evergreen Saturalia Greatsword
Complete 1 Group Dungeon,Complete Normal or Veteran Group Dungeons throughout Tamriel.,File:ON-icon-weapon-Mace-Evergreen Saturalia.png Evergreen Saturalia Mace
Complete 5 Group Dungeons,Complete Normal or Veteran Group Dungeons throughout Tamriel.
Kill 200 Foes with Class Abilities,Finish off foes with Class Abilities.
Earn 30 Levels,"Earn levels by gaining experience through combat, crafting, and much more."
Loot 15 Treasure Chests,Loot treasure chests throughout Tamriel.
Complete 1 Trial,Gather your allies and complete Trials.,File:ON-icon-weapon-Maul-Evergreen Saturalia.png Evergreen Saturalia Maul
Complete 3 Trials,Gather your allies and complete Trials.
Earn 40 Levels,"Earn levels by gaining experience through combat, crafting, and much more."
Complete 6 stages in the Infinite Archive,Clear stages in the Infinite Archive.
Defeat 5 Cycle bosses in the Infinite Archive,Defeat Cycle bosses in the Infinite Archive.
Visit 10 Player Homes,Visit player homes.,File:ON-icon-weapon-Staff-Evergreen Saturalia.png Evergreen Saturalia Staff
Craft 25 Items inside your home,Craft items using any skill while in a Home that you own. Crafting stations can be placed in a Home as a furnishing.
Craft 50 Items with any skill,Craft items using any skill. Crafting stations can be found in most major cities.,File:ON-icon-armor-Shield-Evergreen Saturalia.png Evergreen Saturalia Shield
Harvest 75 Resources from the World,"Harvest crafting resources from plants, ore veins, or any other natural deposit."
Earn 45 Levels,"Earn levels by gaining experience through combat, crafting, and much more."
Complete 1 Battleground Match,Complete Battleground matches (win or lose).,File:ON-icon-weapon-Axe-Evergreen Saturalia.png Evergreen Saturalia Axe
Complete 5 Battleground Matches,Complete Battleground matches (win or lose).
Earn 75000 Alliance Points,"Earn Alliance Points by participating in Battlegrounds, Cyrodiil, or the Imperial City."
Kill 10 Players in Cyrodiil,Kill enemy players in Cyrodiil.
Earn 15 New Life Festival Boxes,Earn New Life Festival Giftboxes by participating in the New Life Festival event.
Earn 10 Event Tickets,Earn tickets during the current event.,File:ON-icon-weapon-Sword-Evergreen Saturalia.png Evergreen Saturalia Sword
