Rumor,Quest (choice)
"|""Heard you were the one who saved the king's life...thank you!""",Bloodthorn Assassins
"|""The Bad Man! The Bad Man! The Bad Man is dead!""",Season of Harvest
"|""My brother joined that Bad Man cult. Word is they're all dead now. I never liked my brother much.""",Season of Harvest
"|""Deleyn's Mill used to grow the sweetest berries in the spring. I wonder where we'll get them from now?""",The Wyrd Tree's Roots
"|""I don't suppose you found any harpy feathers while you were in the Scar? I heard tailors pay a fortune for them.""",The Dagger's Edge
"|""They say the Hag Fen is safe for travel these days. But I still hate nasty, smelly swamps.""",Wyrd and Coven
"|""I heard that Gloria Fausta sacrificed herself to cure Duke Sebastien's affliction.""",Lineage of Tooth and Claw (Cure Duke Sebastien)
"|""I heard that Duke Sebastien was a werewolf, but they cured him.""",Lineage of Tooth and Claw (Cure Duke Sebastien)
"|""You hear what the cultists were doing at Eagle's Brook? Nasty business.""",Cutting Off the Source
"|""What's the world coming to when a rag-tag group of bandits like the Red Rooks can take over a town?""",Crosswych Reclaimed
"|""Lady Laurent sends her regards. She still has that insufferable Stibbons with her.""",Lady Laurent's Favor (give the tools to Stibbons)
"|""Lady Laurent passed through here. I think she may have finally fired that insufferable Stibbons.""",Lady Laurent's Favor (give the tools to Tamien Sellan)
"|""I hear you wiped out a vampire lair in Glenumbra, then killed a child just because he was bitten. That's heartless.""",Blood Relations (Kill At'avar)
"|""Sud-Hareem told me what happened in Spindleclutch - you helped him make a hard choice. The right choice.""",Blood Relations (Kill At'avar)
"|""Someone found a magical talisman that will allow the Lion Guard to get into Angof's stronghold.""",Mastering the Talisman
"|""Angof's gone, but I wonder how long his creepy vines are going to stick around.""",Angof the Gravesinger
"|""You saved Glenumbra? Really? I guess I'm impressed.""",Angof the Gravesinger
"|""Thank you for saving Glenumbra! Thank you so much.""",Angof the Gravesinger
"|""Ah … the hero of Koeglin Village. Very impressive.""",False Accusations
"|""I always thought Sir Hughes was such a dashing knight. It's sad what happened.""",Life of the Duchess
"|""I recognize you. Sir Hughes wanted me to convey his regards.""",Sir Hughes' Fate (Sir Hughes is spared)
"|""I had a brother at Firebrand Keep. I mourn his loss, but I am grateful you restored order there.""",Sir Hughes' Fate
"|""You! Baron Sorick's in jail because of you. Best place for him.""",The Sower Reaps (Report Sorick to the Guard)
"|""I know you. You're the one who saved Miranda from that awful husband of hers.""",A Woman Wronged
"|""All of Wayrest is talking about you. You're a hero for taking down those Pellingares.""",Deception in the Dark
"|""You're the darling who saved Rozenn Vanne, aren't you? Quite the hero!""",Rozenn's Dream
"|""Oh! I know you! Ingride Vanne told me to give you her regards!""",Rozenn's Dream
"|""Ingride Vanne speaks highly of you. If you're high in her esteem, you're high in mine.""",Rozenn's Dream
"|""I hear old Aphren's Hold is no longer haunted...if that was you, you have my thanks.""",King Aphren's Sword
"|""Aphren's Hold is once again a peaceful place, thanks to you.""",King Aphren's Sword
"|""Did you hear? The entire wedding party vanished! But the groom and some stranger rescued them all from Oblivion!""",Saving Hosni
"|""There's the one that stopped the attempt on the King's life.""",Vaermina's Gambit
"|""You saved King Emeric, didn't you? I can't wait to tell my friend we met.""",Vaermina's Gambit
"|""You wouldn't catch me anywhere near that Crypt of Hearts! Leave that to braver folk like yourself.""",Lover's Torment
"|""Nobody comes out of Crypt of Hearts alive. Nobody. How'd you do it?""",Edge of Darkness
"|""Is it true? Did you really explore the Crypt of Hearts?""",Edge of Darkness
"|""I knew we never should have trusted Baron Montclair. Thanks for saving the city.""",Shornhelm Divided
"|""You were the one who sent Montclair's troops packing? You're a hero!""",Shornhelm Divided
"|""Someone was playing with Daedric magic out at the Edrald estate. Opened a portal to Oblivion and everything!""",A Change of Heart
"|""Northpoint was liberated, but did you hear what Baron Dorell did? He arrested his own son! That man is heartless, I tell you, Heartless!""",The Liberation of Northpoint
"|""The Doomcrag! It collapsed! I just hope that terrible Montclair was under it when it fell.""",The Lightless Remnant
"|""Now that Rivenspire is safe, High King Emeric finally decided to crown a ruler for Shornhelm. It's about time, I say!""",The Crown of Shornhelm
"|""All hail Queen Eselde, ruler of Shornhelm! May her wisdom and beauty guide us for years to come!""",The Crown of Shornhelm (If Countess Eselde Tamrith is made queen of Shornhelm)
"|""You helped the High King select King Alard? What an excellent choice, friend!""",The Crown of Shornhelm (If Baron Alard Dorell is selected as king of Shornhelm)
"|""There used to be more crows around. It's a lot quieter lately, and thank the gods, I can hear myself think again!""",Heart of Evil
"|""The Reachmen are off-guard. Something's gone wrong with their plans, it seems.""",Heart of Evil
"|""Plots, plans, deception! Such times as we live in! Good thing the Duke won't be around any longer.""",Imperial Infiltration (Let Queen Arzhela decide Duke Renchant's fate)
"|""Hah! You'll soon hear of Queen Arzhela's exploits throughout Tamriel. She's as good a queen as that Elf, what's-her-name.""",Storming the Garrison
"|""If not for you, we'd be paying taxes to Cyrodiil now.""",Storming the Garrison
"|""I lost a brother to Captain Blackheart and his murderous crew. Thank you, for serving them justice.""",Jumping Ship
"|""You slayed Captain Blackheart! Thank the divines for brave souls like you.""",Jumping Ship
"|""High King Emeric's truly blessed. He's survived another attempt on his life!""",To Walk on Far Shores
"|""I heard that someone entered the Black Forge and shut it down. That should slow down the Dark Lord's plans!""",The Great Shackle
"|""Did you hear that Vanus Galerion was rescued from the Black Forge?""",The Great Shackle
"|""With the Great Shackle destroyed, has the Planemeld been stopped?""",The Great Shackle
"|""Did you hear that someone actually escaped from the Lightless Oubliette?""",Light from the Darkness
"|""I heard that someone released King from the Lightless Oubliette.""",Light from the Darkness
"|""The Mages Guild is recruiting to fill roles on their fancy new island refuge. Eyevea, I think? Impressive.""",The Mad God's Bargain
