Player level,Experience required for next level,Total experience for level,,Standard quest reward,Location discovery,Location completion
1,70,0,-,-,-
2,500,70,-,-,-
3,1 324,570,3,3,3
4,2 726,1 894,4,4,4
5,3 859,4 620,5,5,5
6,3 871,8 479,6,6,6
7,4 047,12 350,7,7,7
8,4 728,16 397,8,8,8
9,6 033,21 125,9,9,9
10,6 583,27 158,10,10,10
11,7 659,33 741,11,11,11
12,9 338,41 400,12,12,12
13,10 865,50 738,13,13,13
14,12 733,61 603,14,14,14
15,13 489,74 336,15,15,15
16,15 131,87 825,16,16,16
17,18 444,102 956,17,17,17
18,21 274,121 400,18,18,18
19,24 368,142 674,19,19,19
20,25 672,167 042,20,20,20
21,29 186,192 714,21,21,21
22,32 950,221 900,22,22,22
23,34 618,254 850,23,23,23
24,39 322,289 468,24,24,24
25,42 744,328 790,25,25,25
26,44 457,371 534,26,26,26
27,49 845,415 991,27,27,27
28,53 983,465 836,28,28,28
29,60 171,519 819,29,29,29
30,59 625,579 990,30,30,30
31,66 890,639 615,31,31,31
32,75 065,706 505,32,32,32
33,79 594,781 570,33,33,33
34,80 655,861 164,34,34,34
35,84 104,941 819,35,35,35
36,85 323,1 025 923,36,36,36
37,90 954,1 111 246,37,37,37
38,96 014,1 202 200,38,38,38
39,101 897,1 298 214,39,39,39
40,100 817,1 400 111,40,40,40
41,110 146,1 500 928,41,41,41
42,118 131,1 611 074,42,42,42
43,121 894,1 729 205,43,43,43
44,131 212,1 851 099,44,44,44
45,141 280,1 982 311,45,45,45
46,149 516,2 123 591,46,46,46
47,166 516,2 273 107,47,47,47
48,178 557,2 439 623,48,48,48
49,187 494,2 618 180,49,49,49
50,-,2 805 674,50,50,50
