Rumor,Quest (choice)
"|""I heard you let that woman at Phaer have real justice. Auri-El would approve.""",The First Patient (Let Velatosse exact her revenge on Hendil)
"|""I heard what you did at the Guard, traveler. Auri-el keep you safe.""",A Hostile Situation
"|""You saved the queen! Stars keep you safe, traveler.""",A Hostile Situation
"|""You aided Queen Ayrenn in her ratification, correct? You do look like someone to know.""",Rites of the Queen
"|""You stood among the standing stones of Tanzelwil. Auri-El be praised.""",Rites of the Queen
"|""Bet the dead at Tanzelwil had a lot to say about Ayrenn.""",Rites of the Queen
"|""The savior of Skywatch! The Heritance training camp crushed!""",The Veil Falls
"|""The goodness you showed that Aldarch at Torinaan. Divines bless and keep you.""",Blessings of the Eight
"|""Divines protect you, just as you protected our honored Keepers.""",Banishing the Banished
"|""Those Keepers must keep you in their prayers each night.""",Banishing the Banished
"|""Estre was a traitor! And deserved to be put down.""",Sever All Ties
"|""I heard the Jade Dragoons were nearly destroyed by frost trolls. Frost trolls!""",A Lasting Winter
"|""I'd heard tales of Nairume, but you freed her from Rajhin's prison! To become part of legend … I can't imagine!""",A Lasting Winter
"|""You saw Queen Ayrenn step out of the Orrery? What a wondrous thing.""",The Orrery of Elden Root
"|""Don't believe the rumors. Prince Naemon died protecting the queen in the Orrery.""",The Orrery of Elden Root
"|""Unbelievable. A spy in the Thalmor's midst. It's a good thing you were there to discover the culprit.""",Double Jeopardy
"|""You're the one who discovered Vicereeve Pelidil's involvement with the Veiled Heritance.""",Pelidil's End
"|""The Maormer would've destroyed the Tor mainland with their storms if it weren't for you.""",Eye of the Storm
"|""The Silvenar is crucial to the Dominion's stability. His advisor's sacrifice won't be forgotten.""",The Prisoner of Jathsogur
"|""They give Arithiel all the credit, but I know it was you who ended Mauloch's terror.""",Arithiel
"|""Not one in a million can claim they've slain a Maormer Stormreeve. Damned impressive!""",Eye of the Storm
"|""Apparently a group of Fighters Guild soldiers got ambushed and taken to a prison. Tower of torture, flies, lies...something like that.""","Truth, Lies, and Prisoners"
"|""The Planemeld is finally over. Does this mean we can go home now?""",The Great Shackle
"|""The Summerset Isles are abuzz with the name Valaste. I'm proud a sister of Auridon would go so far in the Mages Guild!""",The Mad God's Bargain (Keep Valaste on Tamriel)
