Activity,Description,Activity Reward
Review the Zone Guide,Pop open the Group and Activity Finder to see the Zone Guide for the region you're in. There you can find a host of fun activities to complete.
"Block 5,000 Damage","Successfully blocking will mitigate an attack's damage, but it will also drain your Stamina. So block smart!"
Perform 5 Interrupts,"Getting off a successful interrupt on a wind up attack will cancel their cast, leave them Off-Balance, stunned, and feeling rather foolish."
Complete Any 1 Fighters Guild Quest,"Pitch in with the Fighters Guild! You can find their questgivers, or join up, at the guildhalls in most large cities. Take the fight to the Worm Cult to gain skill line progress and valuable rewards!",File:ON-icon-book-Fighters Guild Citation.png Fighters Guild Citation
Complete Any 1 Mages Guild Quest,"Seek esoteric knowledge with the Mages Guild! You can find their questgivers, or join up, at the guildhalls in most large cities. Return with knowledge and glory to gain skill line progress and valuable rewards!",File:ON-icon-book-Mages Guild Citation.png Mages Guild Citation
Complete Any 1 Undaunted Guild Quest,"We are Undaunted! You can find their questgivers, or join up, at the Undaunted Enclaves near Elden Root, Mournhold, or Wayrest. Dive into dangerous delves to gain skill line progress and valuable rewards!",File:ON-icon-book-Undaunted Citation.png Undaunted Citation
Destroy a Dark Anchor,"Stop the Planemeld! Destroy a Dark Anchor in any of the base game zones by defeating cultists and Daedra, and releasing its anchor pinions."
"Complete the Quest ""Room to Spare"" or Visit a Player Home",You deserve a place to kick up your feet. Speak with Felande Demaire at inns in the capital cities across Tamriel to unlock your very own home!,"File:ON-icon-furnishing-Breton_Chair,_Slatted.png Breton Chair, Slatted Tea Table, Carved Common Candles, Pair Breton Carpet, Green"
Browse the Wares of Filer Ool at the Infinite Archive,Filer Ool is a quixotic Watchling posted as a vendor at the Infinite Archive. Check out what they have on offer by heading to the Infinite Archive. You can fast travel there by looking for the Infinite Archive icon on the Apocrypha map.,File:ON-icon-verse-offense-Generic_Verse.png Mystery Transformation Verse 500 Archival Fortunes
Complete 3 stages in the Infinite Archive,Clear stages in the Infinite Archive.,"File:ON-icon-Archival Fortunes.png 1,000 Archival Fortunes"
