Clue,Location,Notes
Approach the southern scroll.,Outside the Scroll Temple of Alma Ruma,(map),"Members of the Dominion or Pact will not be able to access this unless the Gate of Alma Ruma is opened.  For this to occur, both Forts Glademist and Rayles must not be in the control of the Covenant ."
Overlooking Ni-Mohk's falls.,Atop a waterfall northwest of the Scroll Temple of Ni-Mohk,(map),"Members of the Dominion or Pact will not be able to access this unless the Gate of Ni-Mohk is opened.  For this to occur, both Forts Glademist and Warden must not be in the control of the Covenant ."
Near liquid fire flowing.,By a lava-flow in Chorrol,(map),
Decorating a Nord's manor grounds.,On the west side of Bruma,(map),
Offering at the priory.,At Weynon Priory,(map),
Atop a crumbling Empire.,At the top of Empire Tower,(map),
Home of the goat-faced altar.,At Ninendava,(map),
Search near the cliffs … cliffs … cliffs ….,Southwest of Zimar's Winery,(map),
Where a ruin-seeking Khajiit is denied.,Just east of Anga,(map),
Bandits' crowning achievement.,In the last chamber of Capstone Cave,(map),
Amid reverberations of clattering bones.,In the last chamber of Echo Cave,(map),
Vampires prowl where Elves once lived.,"In Lipsand Tarn , in an alcove in the northeast corner",(map),
In a cave of crimson treasures.,"Red Ruby Cave , in the northeast chamber",(map),
Surrounded by frozen fungus.,"In the lower section of Toadstool Hollow , in the southeast corner of the largest room",(map),
Under shroud and ground.,"In Underpall Cave , in the large chamber to the east, on the upper level",(map),
