Activity,Description
Complete 5 Quests,Complete quests throughout Tamriel.
Complete 15 Quests,Complete quests throughout Tamriel.
Earn 10 Anniversary Jubilee Gift Boxes,Earn Glorious Anniversary Jubilee Gift Boxes or Anniversary Jubilee Gift Boxes by participating in the Anniversary Jubilee event.
Earn 5 Event Tickets,Earn tickets during the current event.
Earn 15 Event Tickets,Earn tickets during the current event.
Complete 15 Daily Quests,Complete any Daily Quests.
Complete 25 Daily Quests,Complete any Daily Quests.
Complete 5 Rewards from the Daily Login Calendar,Claim Daily Login Calendar Rewards.
Complete 10 Rewards from the Daily Login Calendar,Claim Daily Login Calendar Rewards.
Complete 15 Rewards from the Daily Login Calendar,Claim Daily Login Calendar Rewards.
Complete 5 Tribute Matches,Face opponents in Tales of Tribute through the Activity Finder.
Complete 10 Tribute Matches,Face opponents in Tales of Tribute through the Activity Finder.
Complete 1 Group Dungeon,Complete Normal or Veteran Group Dungeons throughout Tamriel.
Complete 5 Group Dungeons,Complete Normal or Veteran Group Dungeons throughout Tamriel.
Complete 10 Group Dungeons,Complete Normal or Veteran Group Dungeons throughout Tamriel.
Complete 1 Trial,Gather your allies and complete Trials.
Kill 2 Trial Bosses,Kill Trial bosses anywhere in Tamriel.
Kill 5 World Bosses,Kill world bosses.
Complete 1 Arena,"Triumph over Maelstrom Arena, Vateshran Hollows, Blackrose Prison or Dragonstar Arena."
Defeat Tho'at Replicanum in the Infinite Archive 1 time,Defeat Tho'at Replicanum in the Infinite Archive.
Complete 5 Incursions,Overcome Incursions and World Events throughout Tamriel.
Complete 10 Incursions,Overcome Incursions and World Events throughout Tamriel.
Destroy 5 Dark Anchors,Destroy Dark Anchors sent to Tamriel by Molag Bal.
Craft 20 items with any skill,Craft items using any skill. Crafting stations can be found in most major cities.
Craft 50 items with any skill,Craft items using any skill. Crafting stations can be found in most major cities.
Craft 10 items with the Alchemy skill,Craft items using the Alchemy skill. Alchemy stations can be found in most major cities.
Craft 10 items with the Clothier skill,Craft items using the Clothier skill. Clothier stations can be found in most major cities.
Craft 10 items with the Blacksmithing skill,Craft items using the Blacksmithing skill. Blacksmithing stations can be found in most major cities.
