Icon,Name,Description
File:ON-icon-Vengeance-Yellow Perk-Battle Seasoned.png,Battle Seasoned,"While out of combat, you gain 1000 Health Recovery, and 250 Magicka and Stamina Recovery."
File:ON-icon-Vengeance-Yellow Perk-Recoup Fortitude.png,Recoup Fortitude,Gain 2000 out of combat Health Recovery.
File:ON-icon-Vengeance-Yellow Perk-Calculating.png,Calculating,You gain a 10% experience bonus to Alliance Rank and Alliance War skill lines from all sources.
File:ON-icon-Vengeance-Yellow Perk-Increased Experience.png,Increased Experience,You gain a 10% experience bonus from all sources.
File:ON-icon-Vengeance-Yellow Perk-Increased Detection.png,Increased Detection,Increases your stealth detection by 15 meters.
File:ON-icon-Vengeance-Yellow Perk-Efficient Repair.png,Efficient Repair,You repair 50% more damage with repair kits.
File:ON-icon-Vengeance-Yellow Perk-Siege Sight.png,Siege Sight,You can see the outlines of enemies while manning all siege weapons but rams.
File:ON-icon-Vengeance-Yellow Perk-Cat Fall.png,Cat Fall,Reduces falling damage by 20%.
File:ON-icon-Vengeance-Yellow Perk-Spirit Mastery.png,Spirit Mastery,Decreases the time it takes to resurrect an ally by 25%.
File:ON-icon-Vengeance-Yellow Perk-Light Foot.png,Light Foot,Reduces the Movement Speed penalty of Sneak by 50% and the cost of Sneak by 20%.
File:ON-icon-Vengeance-Yellow Perk-Sprint Adept.png,Sprint Adept,Reduces the cost of Sprint by 20% and the movement speed bonus of Sprint by 10%.
File:ON-icon-Vengeance-Yellow Perk-Bolster Running.png,Bolster Running,Increases the movement speed bonus of Sprint by 10% and the cost of Sprint by 20%.
File:ON-icon-Vengeance-Yellow Perk-Swift Brace.png,Swift Brace,Increases your Movement Speed while Bracing by 100%.
File:ON-icon-Vengeance-Yellow Perk-Steed Mastery.png,Steed Mastery,Increases your Mounted Speed by 10%.
File:ON-icon-Vengeance-Yellow Perk-Extend Wells.png,Extend Wells,Increases the duration of your Ayleid Health Bonus by 1 hour.
File:ON-icon-Vengeance-Yellow Perk-Soul Awakening.png,Soul Awakening,"Scholarly research makes your use of soul gems more effective. When resurrecting an ally with a soul gem, increase the Health they revive with by 50%."
File:ON-icon-Vengeance-Yellow Perk-Heroic Resurrection.png,Heroic Resurrection,"You channel the heroic energies expended on the battlefield while reviving the fallen. When you resurrect an ally, both you and the ally gain Major Heroism for 15 seconds, gaining 3 Ultimate every 1.5 seconds."
File:ON-icon-Vengeance-Yellow Perk-Courser.png,Courser,"You and your mount move as one, mirroring the skills possessed by the Gallants of Hammerfell. Reduces your Mount Sprint cost by 50%."
File:ON-icon-Vengeance-Yellow Perk-Presence.png,Extend Wells,"The mantle of authority you've earned in Cyrodiil's theater of war rests easily on you, as if you were blessed by Saint Alessia herself. You count as an extra person for capturing objectives."
