Place,Boss/Quest,Set,Item Name,Description
Alik'r Desert
Aldunz,Thinks-in-Gears,Robes of the Withered Hand,Oil-Stained Padding of the Withered Hand,
Artisan's Oasis,Undying Loyalty,Order of Diagna,Sandwalker's War Boots,"It seems Musi's skeletal owner has no need of these boots anymore, so they're yours."
Bergama,Left at the Altar,Sword-Singer,Brigandine of Bergama,A troubled Redguard couple gave you this armor after you helped their wedding proceed.
Gone Missing,Order of Diagna,Justice Longbow,"The streets of Bergama are safe again. With this bow, you can keep it that way."
Coldrock Diggings,Feremuzh,Order of Diagna,Bladethirst of the Order of Diagna,
Divad's Chagrin Mine,Nokhailaedhaz,Order of Diagna,Embossed Chausses of the Order of Diagna,
Forsaken Hearts Cave,Korignah,Robes of the Withered Hand,Soul Kiss of the Withered Hand,
Giant Camp,Lonely Papa,Sword-Singer,Sword-Singer's Backscratcher,
Goat's Head Oasis,Satak was the First Serpent,Robes of the Withered Hand,Serpentskin Gloves,"No matter how hot it gets, these gloves stay cool and supple on your hands."
Hag Camp,Igazkad,Robes of the Withered Hand,Charred Bone Staff of the Withered Hand,
High Temple,Temple's Treasures,Robes of the Withered Hand,Tava's Mercy,"This staff emanates a sense of gratitude, perhaps stemming from your restoration of the High Temple's relics."
HoonDing's Watch,March of the Ra Gada,Order of Diagna,Champion's Cuirass,"By slaying ancient Redguard foes in HoonDing's Watch, you earned this trusty armor."
Trials of the Hero,Sword-Singer,Mantle of Honor,You feel the wisdom of Redguard heroes of old when you wear this stately mantle.
The Nature of Fate: Part Two,Robes of the Withered Hand,Inspired Cowl,Wearing this cowl instills a sense of freedom. Your fate is yours alone to decide.
Impervious Vault,Restoring the Ansei Wards,Sword-Singer,Ansei Greatsword,King Fahara'jad bestowed this mighty weapon as thanks for your restoration of the Ansei Wards.
King's Rest,Abal the Defiler,Robes of the Withered Hand,King Haqmir's Bindings of the Withered Hand,
Kozanset,Feathered Fiends,Robes of the Withered Hand,Harpy Feather Shirt,Harpy down is spun with fine wool to make the shirt's sturdy fabric.
Kulati Mines,Crawling Chaos,Sword-Singer,Arachnid Gauntlets,"It's probably just your imagination, but you always get a creepy-crawly sensation when you wear these gauntlets."
Leki's Blade,quest reward for Master of Leki's Blade,Order of Diagna,Master's Sharpsword,"Generations of Masters at Leki's Blade have wielded swords like this, though it's rare for one to be seen outside the school."
Lesser Circle,Staada,Order of Diagna,Infused Buckler of the Order of Diagna,
Lost Caravan,Mother Sands,Robes of the Withered Hand,Iridescent Dagger of the Withered Hand,
Morwha's Bounty,The Initiation,Order of Diagna,Helm of the Ash'abah,"For walking the path of the first Ash'abah, Talia granted you this helm."
Motalion Necropolis,Amputating the Hand,Sword-Singer,Suturah's Hubris,This necklace is surprisingly heavy around your neck. It shimmers with magic.
Na-Totambu's Landing,Past in Ruins,Sword-Singer,Curse-Breaker's Boots,Hopefully these shoes will keep you safe from the cursed sword you found in Ancestor's Landing.
Ogre's Bluff,Trapped in the Bluffs,Order of Diagna,Caravan Chain,"Jarrod's son would have been lost in the desert without you. As thanks, he gave you this belt."
Rain Catcher Fields,Trouble at the Rain Catchers,Robes of the Withered Hand,Raincatcher Pantaloons,These pantaloons are slightly water-repellant to make working in the Rain Catcher Fields easier.
The Nature of Fate,Robes of the Withered Hand,Dunerunners,These shoes may come in handy the next time someone asks you to race a windstorm in the desert.
Salas En,Thwarting the Aldmeri Dominion,Order of Diagna,Greaves of Firsthold,Lady Laurent awarded you this armor for helping her close the portal to the Aldmeri Dominion.
Lady Laurent's Favor,Sword-Singer,Leg Guards of Loyalty,"After you retrieved Lady Laurent's tools, Stibbons thanked you with this armor."
The Oldest Orc,Sword-Singer,Mauloch's Cleaver,The blade of this axe looks sharp enough to chop down the bars of any prison. Even Gurlak's.
Saltwalker Militia Camp,Malignant Militia,Sword-Singer,Saltwalker Cinch,Recruits for the Saltwalker Militia find their belts become coarse and briny as they work near the sea.
Sandblown Mine,Mirudda,Robes of the Withered Hand,Senche-Pelt Blouse of the Withered Hand,
Santaki,Tarrent Herano,Sword-Singer,Sword-Singer's Sandgrubber Boots,
Satakalaam,Imperial Incursion,Order of Diagna,Liberator's Spaulders of the Order of Diagna,General Thoda rewarded your efforts to stop the Imperials in Satakalaam with this armor.
Sentinel,The Impervious Vault,Robes of the Withered Hand,Yokudan Epaulets of the Withered Hand,A repetitive motif of stylized waves is woven into the epaulets.
Sentinel Docks,Risen From the Depths,Order of Diagna,Gauntlets of the Ra Gada,"These gauntlets are freezing to the touch, as if you still grapple with the undead."
Sep's Spine,Whose Wedding?,Sword-Singer,Wildur's Oath Ring,"Instead of love, this ring represents Sarveeyah at-Wildur's freedom from an arranged marriage."
Tava's Blessing,Alasan's Plot,Robes of the Withered Hand,Staff of Withering,This staff was made from a tree which once grew in Motalion Necropolis.
Warship Designs,Sword-Singer,Ashlander Axe,"Salt water has slightly corroded the blade of this axe, but it's still razor-sharp."
Tears of the Dishonored,Honoring the Dishonored,Order of Diagna,Zariya's Sorrow,This small token was all Zariya's husband had to give after you consecrated her remains.
Tu'whacca's Throne,Revered Ancestors,Order of Diagna,Armiger's Protector,"This shield can't stop the dead from rising, but it can protect you from their wrath."
Tu'whacca's Breath,Robes of the Withered Hand,Windcaller's Sash,This breezy sash flows and moves even when there's no wind.
A Reckoning with Uwafa,Sword-Singer,Throne Keeper Coif,Several thin copper medallions are inset into the coif.
Yldzuun,Captain Candidus,Order of Diagna,Charged Rod of the Order of Diagna,
