Activity,Description,Activity Reward
Equip 3 Pieces of Gear from an Item Set,More items means more power! And set items are pure power for the budding adventurer. By equipping multiple items from a single set you gain powerful additive bonuses that can completely change how you play your character.
Complete 3 Crafting Quests,"You can earn your crafting writ certification to qualify and then get to fulfilling writs today! Open the map, and look for the marketplace in most major cities across Tamriel. You'll find the crafting job boards nearby!",File:ON-icon-temper-Tempering Alloy.png 2 Tempering Alloy 2 Rosin 2 Dreugh Wax
Harvest 25 Resources from the World,"Harvest crafting resources from plants, ore veins, or any other natural deposit.",File:ON-icon-tannin-Elegant Lining.png 3 Elegant Lining 3 Grain Solvent 3 Mastic
Improve 1 Piece of Equipment,"Pick a piece of gear and bring it to one of the appropriate crafting stations, found in most major cities. There, you can improve the quality of your equipment by using some specialized crafting materials like tempers or tannins!",File:ON-icon-temper-Dwarven Oil.png 10 Dwarven Oil 10 Turpen 10 Embroidery
Deconstruct or Research 3 Pieces of Equipment,You can do all kinds of things with old or unwanted gear. Head to a crafting station to deconstructed unwanted items for their resources. Or use the research window to learn how to craft future pieces using the attributes of the gear you already have.,File:ON-icon-misc-Instant All Research.png 3 Instant All Research
Repair 1 Piece of Equipment,"After combat your equipment may damage, but this can be easily restored by repairing it at a merchant or banging out those dents with a repair kit."
Enchant 1 Piece of Equipment,Summon your inner mage! Use an enchanting rune from your inventory and apply that enchantment to any piece of gear you like.,File:ON-icon-runestone-Jejota.png 9 Jejota 6 Denata 3 Rekuta Kuta
Consume 1 Stat Enhancing Potion,Potions provide a quick boost in combat effectiveness. Buy or craft up a potion with a combat buff and drink it on down!,File:ON-icon-reagent-Bugloss.png 5 Bugloss 5 Mountain Flower 5 Columbine 10 Natural Water
Visit a Rededication Shrine,Rededication Shrines allow you to redistribute spent skill or attribute points after you've made a donation of gold to their Aedric patron.,File:ON-icon-store-Attribute Respec Scroll.png Attribute Respecification Scroll Skill Respecification Scroll
Visit an Outfit Station,Outfit Stations are posted up in large cities throughout Tamriel. Open the map and look for the triple swirl icon. At an Outfit Station you can dye your current gear or even put together an all new look with any motifs you've unlocked.,File:ON-icon-Outfit Change Token.png 3 Outfit Change Tokens Forest: Vineyard Tint Mixture Darkening: Black Mantra Golden: Pearls and Gold
