Rumor,Quest (choice)
"|""There's the person that uncovered the plot against the King. Hail, hero!""",Bloodthorn Assassins
"|""Trusting a bandit? The Lion Guard should be ashamed of itself.""",The White Mask of Merien
"|""If I'd been in Crosswych, I'd have put my mining pick right into Gelves' back.""",Crosswych Reclaimed
"|""Captain told me of how you helped him in Koeglin Village. Well done.""",False Accusations
"|""I hear that troublemaker Captain Rama wound up dead. What a shame, eh? Ha ha!""",Revenge Against Rama
"|""Heard what you did at the at-Tura Estate. Tava bless you.""",Saving Hosni
"|""So Count Hosni's back to normal -- thanks to you, eh, stranger?""",Saving Hosni
"|""I hear you resolved the standoff at Alcaire Castle. I am glad no blood was shed.""",Life of the Duchess
"|""You were the one who saved Camp Tamrith and killed Reezal-Jul? I hope you made him suffer.""",The Blood-Splattered Shield
"|""Folks are saying that Count Ravenwatch discovered an Ayleid manuscript in the Lorkrata ruins. Good thing you were there to help him!""",The Concealing Veil
"|""There's an Ayleid ruin under the Lorkrata Hills? I never suspected such a thing!""",The Concealing Veil
"|""You there! I saw you fighting at the Shrouded Pass. You were remarkable, if you don't mind me saying.""",Puzzle of the Pass
"|""There is too much skooma coming into the Alik'r. Someone needs to stop these !""",Seize the Moment (Help the Baandari smuggler)
"|""Is it true the Impervious Vault was robbed? I did not deem that possible!""",The Impervious Vault
"|""So you are the one King Fahara'jad has placed his faith in? I hope it is well-founded.""",The Impervious Vault
"|""There is no greater shame than being an Ash'abah … and you joined willingly? So sad.""",The Initiation
"|""If it is true that you have joined the Ash'abah … you are not welcome in my home.""",The Initiation
"|""Heard they found some dead treasure hunter out by Badwater Mine. Cursed gemstones.""",Badwater Mine (Let the treasure hunter keep the cursed gems)
"|""Truly the gods sent you here to save us from the Withered Hand...thank you!""",Amputating the Hand
"|""The dead had risen at Tu'whacca's throne, but you returned them to their rest. Thank you.""",A Reckoning with Uwafa
"|""Bergama's Magistrate should be taken into the desert and stoned to death. That is all.""",Gone Missing
"|""The old master of Leki's Blade is a traveling teacher now. She has more students, thanks to you.""",Master of Leki's Blade (if Master Fadalia is exiled)
"|""Shagora doesn't remember her friend Seqbar, but she's very fond of you.""",Crawling Chaos (Let Naluroen have Seqbar and free Shagora)
"|""You're the one who sent that debt collector in Kozanset packing. Your chivalry has no equal!""",Feathered Fiends
"|""Imperial dogs! I thank Ruptga we have people like you to protect us.""",Imperial Incursion
"|""You are the one who destroyed the Withered Hand! You are a hero!""",Amputating the Hand
"|""I hear the Duke's gone. Good riddance! I never did trust him.""",Imperial Infiltration (Let Queen Arzhela decide Duke Renchant's fate)
"|""Those bastard Imperials killed my dog, so I took as many of their lives as I could. Now they'll fear the name Hallin's Stand.""",The Shifting Sands of Fate
"|""Taking the Chasm was necessary, but by the soul of Tu'whacca I would prefer never to have to fight over ground like that again.""",Crossing the Chasm
"|""A strong Redguard man leading the Fighters Guild! Tall Papa be praised, it is as it should be!""",Will of the Council
"|""The new Guildmaster was merciful to let that Argonian traitor stay in the Fighters Guild, don't you think?""",Will of the Council (If Sees-All-Colors is spared)
"|""I rejoice to know Bangkorai Garrison is under Covenant control once more.""",Storming the Garrison
"|""The Hag Fen is a strange place, even with the Wyresses watching over it.""",Wyrd and Coven
